id,created_at,closed_at,state,comments,title
2340,2020-08-31 04:56:45.000000000,1970-01-01 00:00:00.000000001,open,0,Update dependency mocha to v8.1.3
2339,2020-08-28 19:39:18.000000000,1970-01-01 00:00:00.000000001,open,1,Provide a proxy factory library
2338,2020-08-27 09:34:01.000000000,1970-01-01 00:00:00.000000001,open,0,Minor typo and grammar fixes for docs
2337,2020-08-24 17:13:29.000000000,2020-08-25 00:37:32.000000000,closed,1,Update README.md
2336,2020-08-22 03:28:13.000000000,2020-08-24 06:48:09.000000000,closed,1,MintableToken.sol
2335,2020-08-22 01:31:43.000000000,2020-08-28 04:02:43.000000000,closed,1,Add Proxies from OpenZeppelin SDK
2334,2020-08-21 17:59:54.000000000,2020-08-25 21:58:46.000000000,closed,6,Fix/improve test description #1157
2333,2020-08-20 18:54:03.000000000,1970-01-01 00:00:00.000000001,open,4,Add functionStaticCall and functionDelegateCall methods to Address library
2332,2020-08-20 06:14:42.000000000,2020-08-20 06:20:58.000000000,closed,0,Update ERC20.sol
2331,2020-08-18 23:02:44.000000000,2020-08-19 03:40:52.000000000,closed,2,feat: improve testing for ERC20Snapshot
2330,2020-08-15 05:27:10.000000000,2020-08-19 03:57:50.000000000,closed,0,Merge CODE_STYLE.md into GUIDELINES.md
2329,2020-08-15 05:01:11.000000000,2020-08-18 19:50:36.000000000,closed,0,Fixed sidebar reference in README.md
2328,2020-08-14 10:50:46.000000000,2020-08-14 18:59:21.000000000,closed,8,Fix ERC20Snapshot#_beforeTokenTransfer during mint
2327,2020-08-12 22:11:20.000000000,2020-08-12 23:06:22.000000000,closed,5,Fix function state mutability warning
2326,2020-08-11 21:16:39.000000000,1970-01-01 00:00:00.000000001,open,4,ERC20: Prevent transfer to the token contract
2325,2020-08-09 18:48:10.000000000,2020-08-10 23:16:14.000000000,closed,2,"Fixing link for ""How to to implement supply mechanisms"" in ERC20.sol [currently will open broken link in vs code]"
2324,2020-08-08 22:06:48.000000000,2020-08-19 18:23:37.000000000,closed,2,chore: fix code style parameters in Event
2323,2020-08-08 20:00:41.000000000,2020-08-19 18:23:37.000000000,closed,1,Mistake in code style
2322,2020-08-06 17:06:26.000000000,2020-08-07 13:27:52.000000000,closed,4,Bug in ERC20 Token
2321,2020-08-06 15:22:28.000000000,2020-08-06 15:52:28.000000000,closed,1,NPM package returning not found for version 3.1.0
2320,2020-07-31 04:51:03.000000000,2020-08-01 04:12:22.000000000,closed,3,TokenVesting release method failing
2319,2020-07-29 22:11:44.000000000,2020-07-30 01:11:33.000000000,closed,1,Migrate contracts to Solidity 0.7
2318,2020-07-29 12:02:27.000000000,1970-01-01 00:00:00.000000001,open,5,Support for Solidity 0.7.0
2317,2020-07-27 04:15:34.000000000,2020-08-25 01:00:35.000000000,closed,1,Update all non-major dependencies
2316,2020-07-27 04:13:46.000000000,2020-07-27 19:24:48.000000000,closed,2,chore(deps): update solidity-coverage commit hash to 026fa7a
2315,2020-07-19 15:37:34.000000000,2020-07-22 00:03:47.000000000,closed,5,Remove redundant else and improve readability
2314,2020-07-16 14:52:45.000000000,2020-07-16 14:53:12.000000000,closed,0,Merge pull request #1 from OpenZeppelin/master
2313,2020-07-16 09:24:24.000000000,2020-07-22 02:04:22.000000000,closed,2,docs: add note explaining opinionated presets
2312,2020-07-15 01:37:14.000000000,2020-08-11 23:51:59.000000000,closed,1,feat: use beforeTokenTransfer hook in ERC20Snapshot
2311,2020-07-14 02:17:14.000000000,2020-07-15 00:08:42.000000000,closed,4,feat: use extcodesize for isContract to reduce gas
2310,2020-07-13 21:45:23.000000000,2020-07-15 00:08:42.000000000,closed,1,Consider switching Address.isContract back to extcodesize
2309,2020-07-13 04:18:44.000000000,2020-07-13 21:39:19.000000000,closed,0,Update all non-major dependencies
2308,2020-07-10 06:13:24.000000000,2020-07-13 09:26:03.000000000,closed,1,Virtual Keyword Considered Harmful
2307,2020-07-09 13:09:21.000000000,2020-07-22 00:06:37.000000000,closed,0,Fix comment reference for function hash
2306,2020-07-07 20:12:13.000000000,2020-07-08 23:33:50.000000000,closed,1,Multiple approved addresses for ERC721 token
2305,2020-07-05 17:06:58.000000000,2020-07-08 14:32:21.000000000,closed,3,"Adding of a ""onlyAdminOf"" modifier into AccessControl "
2304,2020-07-05 16:51:34.000000000,2020-07-05 16:55:26.000000000,closed,0,Update AccessControl.test.js
2303,2020-07-05 15:06:26.000000000,2020-07-05 16:54:30.000000000,closed,0,Update AccessControl.sol
2302,2020-07-02 22:07:14.000000000,2020-08-19 04:02:43.000000000,closed,5,Contract to wrap an ERC721 in an ERC20
2301,2020-07-01 07:53:33.000000000,2020-07-08 22:46:30.000000000,closed,3,@openzeppelin/contracts build directory contains 2.x contract artifacts for contracts removed in 3.x
2300,2020-06-29 20:03:00.000000000,2020-06-30 00:23:54.000000000,closed,2,Add readme notices with link to docs site
2299,2020-06-29 18:29:23.000000000,2020-06-29 19:28:19.000000000,closed,1,"when i extend ownable.sol in my contract,there has some error.."
2298,2020-06-29 07:39:06.000000000,2020-08-22 22:44:21.000000000,closed,14,Feature/Access Control - Roles by account #2139
2297,2020-06-29 07:12:34.000000000,2020-06-29 07:37:35.000000000,closed,0,Feature/Access Control - Roles By Account #2139
2296,2020-06-29 00:16:49.000000000,2020-07-23 05:20:57.000000000,closed,9,Add enumerate() back into EnumerableSet
2295,2020-06-28 23:54:31.000000000,2020-06-30 19:06:27.000000000,closed,2,It's not an enumerable set if you can't enumerate it.
2294,2020-06-28 07:36:27.000000000,2020-06-30 07:29:49.000000000,closed,1,Update ReentrancyGuard.sol with minor gas cost saving
2293,2020-06-27 22:10:53.000000000,2020-06-27 22:31:28.000000000,closed,2,What is the idea behind making the the `owner` private in Ownable.sol?
2292,2020-06-26 09:09:50.000000000,2020-06-27 05:20:58.000000000,closed,2,Fixes broken link in ERC20 comment.
2291,2020-06-26 01:20:09.000000000,2020-08-08 10:33:55.000000000,closed,4,Re-enable coverage analysis
2290,2020-06-23 01:22:05.000000000,2020-06-23 21:25:31.000000000,closed,0,typo fix: forwared -> forwarded
2289,2020-06-22 18:13:34.000000000,2020-06-22 18:19:47.000000000,closed,1,added transfer event
2288,2020-06-20 17:52:27.000000000,2020-06-27 02:34:42.000000000,closed,6,Include mock contracts in NPM bundle
2287,2020-06-19 17:22:23.000000000,2020-06-19 18:00:06.000000000,closed,0,Separate mapping keyword by whitespace
2286,2020-06-19 12:46:23.000000000,2020-06-19 12:50:24.000000000,closed,0,Cannot read property 'value' of undefined
2285,2020-06-19 12:44:57.000000000,2020-06-19 12:49:55.000000000,closed,0, error::Cannot read property 'value' of undefined   when develop the contract
2283,2020-06-19 02:04:08.000000000,2020-08-11 23:51:59.000000000,closed,7,ERC20Snapshot should use hooks
2282,2020-06-18 14:18:11.000000000,2020-06-25 21:28:51.000000000,closed,1,Add to ERC1155 doc and minor fixes
2281,2020-06-17 06:27:06.000000000,2020-06-18 22:20:45.000000000,closed,3,SafeMath: Addition with custom revert message missing
2280,2020-06-15 13:18:47.000000000,2020-06-16 22:48:43.000000000,closed,0,Bump mocha from 7.2.0 to 8.0.1
2279,2020-06-15 05:26:31.000000000,2020-06-16 22:49:32.000000000,closed,0,Update dependency mocha to v8 - autoclosed
2278,2020-06-14 09:27:41.000000000,2020-06-17 00:02:45.000000000,closed,6,Remove _setBaseURI from Initialize
