id,created_at,closed_at,merged_at,state,merged
1334,2016-01-07 07:11:10.000000000,2016-01-07 11:17:53.000000000,2016-01-07 11:17:53.000000000,closed,True
1794,2016-05-07 11:23:17.000000000,2016-05-07 13:06:40.000000000,2016-05-07 13:06:40.000000000,closed,True
1820,2016-05-11 12:23:21.000000000,2016-05-11 22:29:28.000000000,2016-05-11 22:29:28.000000000,closed,True
2022,2016-06-07 22:47:10.000000000,2016-06-08 02:09:09.000000000,2016-06-08 02:09:09.000000000,closed,True
2041,2016-06-08 06:31:47.000000000,2016-06-08 10:57:31.000000000,2016-06-08 10:57:31.000000000,closed,True
2215,2016-07-04 06:03:48.000000000,2016-07-04 08:48:59.000000000,2016-07-04 08:48:59.000000000,closed,True
2216,2016-07-04 08:57:22.000000000,2016-07-04 08:57:44.000000000,1970-01-01 00:00:00.000000001,closed,False
2219,2016-07-05 04:27:35.000000000,2016-07-05 05:36:28.000000000,2016-07-05 05:36:28.000000000,closed,True
2348,2016-08-08 06:31:12.000000000,2016-08-08 09:50:04.000000000,2016-08-08 09:50:04.000000000,closed,True
2374,2016-08-13 08:19:19.000000000,2016-08-15 08:33:19.000000000,2016-08-15 08:33:19.000000000,closed,True
2390,2016-08-16 13:44:55.000000000,2016-08-18 12:35:46.000000000,2016-08-18 12:35:46.000000000,closed,True
2425,2016-08-24 14:11:10.000000000,2016-08-26 11:25:20.000000000,2016-08-26 11:25:20.000000000,closed,True
2470,2016-09-10 07:56:24.000000000,2016-09-10 08:05:54.000000000,1970-01-01 00:00:00.000000001,closed,False
2471,2016-09-10 08:10:27.000000000,2016-09-10 20:57:06.000000000,2016-09-10 20:57:06.000000000,closed,True
2593,2016-10-10 11:01:53.000000000,2016-10-11 03:26:51.000000000,2016-10-11 03:26:51.000000000,closed,True
2599,2016-10-11 09:38:56.000000000,2016-10-11 21:47:27.000000000,2016-10-11 21:47:27.000000000,closed,True
2602,2016-10-12 11:48:50.000000000,2016-10-16 07:01:30.000000000,1970-01-01 00:00:00.000000001,closed,False
2617,2016-10-17 08:14:42.000000000,2016-10-17 09:05:35.000000000,2016-10-17 09:05:35.000000000,closed,True
2636,2016-10-23 10:39:12.000000000,2016-11-18 10:33:33.000000000,1970-01-01 00:00:00.000000001,closed,False
2723,2016-11-14 12:30:50.000000000,2016-11-15 06:07:38.000000000,2016-11-15 06:07:38.000000000,closed,True
2812,2016-12-04 13:35:57.000000000,2016-12-04 15:30:47.000000000,2016-12-04 15:30:47.000000000,closed,True
2819,2016-12-05 06:35:43.000000000,2016-12-05 09:02:22.000000000,2016-12-05 09:02:22.000000000,closed,True
2907,2017-01-09 21:55:46.000000000,2017-01-10 07:33:46.000000000,2017-01-10 07:33:46.000000000,closed,True
2916,2017-01-12 08:45:09.000000000,2017-01-12 13:22:29.000000000,2017-01-12 13:22:29.000000000,closed,True
3059,2017-02-14 22:20:27.000000000,2017-02-15 00:27:29.000000000,2017-02-15 00:27:29.000000000,closed,True
3081,2017-02-19 05:58:29.000000000,2017-02-19 08:42:44.000000000,2017-02-19 08:42:44.000000000,closed,True
3194,2017-03-13 08:05:36.000000000,2017-03-16 20:13:20.000000000,2017-03-16 20:13:20.000000000,closed,True
3357,2017-04-23 06:00:27.000000000,2017-04-23 11:13:30.000000000,2017-04-23 11:13:30.000000000,closed,True
3359,2017-04-24 06:43:52.000000000,2017-04-24 08:03:01.000000000,2017-04-24 08:03:01.000000000,closed,True
3424,2017-05-15 00:39:24.000000000,2017-05-16 07:07:09.000000000,2017-05-16 07:07:09.000000000,closed,True
3630,2017-07-09 13:05:09.000000000,2017-07-09 13:05:28.000000000,1970-01-01 00:00:00.000000001,closed,False
4652,2018-02-04 18:38:14.000000000,2018-02-09 20:47:47.000000000,1970-01-01 00:00:00.000000001,closed,False
