id,created_at,closed_at,state,comments,title
2034,2020-08-31 16:42:49.000000000,2020-09-01 00:17:45.000000000,closed,2,feat(runtime): allow to automatically set GOMAXPROCS according to linux container quota
2033,2020-08-31 16:40:25.000000000,2020-09-01 00:17:52.000000000,closed,1,Automatically set GOMAXPROCS according to linux container cpu quota
2032,2020-08-31 16:12:47.000000000,2020-08-31 16:13:59.000000000,closed,0,chore: update repository template to 118b7850
2031,2020-08-31 15:20:11.000000000,1970-01-01 00:00:00.000000001,open,1,Expired token is considered an error
2030,2020-08-29 20:25:10.000000000,2020-08-29 20:25:58.000000000,closed,0,chore: update repository template to 1d3bdaf2
2029,2020-08-29 20:14:44.000000000,2020-08-29 20:25:48.000000000,closed,0,chore: update repository template to e3cc51a3
2028,2020-08-29 20:06:18.000000000,2020-08-29 20:15:48.000000000,closed,0,chore: update repository template to edcdd4b0
2027,2020-08-29 20:06:13.000000000,2020-08-29 20:07:10.000000000,closed,0,chore: update repository template to edcdd4b0
2026,2020-08-29 20:06:08.000000000,2020-08-29 20:07:10.000000000,closed,0,chore: update repository template to edcdd4b0
2025,2020-08-29 20:06:02.000000000,2020-08-29 20:07:10.000000000,closed,0,chore: update repository template to edcdd4b0
2024,2020-08-28 12:34:57.000000000,1970-01-01 00:00:00.000000001,open,3,hydra migrate fails with 1.7.0 for mysql
2023,2020-08-27 21:36:38.000000000,2020-08-28 17:21:51.000000000,closed,0,NYT style capitalization
2022,2020-08-27 19:48:29.000000000,1970-01-01 00:00:00.000000001,open,4,Reuse Detection in Refresh Token Rotation
2021,2020-08-27 13:27:48.000000000,2020-08-27 15:20:17.000000000,closed,2,docs: add note about refresh token invalidation
2020,2020-08-26 23:00:48.000000000,1970-01-01 00:00:00.000000001,open,1,Update clients from cli
2019,2020-08-26 22:07:06.000000000,2020-08-27 15:21:47.000000000,closed,2,NYT style capitalization
2018,2020-08-26 19:14:24.000000000,1970-01-01 00:00:00.000000001,open,1,Multi-region deployment support
2017,2020-08-25 20:36:55.000000000,1970-01-01 00:00:00.000000001,open,0,Publish a generated csharp SDK
2016,2020-08-25 05:11:16.000000000,2020-08-25 06:23:45.000000000,closed,1,"[HELP] The OAuth 2.0 Client is not allowed to request scope ""email"""
2015,2020-08-24 19:53:31.000000000,1970-01-01 00:00:00.000000001,open,0,Use NYT Capitalization for all Swagger headlines
2014,2020-08-24 18:25:01.000000000,1970-01-01 00:00:00.000000001,open,2,docs: gitlab hydra integration #2007
2013,2020-08-24 17:10:41.000000000,2020-08-24 17:17:36.000000000,closed,1,docs: fixed link
2012,2020-08-24 12:18:01.000000000,2020-08-24 12:56:46.000000000,closed,0,feat: add and automate version schema
2011,2020-08-24 12:01:49.000000000,2020-08-24 12:35:02.000000000,closed,0,Deprecate client flags in introspect
2010,2020-08-23 19:18:33.000000000,2020-08-24 11:47:31.000000000,closed,1,fix spelling
2009,2020-08-23 10:17:32.000000000,2020-08-24 11:44:51.000000000,closed,0,docs: Update README.md
2008,2020-08-21 16:46:51.000000000,2020-08-24 11:45:39.000000000,closed,4,feat: Use ory/x tracing package
2007,2020-08-21 14:09:44.000000000,1970-01-01 00:00:00.000000001,open,0,Document GitLab setup with ORY Hydra as the OpenID Connect Provider
2006,2020-08-21 12:23:44.000000000,2020-08-31 16:59:05.000000000,closed,3,OpenIDConnect::Discovery::DiscoveryFailed (Issuer mismatch)
2005,2020-08-21 10:07:21.000000000,2020-08-21 11:49:55.000000000,closed,2,gitlab openid connect try to access '.well-known/webfinger' fail
2004,2020-08-20 23:59:53.000000000,1970-01-01 00:00:00.000000001,open,1,OpenID Connect Client Initiated Backchannel Authentication Flow
2003,2020-08-20 19:50:14.000000000,2020-08-20 19:51:49.000000000,closed,0,ci: fix etcd CVEs
2002,2020-08-20 19:45:23.000000000,2020-08-20 19:53:31.000000000,closed,0,docs: remove introspect security spec
2001,2020-08-19 20:48:02.000000000,2020-08-21 14:05:31.000000000,closed,2,"perf: add (client_id, subject) index to access and refresh tables to improve revocation performance"
2000,2020-08-19 20:42:52.000000000,2020-08-21 14:05:33.000000000,closed,1,DB Chocking while doing bulk signout/ Flushing tokens
1999,2020-08-19 18:05:41.000000000,2020-08-19 18:28:48.000000000,closed,1,Support ECDSA keys for Client Authentication using JWT Assertions
1998,2020-08-18 11:25:45.000000000,1970-01-01 00:00:00.000000001,open,3,Issue while using SERVE_TLS_ALLOW_TERMINATION_FROM
1997,2020-08-18 08:12:19.000000000,2020-08-21 14:05:30.000000000,closed,3,Slow consent revocation request
1996,2020-08-17 20:12:08.000000000,1970-01-01 00:00:00.000000001,open,5,DRAFT WIP Ory Hydra Roadmap: July - December 2020
1995,2020-08-17 15:43:31.000000000,2020-08-24 18:10:20.000000000,closed,6,Consent approve on IDP side broken because of not valid CSRF cookie
1994,2020-08-15 22:19:40.000000000,1970-01-01 00:00:00.000000001,open,9,Do not distinguish between OP/RP initiated logout for `id_token_hint`
1993,2020-08-15 12:34:34.000000000,1970-01-01 00:00:00.000000001,open,1,issueLogoutVerifier should allow POST requests as well
1992,2020-08-14 21:55:41.000000000,2020-08-21 11:55:54.000000000,closed,1,docs: Hydra supports two concepts of authorization
1991,2020-08-14 15:33:46.000000000,2020-08-14 18:26:06.000000000,closed,9,PK column auto increment causing issues
1990,2020-08-14 15:30:09.000000000,2020-08-14 15:43:13.000000000,closed,0,Fix cypress logout tests
1989,2020-08-14 12:59:18.000000000,1970-01-01 00:00:00.000000001,open,7,RSA key generation is slow on ARM
1988,2020-08-14 10:58:01.000000000,2020-08-14 12:03:24.000000000,closed,2,Cookie issue with google chrome Version 84.0.4147.125 (http can't set cookie for browser) request_forbidden.
1987,2020-08-12 05:45:37.000000000,2020-08-12 12:12:38.000000000,closed,2,Slow query when hydra_oauth2_consent_request growth
1986,2020-08-11 18:27:52.000000000,2020-08-28 14:35:47.000000000,closed,0,add the config schema to schemastore.org
1985,2020-08-11 17:37:11.000000000,2020-08-11 17:38:18.000000000,closed,0,chore: update docusaurus template
1984,2020-08-11 15:11:26.000000000,2020-08-11 16:51:27.000000000,closed,0,docs: fixed headings
1983,2020-08-10 15:03:04.000000000,2020-08-10 15:38:15.000000000,closed,0,fix: send total item count in X-Total-Count header
1982,2020-08-10 14:01:14.000000000,2020-08-10 14:57:03.000000000,closed,0,fix: add uri to jaeger's local_agent_address
1981,2020-08-09 16:16:06.000000000,2020-08-14 12:03:24.000000000,closed,14,"5 Minute Tutorial v1.6 in ""perform the OAuth 2.0 Authorization Code Grant"" section error when run in Chrome 84.0.4147.105 (Official Build) (64-bit) (macOS)"
1980,2020-08-07 20:00:31.000000000,2020-08-09 17:29:14.000000000,closed,1,docs: Add 1.5 notes to UPGRADING.md
1979,2020-08-07 17:10:53.000000000,1970-01-01 00:00:00.000000001,open,0,Only generate keys when they are needed
1978,2020-08-07 16:34:56.000000000,2020-08-07 16:36:32.000000000,closed,0,chore: update docusaurus template
1977,2020-08-07 16:30:10.000000000,2020-08-07 16:34:04.000000000,closed,0,docs: fix broken links
1976,2020-08-06 15:55:17.000000000,2020-08-06 15:59:14.000000000,closed,0,chore: update docusaurus template
1975,2020-08-06 12:37:44.000000000,2020-08-06 13:08:13.000000000,closed,0,docs: resolve build issues
1974,2020-08-06 03:03:09.000000000,1970-01-01 00:00:00.000000001,open,7,Custom claims in access token jwt
1973,2020-08-06 01:26:59.000000000,2020-08-06 02:10:50.000000000,closed,0,docs: add and automate CLI docs markdown generator
1972,2020-08-06 00:24:52.000000000,2020-08-06 00:29:04.000000000,closed,0,chore: update docusaurus template
1971,2020-08-05 21:46:22.000000000,1970-01-01 00:00:00.000000001,open,1,feat: Expose introspection endpoint at OIDC Discovery
1970,2020-08-05 19:59:36.000000000,2020-08-06 17:03:44.000000000,closed,2,docs: CLI reference
1969,2020-08-05 13:24:46.000000000,2020-08-05 17:56:22.000000000,closed,0,docs: fixed link
