id,created_at,closed_at,state,comments,title
485,2020-08-19 10:13:25.000000000,1970-01-01 00:00:00.000000001,open,0,Custom URL Schemes vs Deep Links
484,2020-08-12 17:00:16.000000000,2020-08-12 17:02:33.000000000,closed,0,removed myself from the project team mail list
483,2020-08-07 10:43:13.000000000,1970-01-01 00:00:00.000000001,open,0,MASVS link issue for builds 
482,2020-07-31 10:46:05.000000000,2020-08-03 12:20:39.000000000,closed,1,Update 0x02-Frontispiece.md
481,2020-07-31 10:37:47.000000000,2020-08-03 12:20:08.000000000,closed,0,Update 0x02-Frontispiece.md
480,2020-07-27 15:42:26.000000000,2020-08-15 08:42:16.000000000,closed,0,Translate 0x90 appendix a glossary.md ptpt
479,2020-07-24 21:04:17.000000000,2020-08-15 08:57:42.000000000,closed,0,Translation of chapters 12 and changelog to Portuguese
478,2020-07-24 00:08:37.000000000,2020-08-15 08:50:50.000000000,closed,0,Document ptpt 0x03
477,2020-07-23 14:46:30.000000000,2020-08-03 12:17:38.000000000,closed,0,translate-foreword-ptpt - Fixing some typos as reviewed by filipagcx
476,2020-07-23 13:07:37.000000000,2020-08-03 12:16:57.000000000,closed,0,Fix typos.
475,2020-07-23 02:28:33.000000000,1970-01-01 00:00:00.000000001,open,0,translated a few files for PTPT (WIP)
474,2020-07-22 15:33:46.000000000,2020-07-22 22:29:59.000000000,closed,0,adding some ptpt specific metadata
473,2020-07-22 13:34:20.000000000,2020-07-23 12:41:32.000000000,closed,0,translated 0x01-Forewrod.md to ptpt
472,2020-07-21 14:49:40.000000000,1970-01-01 00:00:00.000000001,open,0,"0x11-V6, 0x07-V2, 0x09-V4, 0x08-V3"
471,2020-07-20 10:35:31.000000000,2020-07-21 22:56:34.000000000,closed,0,Updated Portuguese automation
470,2020-07-19 22:10:12.000000000,2020-07-21 18:05:48.000000000,closed,1,Translation PTPT 0x02-Frontispiece
469,2020-07-19 19:38:25.000000000,2020-07-22 22:29:20.000000000,closed,1,Some translations for PT-PT
468,2020-07-16 20:10:29.000000000,2020-07-17 00:18:00.000000000,closed,0,copy of the Document folder to Document-ptpt so we can start working on pt-PT support
467,2020-07-15 15:49:21.000000000,1970-01-01 00:00:00.000000001,open,2,Translate to Portuguese (Portugal)
466,2020-07-09 13:35:32.000000000,1970-01-01 00:00:00.000000001,open,1,Enhance MASVS Export List for Project integration (WIP)
465,2020-07-09 12:11:43.000000000,2020-07-09 12:21:24.000000000,closed,0,#460: fixed link for referencing to iOS
464,2020-07-09 11:38:02.000000000,1970-01-01 00:00:00.000000001,open,2,Double glossary versions
463,2020-07-04 15:26:38.000000000,2020-07-04 15:28:05.000000000,closed,0,Pr 0x09 v4 authentication and session management requirements
462,2020-07-04 14:58:36.000000000,2020-07-09 11:33:06.000000000,closed,0,Added Hindi Translators
461,2020-06-30 14:06:28.000000000,2020-07-09 12:04:40.000000000,closed,5,React Native and Flutter are not hybrid as per the given definition
460,2020-06-29 01:15:34.000000000,2020-07-09 12:21:24.000000000,closed,2,Не верно указана ссылка 
459,2020-06-14 23:53:09.000000000,2020-08-23 21:27:47.000000000,closed,2,Translation to Brazilian Portuguese - ptbr
458,2020-06-12 08:51:06.000000000,2020-07-04 14:59:49.000000000,closed,1,PR for #415
457,2020-06-08 06:41:14.000000000,2020-06-09 14:12:47.000000000,closed,1,replaced dead link
456,2020-06-07 17:10:40.000000000,2020-06-09 14:14:07.000000000,closed,1,Glossary hindi translation
455,2020-05-30 09:49:19.000000000,2020-07-24 13:57:30.000000000,closed,0,Some improvements for Persian translation
454,2020-05-27 13:12:49.000000000,2020-05-27 13:32:09.000000000,closed,0,fix document link in readme
453,2020-05-27 10:38:36.000000000,2020-05-27 11:49:08.000000000,closed,0,Updated readme and release process so that all languages are in
452,2020-05-27 07:23:10.000000000,1970-01-01 00:00:00.000000001,open,2,Update 0x06-V1-Architecture_design_and_threat_modelling_requireme.md
451,2020-05-26 19:13:08.000000000,2020-05-26 22:43:09.000000000,closed,0,Support Brazilian Portuguese in terms of tooling
450,2020-05-26 19:05:58.000000000,2020-05-26 19:09:27.000000000,closed,0,Translate to brazilian portuguese-issue #449
449,2020-05-24 19:02:08.000000000,1970-01-01 00:00:00.000000001,open,5,Translate to Brazilian Portuguese
448,2020-05-23 17:26:30.000000000,2020-07-04 15:41:05.000000000,closed,3,Pr 0x09 v4 authentication and session management requirements
447,2020-05-18 11:51:23.000000000,2020-05-18 13:34:45.000000000,closed,0,Version mismatch
446,2020-05-15 13:25:27.000000000,2020-05-16 02:19:21.000000000,closed,0,Update changelog.md for sim chinese
445,2020-05-04 09:16:10.000000000,2020-05-27 09:03:12.000000000,closed,0,Update README.md
444,2020-05-02 17:37:20.000000000,2020-05-31 03:56:48.000000000,closed,1,0x15-v8 translated
443,2020-04-29 19:58:33.000000000,1970-01-01 00:00:00.000000001,open,1,Warning message and/or preventing screenshot for personal data sensitive applications
442,2020-04-25 21:11:26.000000000,2020-05-16 02:22:18.000000000,closed,3,A_glossary_hindi_translation
441,2020-04-24 05:33:34.000000000,1970-01-01 00:00:00.000000001,open,1,review #1
440,2020-04-19 02:55:19.000000000,2020-04-19 16:38:02.000000000,closed,0,Automation pagebreak fix
439,2020-04-17 13:04:31.000000000,2020-04-17 13:07:51.000000000,closed,0,Fix Persian Translators names
438,2020-04-17 12:19:04.000000000,2020-04-17 12:21:16.000000000,closed,0,Update Persian Translators
437,2020-04-17 11:38:56.000000000,2020-04-17 11:53:19.000000000,closed,0,Fixed a few broken urls
436,2020-04-16 23:33:36.000000000,2020-04-17 12:03:11.000000000,closed,0,Translation of chapter 0x04 to Persian (#401)
435,2020-04-15 15:04:06.000000000,2020-04-15 15:05:54.000000000,closed,0,Update 0x04-Assessment_and_Certification.md
434,2020-04-11 10:15:32.000000000,2020-06-18 12:30:08.000000000,closed,0,PR for #415
433,2020-04-10 20:12:03.000000000,1970-01-01 00:00:00.000000001,open,1,Crypto requirements - key rotation
432,2020-04-09 18:17:35.000000000,2020-07-27 16:59:50.000000000,closed,5,translate 0x03-Using_the_MASVS.md
431,2020-04-09 16:29:04.000000000,2020-04-09 18:45:07.000000000,closed,0,Apply lint check as it seems to drop out after merge mster backin
430,2020-04-09 09:53:39.000000000,2020-04-09 14:51:55.000000000,closed,0,Updated urls again
429,2020-04-09 02:06:14.000000000,2020-04-09 15:12:08.000000000,closed,2,Persian Translation - Tables
428,2020-04-08 13:59:51.000000000,2020-04-08 14:22:43.000000000,closed,0,Fix #427 small typo
427,2020-04-08 13:57:27.000000000,2020-04-08 14:22:44.000000000,closed,0,"Mistype in localized file ""0x06-V1-Architecture_design_and_threat_modelling_requireme.md"""
426,2020-04-07 15:48:31.000000000,2020-05-03 11:20:35.000000000,closed,6,PR_0x02-Frontispiece.md
425,2020-04-06 23:50:53.000000000,2020-04-08 01:54:29.000000000,closed,1,Translation of chapter 0x03 to Persian (#401)
424,2020-04-06 21:09:48.000000000,2020-04-17 12:04:02.000000000,closed,10,Persian translation
423,2020-04-06 15:26:12.000000000,2020-04-06 15:33:18.000000000,closed,2,Update 0x08-V3-Cryptography_Verification_Requirements.md
422,2020-04-06 15:15:16.000000000,2020-04-06 15:33:25.000000000,closed,0,Update 0x07-V2-Data_Storage_and_Privacy_requirements.md
421,2020-04-04 21:33:57.000000000,2020-04-14 15:55:13.000000000,closed,3,PR for #415
420,2020-04-04 09:29:55.000000000,2020-04-04 14:56:27.000000000,closed,0,Support for hindi improved
419,2020-04-02 19:18:20.000000000,2020-04-18 06:15:35.000000000,closed,4,PR for #415
418,2020-03-31 10:29:33.000000000,2020-03-31 10:54:56.000000000,closed,0,#415: Add hindi support in tooling (experimental)
417,2020-03-31 10:08:26.000000000,2020-03-31 10:23:51.000000000,closed,0,Initial PR for 415
416,2020-03-29 21:15:34.000000000,1970-01-01 00:00:00.000000001,open,2,"Mistype in ""0x03-Using_the_MASVS"" chapter"
415,2020-03-29 12:31:46.000000000,1970-01-01 00:00:00.000000001,open,10,MASVS translation in Hindi
414,2020-03-27 14:30:53.000000000,1970-01-01 00:00:00.000000001,open,4,Duplicate control: 2.6 and 6.4
413,2020-03-27 13:40:30.000000000,2020-03-31 04:19:19.000000000,closed,0,Translation of chapter 0x02 to Persian (#401)
412,2020-03-27 13:10:27.000000000,2020-03-27 13:58:53.000000000,closed,1,Translation of chapter 0x02 to Persian (#399)
411,2020-03-27 13:04:53.000000000,1970-01-01 00:00:00.000000001,open,2,Consistency in wording
410,2020-03-25 15:09:59.000000000,2020-03-25 15:30:57.000000000,closed,1,Fix CSV inconsistency
409,2020-03-24 10:44:08.000000000,2020-03-24 18:42:56.000000000,closed,1,Fixes for all older owasp links and removal of dead links
408,2020-03-24 00:02:54.000000000,2020-03-25 15:30:57.000000000,closed,5,Inconsistency in requirement 2.8 between Gitbook and CSV file.
407,2020-03-23 23:48:54.000000000,2020-03-26 23:59:01.000000000,closed,4,Translation of chapter 0x01 to Persian (#399)
406,2020-03-23 10:04:39.000000000,2020-03-23 10:06:41.000000000,closed,0,Slack urls updated
405,2020-03-23 06:57:22.000000000,2020-03-23 09:58:40.000000000,closed,1,Invite Link Expired
404,2020-03-19 00:59:24.000000000,2020-03-19 16:53:37.000000000,closed,0,Container updates
403,2020-03-17 17:28:11.000000000,2020-03-17 17:30:41.000000000,closed,0,Change to release
402,2020-03-17 17:17:31.000000000,2020-03-17 17:21:19.000000000,closed,0,Change to release
401,2020-03-17 12:13:46.000000000,2020-04-09 15:11:22.000000000,closed,11,Persian automation support
400,2020-03-15 19:23:09.000000000,2020-03-16 23:49:11.000000000,closed,1,Translation of chapter 0x06 to Persian (#399)
399,2020-03-15 00:38:34.000000000,1970-01-01 00:00:00.000000001,open,3,Create a Persian translation
398,2020-03-13 14:32:07.000000000,2020-03-13 14:43:12.000000000,closed,0,Add support for forks to be reviewed with new tooling
397,2020-03-13 01:30:28.000000000,2020-03-13 01:36:15.000000000,closed,0,Ensure same plugin is being used 
396,2020-03-12 14:29:46.000000000,2020-03-13 16:53:31.000000000,closed,2,Add Persian Translation of Mobile Application Security Verification Standard
395,2020-03-11 10:58:21.000000000,2020-03-11 18:10:38.000000000,closed,1,Added pandocker licence link
394,2020-03-09 15:49:30.000000000,2020-03-17 16:57:38.000000000,closed,3,CHANGELOG Translation
393,2020-03-09 13:20:35.000000000,2020-03-09 15:41:27.000000000,closed,0,Update release process
392,2020-03-09 12:49:10.000000000,2020-03-18 02:32:44.000000000,closed,1,Changelog.md in Root
391,2020-03-07 20:03:05.000000000,2020-03-08 01:20:23.000000000,closed,0,Release V1.2 - international release
390,2020-03-06 22:15:43.000000000,2020-03-07 00:10:51.000000000,closed,1,Update CHANGELOG.md
389,2020-03-06 18:55:27.000000000,2020-03-09 12:21:08.000000000,closed,2,Release V1.2 - international release
388,2020-03-06 16:41:52.000000000,2020-03-06 16:44:35.000000000,closed,0,Update of top margin:
387,2020-03-06 01:39:34.000000000,2020-03-06 08:37:51.000000000,closed,0,final corrections
386,2020-03-05 23:43:04.000000000,2020-03-06 01:14:57.000000000,closed,0,#361:Updated automated build for tags with some minor corrections
385,2020-03-05 21:33:00.000000000,2020-03-05 23:29:11.000000000,closed,0,Automation 9
384,2020-03-05 20:53:20.000000000,2020-03-05 21:27:22.000000000,closed,0,#361:Added versioning (so not using SNAPSHOT for actual releases)
