id,created_at,closed_at,merged_at,state,merged
2,2017-06-17 22:34:19.000000000,2017-06-19 02:40:45.000000000,1970-01-01 00:00:00.000000001,closed,False
3,2017-06-19 02:44:58.000000000,2017-07-02 23:34:41.000000000,2017-07-02 23:34:41.000000000,closed,True
6,2017-07-15 23:34:17.000000000,2017-07-23 02:09:16.000000000,2017-07-23 02:09:16.000000000,closed,True
7,2017-07-24 21:15:05.000000000,2017-09-06 22:54:29.000000000,2017-09-06 22:54:29.000000000,closed,True
39,2017-11-14 02:18:48.000000000,2018-01-16 02:46:32.000000000,2018-01-16 02:46:32.000000000,closed,True
47,2018-01-16 02:49:28.000000000,2018-01-16 02:49:41.000000000,2018-01-16 02:49:40.000000000,closed,True
48,2018-01-30 00:05:41.000000000,2018-02-22 09:46:04.000000000,2018-02-22 09:46:04.000000000,closed,True
51,2018-02-08 10:07:41.000000000,2018-02-08 10:09:34.000000000,2018-02-08 10:09:34.000000000,closed,True
57,2018-02-19 19:13:03.000000000,2018-02-19 19:35:53.000000000,2018-02-19 19:35:53.000000000,closed,True
67,2018-04-27 06:31:19.000000000,2018-04-27 06:33:50.000000000,2018-04-27 06:33:50.000000000,closed,True
68,2018-04-27 20:14:24.000000000,2018-05-01 04:07:49.000000000,2018-05-01 04:07:49.000000000,closed,True
70,2018-05-02 21:41:02.000000000,2018-06-13 05:40:53.000000000,2018-06-13 05:40:53.000000000,closed,True
71,2018-05-06 03:37:20.000000000,2018-05-09 17:44:17.000000000,2018-05-09 17:44:17.000000000,closed,True
73,2018-05-10 18:26:19.000000000,2018-06-12 23:22:50.000000000,2018-06-12 23:22:50.000000000,closed,True
82,2018-06-02 00:02:04.000000000,2018-06-22 22:31:44.000000000,2018-06-22 22:31:44.000000000,closed,True
92,2018-06-12 17:44:43.000000000,2018-06-19 22:13:14.000000000,2018-06-19 22:13:14.000000000,closed,True
93,2018-06-13 02:09:08.000000000,2018-06-14 17:41:21.000000000,2018-06-14 17:41:21.000000000,closed,True
94,2018-06-20 04:26:44.000000000,2018-06-25 16:08:57.000000000,2018-06-25 16:08:57.000000000,closed,True
98,2018-06-27 21:23:26.000000000,2018-07-03 21:09:00.000000000,2018-07-03 21:09:00.000000000,closed,True
99,2018-06-28 04:04:16.000000000,2018-08-11 20:41:35.000000000,1970-01-01 00:00:00.000000001,closed,False
103,2018-07-05 16:50:50.000000000,2019-11-08 11:12:25.000000000,1970-01-01 00:00:00.000000001,closed,False
104,2018-07-05 18:06:55.000000000,2018-12-03 22:29:09.000000000,1970-01-01 00:00:00.000000001,closed,False
113,2018-07-18 17:38:07.000000000,2018-08-29 18:49:59.000000000,1970-01-01 00:00:00.000000001,closed,False
121,2018-08-11 20:40:59.000000000,2018-08-28 21:44:52.000000000,2018-08-28 21:44:52.000000000,closed,True
125,2018-08-14 19:07:16.000000000,2018-08-14 19:07:43.000000000,1970-01-01 00:00:00.000000001,closed,False
126,2018-08-14 19:09:28.000000000,2018-08-28 22:46:45.000000000,2018-08-28 22:46:45.000000000,closed,True
131,2018-08-28 22:55:20.000000000,2018-11-20 01:54:06.000000000,1970-01-01 00:00:00.000000001,closed,False
132,2018-08-29 18:48:37.000000000,2018-09-04 23:11:34.000000000,1970-01-01 00:00:00.000000001,closed,False
133,2018-09-04 23:10:36.000000000,2018-11-27 12:09:26.000000000,2018-11-27 12:09:26.000000000,closed,True
137,2018-09-09 19:27:41.000000000,2018-11-16 14:30:15.000000000,2018-11-16 14:30:14.000000000,closed,True
143,2018-11-20 01:53:05.000000000,2019-01-30 00:33:04.000000000,1970-01-01 00:00:00.000000001,closed,False
152,2018-11-27 23:51:54.000000000,2018-11-30 03:24:18.000000000,1970-01-01 00:00:00.000000001,closed,False
156,2018-11-29 05:00:48.000000000,2019-11-08 11:10:59.000000000,1970-01-01 00:00:00.000000001,closed,False
169,2019-01-30 23:33:41.000000000,2019-02-01 03:07:50.000000000,2019-02-01 03:07:50.000000000,closed,True
172,2019-02-06 02:11:21.000000000,2019-02-06 02:15:54.000000000,2019-02-06 02:15:54.000000000,closed,True
174,2019-02-07 04:30:08.000000000,2019-02-22 02:17:53.000000000,1970-01-01 00:00:00.000000001,closed,False
175,2019-02-07 21:43:38.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,open,False
176,2019-02-08 22:35:35.000000000,2019-02-14 00:04:50.000000000,2019-02-14 00:04:50.000000000,closed,True
178,2019-02-22 02:17:07.000000000,2019-03-06 02:17:01.000000000,2019-03-06 02:17:01.000000000,closed,True
184,2019-02-26 23:19:05.000000000,2019-03-12 17:38:51.000000000,2019-03-12 17:38:51.000000000,closed,True
185,2019-02-28 04:19:37.000000000,2019-09-08 08:18:15.000000000,1970-01-01 00:00:00.000000001,closed,False
187,2019-03-06 01:55:10.000000000,2019-03-30 01:01:01.000000000,2019-03-30 01:01:00.000000000,closed,True
190,2019-03-12 22:57:26.000000000,2019-03-15 22:13:32.000000000,2019-03-15 22:13:32.000000000,closed,True
191,2019-03-15 02:34:51.000000000,2019-03-15 22:09:26.000000000,2019-03-15 22:09:26.000000000,closed,True
194,2019-03-19 05:49:57.000000000,2019-03-19 18:48:36.000000000,2019-03-19 18:48:36.000000000,closed,True
197,2019-03-29 22:56:48.000000000,2019-03-30 03:34:31.000000000,2019-03-30 03:34:31.000000000,closed,True
198,2019-04-01 20:01:24.000000000,2019-05-28 08:57:58.000000000,2019-05-28 08:57:57.000000000,closed,True
202,2019-04-09 09:57:13.000000000,2019-04-13 18:55:51.000000000,2019-04-13 18:55:51.000000000,closed,True
205,2019-04-15 14:20:20.000000000,2019-05-28 08:58:00.000000000,2019-05-28 08:58:00.000000000,closed,True
209,2019-04-23 21:43:51.000000000,2019-04-23 22:09:49.000000000,2019-04-23 22:09:49.000000000,closed,True
210,2019-04-29 21:04:15.000000000,2019-04-30 04:20:03.000000000,2019-04-30 04:20:03.000000000,closed,True
211,2019-04-30 04:35:44.000000000,2019-04-30 04:54:09.000000000,2019-04-30 04:54:09.000000000,closed,True
215,2019-05-07 20:23:40.000000000,2019-05-28 08:53:14.000000000,1970-01-01 00:00:00.000000001,closed,False
221,2019-06-04 06:46:04.000000000,2019-06-04 19:23:42.000000000,2019-06-04 19:23:42.000000000,closed,True
223,2019-06-06 21:29:52.000000000,2019-06-06 22:38:51.000000000,2019-06-06 22:38:51.000000000,closed,True
