id,created_at,closed_at,merged_at,state,merged
3,2016-09-21 18:02:09.000000000,2016-09-21 18:19:38.000000000,2016-09-21 18:19:38.000000000,closed,True
7,2017-01-04 20:24:19.000000000,2017-01-04 20:32:05.000000000,2017-01-04 20:32:05.000000000,closed,True
10,2017-01-08 23:55:26.000000000,2017-01-09 13:31:43.000000000,2017-01-09 13:31:43.000000000,closed,True
12,2017-02-02 21:57:54.000000000,2017-02-05 08:50:05.000000000,2017-02-05 08:50:05.000000000,closed,True
18,2017-04-02 19:27:32.000000000,2017-04-02 19:28:51.000000000,2017-04-02 19:28:51.000000000,closed,True
22,2017-05-11 16:56:23.000000000,2017-05-13 20:33:16.000000000,2017-05-13 20:33:16.000000000,closed,True
31,2017-07-06 10:32:24.000000000,2017-07-06 10:36:25.000000000,2017-07-06 10:36:25.000000000,closed,True
32,2017-07-06 12:43:54.000000000,2017-07-06 14:36:58.000000000,2017-07-06 14:36:58.000000000,closed,True
46,2017-09-03 16:29:17.000000000,2017-09-03 16:32:33.000000000,2017-09-03 16:32:33.000000000,closed,True
75,2018-02-25 20:09:05.000000000,2018-02-25 20:09:16.000000000,2018-02-25 20:09:16.000000000,closed,True
95,2018-06-22 12:15:37.000000000,2018-06-22 12:15:53.000000000,2018-06-22 12:15:53.000000000,closed,True
117,2018-09-22 16:58:17.000000000,2018-09-22 17:17:05.000000000,2018-09-22 17:17:05.000000000,closed,True
120,2018-09-29 22:17:29.000000000,2018-09-29 22:20:20.000000000,2018-09-29 22:20:20.000000000,closed,True
142,2018-10-31 10:55:24.000000000,2018-10-31 10:56:09.000000000,2018-10-31 10:56:09.000000000,closed,True
170,2018-12-28 10:35:57.000000000,2018-12-28 10:36:25.000000000,2018-12-28 10:36:25.000000000,closed,True
173,2019-02-10 14:44:59.000000000,2019-02-10 14:49:33.000000000,2019-02-10 14:49:33.000000000,closed,True
177,2019-03-09 13:56:25.000000000,2019-03-09 16:27:31.000000000,2019-03-09 16:27:31.000000000,closed,True
180,2019-03-31 20:22:04.000000000,2019-03-31 23:01:10.000000000,2019-03-31 23:01:10.000000000,closed,True
192,2019-04-11 17:25:27.000000000,2019-04-11 17:26:06.000000000,2019-04-11 17:26:06.000000000,closed,True
196,2019-04-15 03:34:46.000000000,2019-04-15 03:37:45.000000000,2019-04-15 03:37:45.000000000,closed,True
207,2019-04-21 03:30:16.000000000,2019-04-21 03:34:28.000000000,2019-04-21 03:34:28.000000000,closed,True
220,2019-05-09 14:49:56.000000000,2019-05-09 14:56:47.000000000,2019-05-09 14:56:47.000000000,closed,True
231,2019-06-10 14:27:49.000000000,2019-08-05 11:57:35.000000000,1970-01-01 00:00:00.000000001,closed,False
236,2019-06-27 17:42:09.000000000,2019-06-27 19:26:54.000000000,2019-06-27 19:26:54.000000000,closed,True
249,2019-08-16 08:35:05.000000000,2019-08-16 08:45:12.000000000,2019-08-16 08:45:12.000000000,closed,True
319,2019-11-06 02:23:17.000000000,2019-11-06 09:46:14.000000000,1970-01-01 00:00:00.000000001,closed,False
328,2019-12-10 13:47:02.000000000,2019-12-10 13:56:44.000000000,2019-12-10 13:56:44.000000000,closed,True
331,2019-12-10 20:54:30.000000000,2019-12-10 20:56:32.000000000,2019-12-10 20:56:32.000000000,closed,True
