id,created_at,closed_at,state,comments,title
7702,2020-08-31 18:53:26.000000000,1970-01-01 00:00:00.000000001,open,0,Qbadge does not work with QBtnToggle
7701,2020-08-31 17:25:10.000000000,1970-01-01 00:00:00.000000001,open,0,When second click to selected node on QTree selected key becomes null
7700,2020-08-31 17:17:06.000000000,1970-01-01 00:00:00.000000001,open,0,"[docs] [bugs] enabling scrolling UX of Tabs in Drawer components, no-swipe-close ignored "
7699,2020-08-31 16:44:39.000000000,1970-01-01 00:00:00.000000001,open,0,QTree - Custom filtering with custom filters
7698,2020-08-31 14:24:21.000000000,2020-08-31 18:06:21.000000000,closed,3,QAjaxBar: ability to hide bar on specific page manually
7697,2020-08-30 14:17:30.000000000,2020-08-30 17:21:15.000000000,closed,2,The event object is not passed to QInput events
7696,2020-08-29 06:07:29.000000000,1970-01-01 00:00:00.000000001,open,0,QScrollArea.scrollPercentage
7695,2020-08-28 19:05:49.000000000,2020-08-29 00:25:49.000000000,closed,4,Cannot resolve importing script even when in the same folder
7694,2020-08-28 18:58:59.000000000,1970-01-01 00:00:00.000000001,open,5,"""quasar dev -m capacitor -T android"" not launching Android Studio"
7693,2020-08-28 07:30:09.000000000,1970-01-01 00:00:00.000000001,open,0,"[Service-Worker Bug] The new offline.html has been cached, but the refresh is still the old version of offline.html."
7692,2020-08-27 17:01:07.000000000,2020-08-27 20:41:26.000000000,closed,1,Update QBtnDropdown.json
7691,2020-08-27 14:58:51.000000000,2020-08-27 20:43:25.000000000,closed,2,Duplicated text on DO & DON'Ts page on the docs.
7690,2020-08-27 04:21:26.000000000,1970-01-01 00:00:00.000000001,open,2,QSticky z index - QInput outlined overlaps QSticky
7689,2020-08-26 17:51:48.000000000,1970-01-01 00:00:00.000000001,open,0,Content Template-Slot for FAB (Floating Action Button) 
7688,2020-08-26 17:12:24.000000000,2020-08-26 18:06:21.000000000,closed,1,Update intersection.md
7687,2020-08-26 14:04:47.000000000,1970-01-01 00:00:00.000000001,open,0,.htaccess vom /public folder won´t get copied to /dist folder when building
7686,2020-08-26 13:57:33.000000000,1970-01-01 00:00:00.000000001,open,0,Click events inside q-route-tab gets not triggered anymore
7685,2020-08-26 11:27:03.000000000,2020-08-26 18:02:18.000000000,closed,1,Add missing closing backticks for codeblock
7684,2020-08-26 03:54:39.000000000,1970-01-01 00:00:00.000000001,open,2,Splitter resizing breaks when changing :horizontal state
7683,2020-08-26 03:03:06.000000000,1970-01-01 00:00:00.000000001,open,2,"Problem of swiping on touchscreen to up and down  on mobile platform (Android, Chrome) for SPA application."
7682,2020-08-26 02:16:37.000000000,1970-01-01 00:00:00.000000001,open,0,QDate unexpectedly clears selected date
7681,2020-08-25 16:53:16.000000000,2020-08-25 18:11:00.000000000,closed,2,Confusion of between and normalizeToInterval function
7680,2020-08-25 16:24:59.000000000,2020-08-25 18:17:20.000000000,closed,7,q-uploader only 1 image upload when using multiple with batch
7679,2020-08-25 10:40:41.000000000,1970-01-01 00:00:00.000000001,open,0,Impossible to input digit after fixed digit in mask
7678,2020-08-24 17:28:22.000000000,2020-08-24 18:24:31.000000000,closed,3,Box-shadow on QAvatar with rounded or square props displays as a circle 
7677,2020-08-24 16:53:26.000000000,2020-08-24 17:35:04.000000000,closed,2,"""quasar upgrade --install"" gives ""Vue packages version mismatch"""
7676,2020-08-24 16:53:04.000000000,2020-08-24 18:27:21.000000000,closed,2,"When QSelect is used as a prepend/append slot of a QInput, its paddingTop depends on whether that QInput has a label or not"
7675,2020-08-24 14:47:26.000000000,1970-01-01 00:00:00.000000001,open,0,Added step to Dependency Update
7674,2020-08-24 14:46:33.000000000,2020-08-24 16:10:41.000000000,closed,6,Error using htmlAttr for lang attribute
7673,2020-08-24 14:07:47.000000000,2020-08-25 11:18:23.000000000,closed,2,QBtnDropdown && no-route-dismiss
7672,2020-08-24 07:43:59.000000000,1970-01-01 00:00:00.000000001,open,0,Why not quasar support JSX?
7671,2020-08-24 05:58:43.000000000,2020-08-24 06:31:58.000000000,closed,1,feat(QTime): Add grid snapping to QTime with options
7670,2020-08-23 22:31:12.000000000,1970-01-01 00:00:00.000000001,open,2,table header sorting icon customization
7669,2020-08-23 22:16:46.000000000,2020-08-24 00:04:05.000000000,closed,1,Can't install icongenie
7668,2020-08-23 20:32:47.000000000,2020-08-23 20:47:01.000000000,closed,2,There is no statics folder. Even in jsconfig.js file.
7667,2020-08-23 17:02:41.000000000,1970-01-01 00:00:00.000000001,open,0,QTabs inside QToolbar
7666,2020-08-23 16:07:14.000000000,2020-08-23 18:16:20.000000000,closed,1,Links inside QCheckbox/QRadio slot do not work
7665,2020-08-23 15:00:04.000000000,2020-08-23 19:04:39.000000000,closed,2,The ssr client cannot be updated to the latest version because service-worker.js cannot be accessed.
7664,2020-08-23 00:19:46.000000000,2020-08-23 18:07:05.000000000,closed,1,A new prop to the pagination of QCarousel: active-navigation-icon.
7663,2020-08-22 22:38:10.000000000,2020-08-24 03:40:10.000000000,closed,2,QStep with font awesome as icon seem to disable both icon-active and icon-done (and most likely icon-error)
7662,2020-08-22 21:52:09.000000000,2020-08-24 16:23:43.000000000,closed,5,[Capacitor] TypeError: Cannot read property 'data' of undefined
7661,2020-08-22 19:16:37.000000000,2020-08-22 19:19:12.000000000,closed,0,fix(QRouteTab): fix events that should have been in the kbd navigation branch
7660,2020-08-22 18:59:11.000000000,2020-08-22 19:17:15.000000000,closed,0,fix(VirtualScroll): account for 0 height scroll container size #7659
7659,2020-08-22 18:07:29.000000000,2020-08-22 19:17:52.000000000,closed,2,1.13.0 q-select not open properly.
7658,2020-08-22 02:35:23.000000000,2020-08-22 04:47:52.000000000,closed,1,[docs] Can I ignore the public folder?
7657,2020-08-21 14:06:31.000000000,2020-08-21 14:51:30.000000000,closed,3,QInfiniteScroll setIndex
7656,2020-08-21 13:54:15.000000000,1970-01-01 00:00:00.000000001,open,0,ResizeObserver loop limit exceeded (Issue #2233 closed to early)
7655,2020-08-21 13:11:57.000000000,2020-08-21 13:31:18.000000000,closed,1,QBtn with QTooltip
7654,2020-08-21 12:45:44.000000000,2020-08-21 13:43:30.000000000,closed,1,QPopupProxy and no-route-dismiss
7653,2020-08-21 10:26:04.000000000,2020-08-21 13:42:20.000000000,closed,1,Add no-route-dismiss behavior to q-menu component
7652,2020-08-20 18:22:17.000000000,2020-08-21 14:37:47.000000000,closed,1,distDir options doesnt seem to work
7651,2020-08-20 13:36:53.000000000,1970-01-01 00:00:00.000000001,open,6,importStrategy not working in VUE plug-in
7650,2020-08-19 23:45:27.000000000,2020-08-19 23:46:20.000000000,closed,1,Support all native props on q-table
7649,2020-08-19 20:56:08.000000000,1970-01-01 00:00:00.000000001,open,2,QFooter positioning is off with keyboard open
7648,2020-08-19 16:15:33.000000000,2020-08-19 17:56:02.000000000,closed,1,fix: QuasarIconSet type import (fix #7640)
