id,created_at,closed_at,merged_at,state,merged
1,2016-11-09 07:55:18.000000000,2016-11-09 08:31:00.000000000,2016-11-09 08:31:00.000000000,closed,True
2,2016-11-09 16:28:08.000000000,2016-11-09 17:04:19.000000000,1970-01-01 00:00:00.000000001,closed,False
3,2016-11-09 17:23:10.000000000,2016-11-09 18:24:16.000000000,1970-01-01 00:00:00.000000001,closed,False
4,2016-11-09 18:41:55.000000000,2016-11-09 19:24:58.000000000,1970-01-01 00:00:00.000000001,closed,False
5,2016-11-09 19:08:01.000000000,2016-11-09 19:08:53.000000000,1970-01-01 00:00:00.000000001,closed,False
6,2016-11-09 19:18:00.000000000,2016-11-09 19:57:15.000000000,2016-11-09 19:57:15.000000000,closed,True
7,2016-11-10 19:13:48.000000000,2016-11-21 21:25:11.000000000,1970-01-01 00:00:00.000000001,closed,False
9,2016-11-16 00:28:23.000000000,2016-11-16 07:47:27.000000000,2016-11-16 07:47:27.000000000,closed,True
10,2016-11-17 11:23:20.000000000,2016-11-17 18:58:32.000000000,2016-11-17 18:58:32.000000000,closed,True
11,2016-11-21 13:56:53.000000000,2016-11-21 14:19:58.000000000,2016-11-21 14:19:58.000000000,closed,True
12,2016-11-22 15:16:21.000000000,2016-11-24 07:37:06.000000000,2016-11-24 07:37:06.000000000,closed,True
13,2016-11-23 08:13:52.000000000,2016-11-23 08:25:06.000000000,2016-11-23 08:25:06.000000000,closed,True
14,2016-11-23 15:59:26.000000000,2016-11-23 16:30:31.000000000,2016-11-23 16:30:31.000000000,closed,True
16,2016-11-29 11:01:49.000000000,2016-11-30 10:41:03.000000000,1970-01-01 00:00:00.000000001,closed,False
17,2016-11-30 09:43:14.000000000,2016-11-30 11:09:02.000000000,2016-11-30 11:09:02.000000000,closed,True
18,2016-11-30 18:05:43.000000000,2016-12-01 20:43:26.000000000,2016-12-01 20:43:26.000000000,closed,True
19,2016-12-01 21:08:53.000000000,2016-12-05 08:20:38.000000000,2016-12-05 08:20:38.000000000,closed,True
21,2016-12-02 09:31:20.000000000,2016-12-04 14:30:45.000000000,2016-12-04 14:30:45.000000000,closed,True
22,2016-12-07 14:39:22.000000000,2016-12-07 19:26:59.000000000,2016-12-07 19:26:59.000000000,closed,True
23,2016-12-07 18:10:02.000000000,2016-12-08 19:11:31.000000000,2016-12-08 19:11:31.000000000,closed,True
24,2016-12-08 18:43:32.000000000,2016-12-14 17:06:08.000000000,2016-12-14 17:06:08.000000000,closed,True
25,2016-12-08 19:00:08.000000000,2016-12-08 19:11:30.000000000,2016-12-08 19:11:30.000000000,closed,True
26,2016-12-08 21:54:54.000000000,2016-12-09 11:42:46.000000000,1970-01-01 00:00:00.000000001,closed,False
27,2016-12-09 11:07:50.000000000,2016-12-09 16:55:23.000000000,2016-12-09 16:55:23.000000000,closed,True
