id,created_at,closed_at,state,comments,title
1167,2020-08-30 19:54:41.000000000,1970-01-01 00:00:00.000000001,open,1,Support for .yaml file type for language
1166,2020-08-28 23:42:41.000000000,1970-01-01 00:00:00.000000001,open,1,ReportNamespaces being dynamically assigned
1165,2020-08-26 12:08:12.000000000,2020-08-27 10:24:42.000000000,closed,5,Avoid setState while react is rendering
1164,2020-08-26 11:12:24.000000000,2020-08-26 11:16:29.000000000,closed,2,Not all <Trans> components updated with language change
1163,2020-08-25 14:43:45.000000000,2020-08-25 20:32:37.000000000,closed,1,Remove PropTypes from production build
1162,2020-08-20 14:25:06.000000000,2020-08-20 14:30:57.000000000,closed,2,"req.language, Property 'language' does not exist on type 'IncomingMessage'"
1160,2020-08-18 19:05:21.000000000,2020-08-20 22:13:13.000000000,closed,4,fix: typescript definition of context object
1159,2020-08-16 03:33:11.000000000,2020-08-16 20:42:07.000000000,closed,1,Update i18next instance warnings
1158,2020-08-08 15:28:19.000000000,2020-08-08 15:31:01.000000000,closed,1,example translation json: Fix german grammar
1157,2020-07-31 21:25:30.000000000,2020-08-20 15:07:56.000000000,closed,5,How to use in Class Component
1156,2020-07-31 05:17:30.000000000,2020-08-20 15:07:57.000000000,closed,6,keys/strings passed as props 
1155,2020-07-27 08:17:04.000000000,2020-07-27 13:55:23.000000000,closed,5,react-i18next doesn't translate word if putting inside parentheses
1154,2020-07-24 17:34:33.000000000,2020-07-24 17:35:12.000000000,closed,1,Bump js-yaml from 3.12.1 to 3.14.0 in /example/react-native
1153,2020-07-24 17:34:28.000000000,2020-07-24 17:35:43.000000000,closed,0,Bump acorn from 5.7.3 to 5.7.4 in /example/react-native
1152,2020-07-24 17:34:27.000000000,2020-07-24 17:35:31.000000000,closed,0,Bump mixin-deep from 1.3.1 to 1.3.2 in /example/react-native
1151,2020-07-24 17:34:14.000000000,2020-07-24 17:34:53.000000000,closed,0,Bump handlebars from 4.1.0 to 4.7.6 in /example/react-native
1150,2020-07-20 10:45:45.000000000,2020-07-20 11:09:22.000000000,closed,7,npm install throws error code EINTEGRITY
1149,2020-07-17 15:08:53.000000000,2020-07-24 17:33:31.000000000,closed,1,Bump lodash from 4.17.11 to 4.17.19 in /example/react-native
1148,2020-07-14 13:32:24.000000000,2020-07-14 13:44:05.000000000,closed,1,Trans component not rendering interpolated text
1147,2020-07-10 13:14:15.000000000,2020-08-20 15:07:54.000000000,closed,3,Compatibility issues with react-redux
1146,2020-07-09 02:09:43.000000000,2020-08-20 15:07:55.000000000,closed,4,Simple example for Next.js without additional dependencies
1145,2020-07-07 17:47:42.000000000,2020-07-08 02:47:41.000000000,closed,7,Interpolation not using overloadTranslationOptionsHandler
1144,2020-07-06 16:30:23.000000000,2020-07-06 16:40:43.000000000,closed,4,Handling of ruby signs / language specific tags
1143,2020-07-02 23:34:49.000000000,2020-07-03 11:23:07.000000000,closed,12,Translation loading heroku problem
1142,2020-06-29 17:09:17.000000000,2020-08-20 15:07:49.000000000,closed,3,Fixed typescript module
1141,2020-06-23 23:23:21.000000000,2020-06-24 00:07:08.000000000,closed,4,Hash versioning for tranlation.json files
1140,2020-06-19 00:33:55.000000000,2020-06-19 09:47:25.000000000,closed,2,feat: Trans interpolating self-closing tags in components prop(object)
1138,2020-06-18 12:40:41.000000000,2020-07-03 17:13:41.000000000,closed,2,Resource not loaded
1137,2020-06-17 21:12:41.000000000,2020-08-20 15:07:55.000000000,closed,13,Document how to nest components with new <Trans/> style
1136,2020-06-17 18:13:39.000000000,2020-06-19 09:47:24.000000000,closed,6,Trans alternative usage with Self-Closing Tags
1135,2020-06-16 05:51:09.000000000,2020-06-16 14:38:17.000000000,closed,4,Rendering ordered/unordered lists from a translation string.
1134,2020-06-13 19:50:43.000000000,2020-06-15 08:39:28.000000000,closed,23,/example/test-jest does not work with latest react
1133,2020-06-11 21:05:20.000000000,2020-06-12 10:07:43.000000000,closed,2,providing filename when running babel.parse in icu.macro
1132,2020-06-02 18:03:24.000000000,2020-07-03 17:17:40.000000000,closed,4,Trans component uses Number.isNaN which is not supported by IE11
1131,2020-06-02 04:32:46.000000000,2020-06-02 15:12:48.000000000,closed,4,Unable to resolve module interopRequireWildcard
1130,2020-05-31 15:32:46.000000000,2020-05-31 20:58:08.000000000,closed,1,respect overloadTranslationOptionHandler if tOptions are not defined
1129,2020-05-28 22:58:04.000000000,2020-05-29 02:06:37.000000000,closed,6,Detect untranslated text
1128,2020-05-28 18:24:56.000000000,2020-05-28 18:46:33.000000000,closed,2,Fix typo in withTranslation() example.
1127,2020-05-27 00:04:11.000000000,2020-05-27 11:03:18.000000000,closed,1,"Race condition, sometimes default namespace is unnecessarily downloaded"
1126,2020-05-26 15:33:10.000000000,2020-06-16 14:34:54.000000000,closed,1,Translate Suspense Fallback
1125,2020-05-25 23:38:49.000000000,2020-05-26 00:00:33.000000000,closed,1,Plural does not work with useState
1124,2020-05-25 17:18:06.000000000,1970-01-01 00:00:00.000000001,open,22,Issue with React 16.13: Cannot update a component [ X] while rendering a different component [Y].
