id,created_at,closed_at,state,comments,title
1912,2020-08-28 14:44:24.000000000,1970-01-01 00:00:00.000000001,open,0,typings: avatar can be a number
1911,2020-08-28 11:47:53.000000000,2020-08-28 12:18:58.000000000,closed,0,Web version does not correctly display times in users locale
1910,2020-08-28 08:24:32.000000000,1970-01-01 00:00:00.000000001,open,0,Web version loading earlier messages scrolls scrolls automatically to bottom and not infinite scrolling
1909,2020-08-28 02:08:01.000000000,1970-01-01 00:00:00.000000001,open,0,Notifications
1908,2020-08-23 18:30:34.000000000,1970-01-01 00:00:00.000000001,open,1,Rendering issue on OnePlus device
1907,2020-08-23 18:23:23.000000000,1970-01-01 00:00:00.000000001,open,0,iOS avatar does not change colouring when there's 3 or more users
1906,2020-08-22 02:26:23.000000000,1970-01-01 00:00:00.000000001,open,0,When opening chat auto-scrolling to bottom doesn't reach last message
1905,2020-08-21 05:15:58.000000000,1970-01-01 00:00:00.000000001,open,0,"Message is sent only after pressing twice on the ""Send"" button"
1904,2020-08-21 04:33:03.000000000,1970-01-01 00:00:00.000000001,open,4,Locale doesn't work
1903,2020-08-19 12:24:25.000000000,1970-01-01 00:00:00.000000001,open,0,Update GiftedChat.tsx
1902,2020-08-19 12:22:02.000000000,2020-08-19 12:22:07.000000000,closed,0,Update GiftedChat.tsx
1901,2020-08-19 07:45:19.000000000,1970-01-01 00:00:00.000000001,open,0,Re rendering chat view not clearing the images
1900,2020-08-18 20:07:27.000000000,1970-01-01 00:00:00.000000001,open,0,How can Support RTL?
1899,2020-08-17 09:32:05.000000000,2020-08-30 12:39:48.000000000,closed,1,Why not apply scrollToBottom when having new message while inverter = true?
1898,2020-08-13 13:34:19.000000000,1970-01-01 00:00:00.000000001,open,1,Can't use chat inside a scrollview
1897,2020-08-13 05:55:33.000000000,1970-01-01 00:00:00.000000001,open,2,Add textProps to Day component
1896,2020-08-05 16:18:09.000000000,1970-01-01 00:00:00.000000001,open,1,html tag and &nbshp; is showing inside chat message 
1895,2020-08-05 14:23:03.000000000,2020-08-05 15:19:28.000000000,closed,1,Gap between text input and keyboard on iOS
1894,2020-08-04 17:09:58.000000000,1970-01-01 00:00:00.000000001,open,1,While giving border radius at the corner of right side messages we are getting blue colour
1893,2020-08-04 14:27:59.000000000,2020-08-05 04:47:29.000000000,closed,0,Is it possible to change the pending icon?
1892,2020-08-02 13:56:42.000000000,1970-01-01 00:00:00.000000001,open,1,download sent Image
1891,2020-08-02 05:13:32.000000000,2020-08-18 10:38:05.000000000,closed,0,Typo corrected at line 353
1890,2020-08-01 11:46:42.000000000,1970-01-01 00:00:00.000000001,open,0,Accessory renders behind keyboard
1889,2020-07-30 21:52:06.000000000,1970-01-01 00:00:00.000000001,open,1,"Zamknęła kłudka się do tego serca ta miłość Cię  uśmierca. Kluczyk masz tylko Ty, nie dziel się nim. Musisz wiedzieć, że to młode pokolenie teraz czeka na doroślenie. Na wszystko przyjdzie czas nic nie będzie tak jak do tychczas."
1888,2020-07-30 19:59:53.000000000,2020-08-05 15:15:17.000000000,closed,1,TextInput is jumping up on iOS
1887,2020-07-29 19:34:11.000000000,1970-01-01 00:00:00.000000001,open,1,How to bold a part of text which comes with *boldtext* 
1886,2020-07-28 10:44:16.000000000,1970-01-01 00:00:00.000000001,open,4,How to add attach file button ? 
