id,created_at,closed_at,merged_at,state,merged
5,2016-01-20 18:50:19.000000000,2016-01-20 18:54:23.000000000,2016-01-20 18:54:23.000000000,closed,True
21,2016-02-13 21:08:51.000000000,2016-02-17 14:45:00.000000000,2016-02-17 14:45:00.000000000,closed,True
25,2016-02-24 21:26:43.000000000,2016-02-24 21:29:27.000000000,2016-02-24 21:29:27.000000000,closed,True
34,2016-03-22 21:13:08.000000000,2016-03-22 21:31:23.000000000,2016-03-22 21:31:23.000000000,closed,True
41,2016-04-25 23:42:49.000000000,2016-04-30 22:30:37.000000000,2016-04-30 22:30:36.000000000,closed,True
58,2016-06-09 21:42:49.000000000,2016-06-11 15:59:07.000000000,2016-06-11 15:59:07.000000000,closed,True
68,2016-07-17 20:04:41.000000000,2016-07-17 21:31:31.000000000,2016-07-17 21:31:31.000000000,closed,True
74,2016-08-01 04:28:35.000000000,2016-08-01 07:58:05.000000000,2016-08-01 07:58:05.000000000,closed,True
94,2016-08-31 22:26:03.000000000,2016-08-31 22:30:55.000000000,2016-08-31 22:30:55.000000000,closed,True
95,2016-08-31 22:41:37.000000000,2016-08-31 23:02:52.000000000,2016-08-31 23:02:52.000000000,closed,True
102,2016-09-06 12:58:26.000000000,2016-09-06 13:07:15.000000000,2016-09-06 13:07:15.000000000,closed,True
105,2016-09-08 01:41:16.000000000,2016-09-08 01:48:38.000000000,2016-09-08 01:48:38.000000000,closed,True
106,2016-09-08 14:19:41.000000000,2016-09-08 15:16:42.000000000,2016-09-08 15:16:42.000000000,closed,True
107,2016-09-08 22:31:51.000000000,2016-09-08 23:08:10.000000000,2016-09-08 23:08:10.000000000,closed,True
120,2016-09-23 10:44:18.000000000,2016-10-20 12:39:14.000000000,2016-10-20 12:39:14.000000000,closed,True
131,2016-11-01 22:43:27.000000000,2016-11-02 01:32:06.000000000,2016-11-02 01:32:06.000000000,closed,True
132,2016-11-01 22:57:12.000000000,2016-11-02 01:32:40.000000000,2016-11-02 01:32:40.000000000,closed,True
152,2016-12-05 21:28:37.000000000,2016-12-05 23:58:53.000000000,2016-12-05 23:58:53.000000000,closed,True
159,2016-12-08 14:40:28.000000000,2016-12-08 14:43:27.000000000,2016-12-08 14:43:27.000000000,closed,True
170,2016-12-20 14:10:08.000000000,2016-12-20 14:51:16.000000000,2016-12-20 14:51:16.000000000,closed,True
184,2017-01-24 18:31:17.000000000,2017-01-24 18:31:27.000000000,1970-01-01 00:00:00.000000001,closed,False
225,2017-03-06 13:00:14.000000000,2017-03-11 09:53:57.000000000,1970-01-01 00:00:00.000000001,closed,False
227,2017-03-09 16:14:54.000000000,2017-03-13 11:15:58.000000000,2017-03-13 11:15:58.000000000,closed,True
229,2017-03-10 17:45:13.000000000,2017-08-18 16:45:15.000000000,1970-01-01 00:00:00.000000001,closed,False
231,2017-03-14 11:19:48.000000000,2017-03-15 19:39:52.000000000,1970-01-01 00:00:00.000000001,closed,False
247,2017-04-10 11:52:41.000000000,2017-04-10 12:19:05.000000000,2017-04-10 12:19:05.000000000,closed,True
250,2017-04-17 13:40:10.000000000,2017-04-18 12:56:20.000000000,2017-04-18 12:56:20.000000000,closed,True
264,2017-05-03 08:55:55.000000000,2017-05-03 12:01:54.000000000,2017-05-03 12:01:54.000000000,closed,True
269,2017-05-22 12:48:54.000000000,2017-06-02 11:15:33.000000000,1970-01-01 00:00:00.000000001,closed,False
271,2017-05-24 00:00:43.000000000,2017-05-24 13:36:23.000000000,2017-05-24 13:36:23.000000000,closed,True
277,2017-05-31 14:17:32.000000000,2017-06-02 10:36:55.000000000,2017-06-02 10:36:55.000000000,closed,True
279,2017-06-01 16:31:01.000000000,2017-06-01 18:19:20.000000000,2017-06-01 18:19:20.000000000,closed,True
282,2017-06-12 08:30:05.000000000,2017-06-14 00:55:55.000000000,2017-06-14 00:55:55.000000000,closed,True
287,2017-06-23 05:33:44.000000000,2018-01-21 23:38:43.000000000,1970-01-01 00:00:00.000000001,closed,False
290,2017-07-01 13:16:14.000000000,2017-07-04 11:15:23.000000000,2017-07-04 11:15:23.000000000,closed,True
303,2017-07-14 01:03:13.000000000,2017-07-14 12:34:17.000000000,2017-07-14 12:34:17.000000000,closed,True
305,2017-07-18 15:01:21.000000000,2017-07-21 17:33:56.000000000,1970-01-01 00:00:00.000000001,closed,False
306,2017-07-18 18:52:05.000000000,2017-07-18 19:01:19.000000000,2017-07-18 19:01:19.000000000,closed,True
308,2017-07-25 14:12:23.000000000,2018-01-21 23:36:10.000000000,1970-01-01 00:00:00.000000001,closed,False
313,2017-07-31 22:02:46.000000000,2017-08-01 20:16:17.000000000,2017-08-01 20:16:17.000000000,closed,True
321,2017-08-14 12:51:34.000000000,2017-08-15 11:08:02.000000000,2017-08-15 11:08:02.000000000,closed,True
325,2017-08-16 20:53:11.000000000,2017-08-18 00:31:02.000000000,2017-08-18 00:31:02.000000000,closed,True
326,2017-08-17 00:34:04.000000000,2017-08-21 13:16:01.000000000,2017-08-21 13:16:01.000000000,closed,True
328,2017-08-17 17:23:47.000000000,2019-09-30 14:21:10.000000000,1970-01-01 00:00:00.000000001,closed,False
334,2017-08-29 16:34:07.000000000,2017-08-30 16:24:11.000000000,1970-01-01 00:00:00.000000001,closed,False
338,2017-09-11 21:19:14.000000000,2017-09-11 23:10:37.000000000,2017-09-11 23:10:37.000000000,closed,True
349,2017-09-27 12:52:23.000000000,2018-08-22 14:01:56.000000000,1970-01-01 00:00:00.000000001,closed,False
357,2017-10-12 01:16:07.000000000,2018-03-21 19:48:11.000000000,2018-03-21 19:48:11.000000000,closed,True
360,2017-10-19 18:28:29.000000000,2017-10-22 17:02:17.000000000,2017-10-22 17:02:17.000000000,closed,True
375,2017-11-13 03:48:15.000000000,2017-12-25 18:11:24.000000000,2017-12-25 18:11:24.000000000,closed,True
380,2017-11-20 10:37:59.000000000,2018-02-18 15:37:38.000000000,1970-01-01 00:00:00.000000001,closed,False
386,2017-11-28 13:10:47.000000000,2017-11-28 13:31:56.000000000,2017-11-28 13:31:56.000000000,closed,True
396,2017-12-20 12:07:34.000000000,2017-12-20 12:51:41.000000000,2017-12-20 12:51:41.000000000,closed,True
398,2017-12-22 00:49:01.000000000,2017-12-25 18:08:18.000000000,2017-12-25 18:08:18.000000000,closed,True
403,2018-01-10 13:58:15.000000000,2018-01-22 01:02:52.000000000,1970-01-01 00:00:00.000000001,closed,False
407,2018-01-13 00:32:46.000000000,2018-01-22 00:39:52.000000000,2018-01-22 00:39:51.000000000,closed,True
413,2018-01-22 21:21:30.000000000,2018-01-23 16:45:19.000000000,2018-01-23 16:45:19.000000000,closed,True
417,2018-02-16 17:22:02.000000000,2018-02-18 15:36:56.000000000,2018-02-18 15:36:56.000000000,closed,True
427,2018-02-28 21:47:43.000000000,2018-06-25 15:10:30.000000000,2018-06-25 15:10:30.000000000,closed,True
441,2018-03-23 07:47:44.000000000,2018-03-23 10:18:03.000000000,2018-03-23 10:18:03.000000000,closed,True
455,2018-04-16 23:59:38.000000000,2018-04-17 09:51:08.000000000,2018-04-17 09:51:08.000000000,closed,True
473,2018-04-26 02:32:33.000000000,2020-08-12 06:45:53.000000000,1970-01-01 00:00:00.000000001,closed,False
476,2018-04-26 17:58:58.000000000,2018-04-26 18:10:38.000000000,2018-04-26 18:10:38.000000000,closed,True
480,2018-05-01 09:48:06.000000000,2018-05-03 12:46:31.000000000,2018-05-03 12:46:31.000000000,closed,True
510,2018-05-28 19:14:39.000000000,2018-08-22 13:40:20.000000000,1970-01-01 00:00:00.000000001,closed,False
511,2018-05-28 19:25:33.000000000,2018-05-31 13:59:56.000000000,2018-05-31 13:59:56.000000000,closed,True
513,2018-05-29 13:10:36.000000000,2018-05-29 13:46:32.000000000,2018-05-29 13:46:32.000000000,closed,True
516,2018-05-29 18:31:32.000000000,2018-05-29 18:51:17.000000000,2018-05-29 18:51:17.000000000,closed,True
518,2018-05-29 20:15:21.000000000,2018-05-31 13:56:36.000000000,2018-05-31 13:56:36.000000000,closed,True
519,2018-05-30 10:43:25.000000000,2018-06-25 15:15:01.000000000,2018-06-25 15:15:00.000000000,closed,True
526,2018-06-05 10:36:55.000000000,2018-06-21 14:10:10.000000000,2018-06-21 14:10:10.000000000,closed,True
527,2018-06-05 10:38:10.000000000,2018-06-18 16:58:27.000000000,2018-06-18 16:58:27.000000000,closed,True
533,2018-06-13 07:43:17.000000000,2018-06-20 20:09:17.000000000,2018-06-20 20:09:16.000000000,closed,True
534,2018-06-13 13:30:34.000000000,2018-06-20 20:08:19.000000000,2018-06-20 20:08:19.000000000,closed,True
539,2018-06-16 03:35:17.000000000,2018-06-21 01:43:19.000000000,1970-01-01 00:00:00.000000001,closed,False
549,2018-06-27 17:21:35.000000000,2018-06-28 21:21:35.000000000,2018-06-28 21:21:34.000000000,closed,True
552,2018-06-29 02:45:16.000000000,2018-10-03 11:02:31.000000000,2018-10-03 11:02:31.000000000,closed,True
