id,created_at,closed_at,merged_at,state,merged
1,2016-08-28 22:32:52.000000000,2016-08-28 22:32:57.000000000,2016-08-28 22:32:57.000000000,closed,True
2,2016-08-29 01:00:13.000000000,2016-08-29 01:00:18.000000000,2016-08-29 01:00:18.000000000,closed,True
3,2016-08-29 01:50:56.000000000,2016-08-30 12:59:46.000000000,1970-01-01 00:00:00.000000001,closed,False
5,2016-08-29 15:21:11.000000000,2016-08-30 00:29:03.000000000,2016-08-30 00:29:03.000000000,closed,True
6,2016-08-29 15:27:49.000000000,2016-08-30 00:29:27.000000000,2016-08-30 00:29:27.000000000,closed,True
7,2016-08-29 15:40:18.000000000,2016-08-30 00:29:41.000000000,2016-08-30 00:29:41.000000000,closed,True
11,2016-08-30 17:27:19.000000000,2016-08-30 17:27:24.000000000,2016-08-30 17:27:24.000000000,closed,True
12,2016-08-30 17:46:45.000000000,2016-08-30 17:51:16.000000000,2016-08-30 17:51:16.000000000,closed,True
13,2016-08-30 19:05:31.000000000,2016-08-30 20:20:40.000000000,2016-08-30 20:20:40.000000000,closed,True
15,2016-08-30 20:39:12.000000000,2016-08-30 23:22:53.000000000,2016-08-30 23:22:53.000000000,closed,True
17,2016-08-31 00:07:19.000000000,2016-08-31 00:07:24.000000000,2016-08-31 00:07:24.000000000,closed,True
19,2016-08-31 00:38:44.000000000,2016-08-31 00:38:49.000000000,2016-08-31 00:38:49.000000000,closed,True
20,2016-08-31 01:25:10.000000000,2016-08-31 01:25:32.000000000,2016-08-31 01:25:32.000000000,closed,True
21,2016-08-31 02:14:26.000000000,2016-08-31 02:14:35.000000000,2016-08-31 02:14:35.000000000,closed,True
25,2016-09-01 19:15:46.000000000,2016-09-01 19:24:18.000000000,2016-09-01 19:24:18.000000000,closed,True
26,2016-09-01 20:10:39.000000000,2016-09-01 20:16:53.000000000,1970-01-01 00:00:00.000000001,closed,False
27,2016-09-03 17:01:29.000000000,2016-09-03 17:01:35.000000000,2016-09-03 17:01:35.000000000,closed,True
28,2016-09-04 01:20:38.000000000,2016-09-04 01:20:50.000000000,2016-09-04 01:20:50.000000000,closed,True
29,2016-09-04 11:15:06.000000000,2016-09-04 11:24:31.000000000,2016-09-04 11:24:31.000000000,closed,True
30,2016-09-04 20:59:31.000000000,2016-09-05 09:37:27.000000000,2016-09-05 09:37:27.000000000,closed,True
31,2016-09-05 06:30:37.000000000,2016-09-05 09:37:37.000000000,2016-09-05 09:37:37.000000000,closed,True
32,2016-09-05 15:06:14.000000000,2016-09-05 15:06:33.000000000,2016-09-05 15:06:33.000000000,closed,True
33,2016-09-05 16:50:47.000000000,2016-09-05 16:50:50.000000000,2016-09-05 16:50:50.000000000,closed,True
37,2016-11-05 19:58:39.000000000,2016-11-05 20:08:52.000000000,1970-01-01 00:00:00.000000001,closed,False
38,2016-11-19 18:46:38.000000000,2016-11-19 23:04:07.000000000,2016-11-19 23:04:07.000000000,closed,True
39,2016-11-20 02:15:24.000000000,2016-11-20 02:22:34.000000000,2016-11-20 02:22:34.000000000,closed,True
41,2017-01-06 15:52:57.000000000,2017-01-06 16:31:27.000000000,2017-01-06 16:31:27.000000000,closed,True
42,2017-01-06 16:31:13.000000000,2017-01-06 16:31:26.000000000,2017-01-06 16:31:26.000000000,closed,True
46,2017-01-18 18:42:20.000000000,2017-01-19 03:07:27.000000000,2017-01-19 03:07:27.000000000,closed,True
48,2017-02-02 07:03:46.000000000,2017-02-02 12:47:46.000000000,2017-02-02 12:47:46.000000000,closed,True
49,2017-02-02 12:47:38.000000000,2017-02-02 12:47:46.000000000,2017-02-02 12:47:46.000000000,closed,True
51,2017-03-19 19:04:45.000000000,2017-03-19 22:23:58.000000000,1970-01-01 00:00:00.000000001,closed,False
52,2017-03-23 00:33:59.000000000,2017-03-23 00:35:40.000000000,2017-03-23 00:35:40.000000000,closed,True
53,2017-03-23 03:41:11.000000000,2017-03-23 15:10:06.000000000,2017-03-23 15:10:06.000000000,closed,True
55,2017-03-23 15:06:58.000000000,2017-03-23 15:10:05.000000000,2017-03-23 15:10:05.000000000,closed,True
56,2017-03-23 15:11:37.000000000,2017-03-23 15:12:06.000000000,2017-03-23 15:12:06.000000000,closed,True
57,2017-03-24 21:08:11.000000000,2017-03-24 23:26:01.000000000,2017-03-24 23:26:01.000000000,closed,True
58,2017-03-26 12:52:55.000000000,2017-03-26 15:10:44.000000000,2017-03-26 15:10:44.000000000,closed,True
59,2017-03-26 14:31:06.000000000,2017-03-26 15:10:44.000000000,2017-03-26 15:10:44.000000000,closed,True
60,2017-03-27 02:20:12.000000000,2017-03-27 02:21:50.000000000,2017-03-27 02:21:50.000000000,closed,True
61,2017-04-01 21:02:25.000000000,2017-04-01 21:16:29.000000000,2017-04-01 21:16:29.000000000,closed,True
62,2017-04-03 10:19:39.000000000,2017-04-03 10:21:02.000000000,2017-04-03 10:21:02.000000000,closed,True
63,2017-04-24 18:35:45.000000000,2017-04-24 18:37:49.000000000,2017-04-24 18:37:49.000000000,closed,True
65,2017-04-27 00:12:00.000000000,2017-04-27 11:17:28.000000000,2017-04-27 11:17:28.000000000,closed,True
69,2017-05-30 00:39:14.000000000,2017-05-30 11:15:48.000000000,2017-05-30 11:15:48.000000000,closed,True
70,2017-05-30 11:15:42.000000000,2017-05-30 11:15:48.000000000,2017-05-30 11:15:48.000000000,closed,True
72,2017-05-31 12:46:52.000000000,2017-05-31 14:03:11.000000000,2017-05-31 14:03:11.000000000,closed,True
73,2017-05-31 14:03:06.000000000,2017-05-31 14:03:10.000000000,2017-05-31 14:03:10.000000000,closed,True
75,2017-06-30 13:07:24.000000000,2017-06-30 13:07:28.000000000,2017-06-30 13:07:28.000000000,closed,True
76,2017-07-03 15:11:04.000000000,2017-07-03 15:12:19.000000000,2017-07-03 15:12:19.000000000,closed,True
77,2017-07-03 22:35:45.000000000,2017-07-03 22:37:31.000000000,2017-07-03 22:37:31.000000000,closed,True
81,2017-07-10 22:56:53.000000000,2017-07-11 11:22:55.000000000,2017-07-11 11:22:55.000000000,closed,True
86,2017-08-23 13:37:44.000000000,2017-08-23 17:46:32.000000000,2017-08-23 17:46:32.000000000,closed,True
88,2017-09-06 14:09:05.000000000,2017-09-10 01:28:57.000000000,2017-09-10 01:28:57.000000000,closed,True
91,2017-09-14 14:55:13.000000000,2017-10-02 13:39:18.000000000,2017-10-02 13:39:18.000000000,closed,True
92,2017-10-02 13:39:11.000000000,2017-10-02 13:39:18.000000000,2017-10-02 13:39:18.000000000,closed,True
96,2017-11-30 19:17:13.000000000,2017-11-30 19:17:18.000000000,2017-11-30 19:17:18.000000000,closed,True
98,2018-01-23 10:57:54.000000000,2018-01-23 10:58:00.000000000,2018-01-23 10:58:00.000000000,closed,True
99,2018-01-24 00:35:35.000000000,2018-01-24 00:39:18.000000000,2018-01-24 00:39:18.000000000,closed,True
101,2018-01-29 17:15:16.000000000,2018-01-29 17:15:21.000000000,2018-01-29 17:15:21.000000000,closed,True
103,2018-02-15 11:49:29.000000000,2018-02-16 01:19:57.000000000,2018-02-16 01:19:57.000000000,closed,True
106,2018-04-09 22:09:13.000000000,2018-04-23 18:40:20.000000000,1970-01-01 00:00:00.000000001,closed,False
108,2018-04-13 19:14:06.000000000,2018-04-17 16:36:45.000000000,2018-04-17 16:36:45.000000000,closed,True
109,2018-04-23 16:00:35.000000000,2018-04-23 18:40:28.000000000,1970-01-01 00:00:00.000000001,closed,False
110,2018-04-26 22:53:43.000000000,2018-04-27 12:15:05.000000000,2018-04-27 12:15:05.000000000,closed,True
