id,created_at,closed_at,state,comments,title
7145,2020-08-31 20:00:54.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): update dependency @yarnpkg/parsers to v2.2.0
7144,2020-08-31 19:54:34.000000000,1970-01-01 00:00:00.000000001,open,0,fix(git): add dashes after git log <rev>
7143,2020-08-31 14:17:28.000000000,2020-08-31 16:21:09.000000000,closed,1,fix(circleci): leading dash is optional
7142,2020-08-31 13:20:11.000000000,2020-08-31 13:40:18.000000000,closed,1,refactor: split getRepoConfig from mergeRenovateConfig
7141,2020-08-31 12:45:11.000000000,2020-08-31 13:01:41.000000000,closed,1,build(deps): update dependency commander to v6.1.0
7140,2020-08-31 11:01:46.000000000,1970-01-01 00:00:00.000000001,open,0,refactor(limits): Concise implementation for workers/global/limits.ts
7139,2020-08-31 09:32:10.000000000,2020-08-31 09:59:14.000000000,closed,0,The automated release is failing 🚨
7138,2020-08-31 02:00:51.000000000,2020-08-31 03:00:39.000000000,closed,1,chore(deps): update dependency @types/eslint to v7.2.2
7137,2020-08-30 20:30:16.000000000,2020-08-30 23:27:03.000000000,closed,2,refactor: remove platform.setBaseBranch
7136,2020-08-30 19:11:32.000000000,1970-01-01 00:00:00.000000001,open,1,"refactor(limits): Prefer to use single API for commits, PR and branches"
7135,2020-08-30 18:33:26.000000000,1970-01-01 00:00:00.000000001,open,2,Vcpkg support
7134,2020-08-30 04:00:40.000000000,2020-08-30 05:00:42.000000000,closed,1,chore(deps): update dependency @types/luxon to v1.24.4
7133,2020-08-30 01:00:45.000000000,2020-08-30 01:36:52.000000000,closed,1,build(deps): update dependency @actions/core to v1.2.5
7132,2020-08-29 21:32:23.000000000,2020-08-31 18:05:39.000000000,closed,0,refactor(workers): Enum type for ProcessBranchResult
7131,2020-08-29 20:37:22.000000000,2020-08-31 17:36:49.000000000,closed,5,feat(gitlab): Allow using an OAuth2 token for authentication
7130,2020-08-29 16:30:15.000000000,2020-08-31 00:03:59.000000000,closed,2,feat(git): get branch commit without cloning
7129,2020-08-29 05:17:42.000000000,2020-08-29 11:17:37.000000000,closed,1,feat(preset): add prisma monorepo
7128,2020-08-28 22:41:00.000000000,2020-08-29 01:03:22.000000000,closed,2,Support a better naming_scheme for a forked repository
7127,2020-08-28 19:43:40.000000000,2020-08-29 00:46:23.000000000,closed,1,feat(preset): add date-io monorepo
7126,2020-08-28 19:23:19.000000000,1970-01-01 00:00:00.000000001,open,10,feat(versioning): Add support for Ubuntu version scheme
7125,2020-08-28 09:38:43.000000000,1970-01-01 00:00:00.000000001,open,11,Research Docker Hub Rate limiting effects
