id,created_at,closed_at,state,comments,title
2475,2020-08-31 19:52:18.000000000,1970-01-01 00:00:00.000000001,open,0,Use backticks in CONTRIBUTING.md
2474,2020-08-31 19:04:24.000000000,1970-01-01 00:00:00.000000001,open,0,Use non-LTO builds for non-stable branches
2473,2020-08-31 13:01:48.000000000,2020-08-31 15:25:55.000000000,closed,2,[docs] rust-toolchain file content
2472,2020-08-30 18:31:56.000000000,1970-01-01 00:00:00.000000001,open,2,rustup appears to depend on new-ish system call in linux
2471,2020-08-30 00:23:17.000000000,1970-01-01 00:00:00.000000001,open,2,WIP: Thoughts on #2458
2470,2020-08-29 20:38:14.000000000,1970-01-01 00:00:00.000000001,open,3,Give a better error message when a component is missing with a linked toolchain
2469,2020-08-28 01:40:47.000000000,2020-08-28 05:07:23.000000000,closed,0,Disable broken color in MSYS2 shells.
2468,2020-08-27 14:28:14.000000000,2020-08-28 05:05:41.000000000,closed,0,Updates
2467,2020-08-25 12:10:43.000000000,2020-08-25 14:40:20.000000000,closed,0,Update to remove_dir_all 0.6.0
2466,2020-08-20 13:04:19.000000000,1970-01-01 00:00:00.000000001,open,4,Add socks5 support for reqwest-backend
2465,2020-08-19 20:12:33.000000000,2020-08-27 12:19:24.000000000,closed,3,Quick addition to `--version` to mention rustc
2464,2020-08-19 16:56:20.000000000,2020-08-21 13:01:03.000000000,closed,0,Lower-case unpack ram log message
2463,2020-08-19 06:18:22.000000000,2020-08-20 01:06:02.000000000,closed,6,tried to update nightly but got skipping message
2462,2020-08-19 05:00:02.000000000,1970-01-01 00:00:00.000000001,open,2,"Need better sig-fail diagnostics by default. ""warning: Signature verification failed"" is insufficient."
2461,2020-08-18 06:59:22.000000000,2020-08-19 11:43:24.000000000,closed,5,Update link to other installation options
2460,2020-08-15 02:19:49.000000000,2020-08-16 04:31:20.000000000,closed,0,More clippy coverage recommendations
2459,2020-08-15 01:40:55.000000000,2020-08-15 02:14:26.000000000,closed,5,fix feature-hidden clippy warnings (clippy::len_zero)
2458,2020-08-14 19:21:02.000000000,1970-01-01 00:00:00.000000001,open,1,Allow specifying a custom toolchain in `rust-toolchain`?
2457,2020-08-14 03:59:30.000000000,2020-08-15 00:02:43.000000000,closed,0,Fix all outstanding lints and document expectations
2456,2020-08-14 02:46:23.000000000,1970-01-01 00:00:00.000000001,open,1,Insufficient test isolation for `/etc/rustup/settings.toml` files
2455,2020-08-13 16:36:41.000000000,2020-08-14 03:38:53.000000000,closed,1,Test cleanup of rustup-init functional tests
2454,2020-08-10 11:49:15.000000000,1970-01-01 00:00:00.000000001,open,1,[Tracking issue] Bump freebsd compiler after rust-lang/rust#75204
2453,2020-08-10 09:31:36.000000000,2020-08-14 13:58:55.000000000,closed,3,Refactor self_update* to compile less OS-specific code
2452,2020-08-09 14:31:12.000000000,2020-08-12 06:54:11.000000000,closed,4,Rustup fails to install on RHEL 7 if /home is mapped to an NFS filesystem
2451,2020-08-09 14:05:59.000000000,2020-08-11 00:00:31.000000000,closed,4,Unit test optimisation
2450,2020-08-09 01:37:03.000000000,2020-08-09 09:26:10.000000000,closed,3,Can't install on Ubuntu-20.04
2449,2020-08-08 15:03:57.000000000,1970-01-01 00:00:00.000000001,open,0,Make it easier to add shells to shell.rs
2448,2020-08-06 23:49:03.000000000,2020-08-18 00:32:05.000000000,closed,3,Move documentation to a book format
2447,2020-08-05 21:05:11.000000000,1970-01-01 00:00:00.000000001,open,4,Confusion between rustup version and rustc version
2446,2020-08-04 07:00:24.000000000,2020-08-04 07:02:02.000000000,closed,1,Concurrent installations of a toolchain potentially racy
2445,2020-08-02 16:52:59.000000000,2020-08-30 01:21:21.000000000,closed,23,Multiple downloads of Rustc by Rustup
2444,2020-07-30 07:02:59.000000000,2020-07-30 10:44:31.000000000,closed,1,How to install rust without documentation?
2443,2020-07-30 06:06:01.000000000,1970-01-01 00:00:00.000000001,open,5,Proposed command to install new toolchain is throwing an error
2441,2020-07-27 16:17:46.000000000,1970-01-01 00:00:00.000000001,open,2,Deal with windows file locking rustup.exe + any proxies when they are executed
2440,2020-07-26 00:47:11.000000000,1970-01-01 00:00:00.000000001,open,8,"""missing installed component"" error should be translated through renames"
2439,2020-07-25 16:38:04.000000000,1970-01-01 00:00:00.000000001,open,3,Install script does not exit with non-zero status code on failure.
2438,2020-07-24 01:46:07.000000000,2020-08-08 14:19:05.000000000,closed,3,Accept TOML format in rust-toolchain
2437,2020-07-23 03:00:17.000000000,2020-07-27 05:39:57.000000000,closed,5,"Removes need for `local`, making script POSIX compliant."
2436,2020-07-22 19:25:09.000000000,2020-07-22 19:38:39.000000000,closed,0,Cargo bin's not added to PATH in Zsh shell
2435,2020-07-22 19:03:55.000000000,2020-08-24 14:07:08.000000000,closed,0,Report error for unsupported platform on 404
2434,2020-07-21 06:41:04.000000000,2020-08-04 07:06:46.000000000,closed,12,Bad nightly source tarball (contained a symlink)
2433,2020-07-20 17:08:41.000000000,1970-01-01 00:00:00.000000001,open,3,Do not completely remove ~/.rustup/tmp and download
2432,2020-07-20 11:53:53.000000000,1970-01-01 00:00:00.000000001,open,7,add illumos (amd64) support
2431,2020-07-19 13:07:59.000000000,1970-01-01 00:00:00.000000001,open,1,Manipulate shell scripts as bytestrings
2430,2020-07-18 16:37:57.000000000,1970-01-01 00:00:00.000000001,open,4,Please do not completely remove ~/.rustup/tmp
2429,2020-07-18 06:13:25.000000000,2020-07-18 13:04:17.000000000,closed,0,Tune test uninstall_deletes_bins for performance
2428,2020-07-17 16:27:17.000000000,2020-07-18 00:12:55.000000000,closed,0,Better tests for cargo_home creation
2427,2020-07-17 11:21:48.000000000,2020-08-13 12:14:41.000000000,closed,17,cli: exit gracefully when no subcommand
2426,2020-07-17 09:54:57.000000000,2020-07-17 14:00:44.000000000,closed,3,"Error updating stable to 1.45.0 due to ""missing directory"""
2425,2020-07-17 07:29:23.000000000,2020-08-13 12:14:41.000000000,closed,9,"Rustup CLI displays ""error"" message with no text on run"
2424,2020-07-17 02:42:38.000000000,1970-01-01 00:00:00.000000001,open,0,Finish disentangling Windows and Unix logic
2423,2020-07-17 00:11:48.000000000,2020-07-17 13:42:25.000000000,closed,1,Consolidate install smoke tests
2422,2020-07-16 21:11:10.000000000,2020-07-17 08:03:37.000000000,closed,4,error: caused by: error trying to connect: bad certificate format
2421,2020-07-16 20:58:42.000000000,2020-07-17 22:53:56.000000000,closed,3,ci: riscv: Use new official riscv docker image
2420,2020-07-16 14:47:11.000000000,1970-01-01 00:00:00.000000001,open,4,Fixing janky line breaks in self_updater.rs
2419,2020-07-15 21:14:05.000000000,1970-01-01 00:00:00.000000001,open,7,Adds Rust favicon
2418,2020-07-15 16:10:39.000000000,1970-01-01 00:00:00.000000001,open,4,.rustup and .cargo are visible on windows
2417,2020-07-15 14:16:55.000000000,1970-01-01 00:00:00.000000001,open,0,Corrupt /missing manifests lead to installation conflicts
2416,2020-07-14 15:28:58.000000000,2020-07-16 15:51:47.000000000,closed,1,More unit testifications
2415,2020-07-13 20:52:39.000000000,2020-07-27 16:36:41.000000000,closed,17,Race on removing setup file for self-update in GitHub Actions windows-latest worker
2414,2020-07-13 20:03:55.000000000,2020-07-14 00:53:55.000000000,closed,1,Fix path to rustup.exe and rustup-init.exe on self-update
2413,2020-07-12 22:25:15.000000000,1970-01-01 00:00:00.000000001,open,7,Provide full Apple Silicon (arm64/AArch64-Apple-Darwin) support in rustup
2412,2020-07-12 13:23:05.000000000,2020-07-13 13:49:03.000000000,closed,1,More unit-testification
2411,2020-07-10 09:21:43.000000000,2020-07-10 18:08:08.000000000,closed,3,rustup component add rust-analyzer-preview does not add rust-analyzer executable to ~/.cargo/bin
2410,2020-07-09 23:49:55.000000000,2020-08-11 01:19:54.000000000,closed,3,Fallback to copy when rename causes cross-link error
2409,2020-07-09 20:10:56.000000000,1970-01-01 00:00:00.000000001,open,5,reqwest download backend is lacking socks support
2408,2020-07-09 15:40:33.000000000,2020-07-09 23:38:24.000000000,closed,3,Add rust-analyzer proxy
2407,2020-07-09 15:32:13.000000000,2020-07-13 13:47:42.000000000,closed,9,test: Ensure we can read proxy params from environment
2406,2020-07-08 22:59:59.000000000,2020-07-08 23:53:16.000000000,closed,4,git tag for 1.22.1 is missing
2405,2020-07-08 20:14:39.000000000,2020-08-18 16:16:50.000000000,closed,9,test: add validate_host_triple in tests/cli-inst-interactive.rs
2404,2020-07-08 16:01:57.000000000,2020-07-08 21:56:07.000000000,closed,0,docs: Fix some typos
2403,2020-07-08 15:23:07.000000000,2020-07-08 21:56:25.000000000,closed,0,sync-dist: invalidate dev.rustup.rs during dev deploy
2402,2020-07-08 14:03:18.000000000,2020-07-08 14:04:10.000000000,closed,0,Nothing to see here
2401,2020-07-08 02:02:25.000000000,2020-07-08 19:30:11.000000000,closed,4,Proxy support is broken in the recent version (rustup 1.22.0 (2d019878d 2020-07-02))
2400,2020-07-08 01:50:50.000000000,2020-07-08 13:11:03.000000000,closed,3,Not work on Manjaro
2399,2020-07-08 00:33:56.000000000,2020-07-08 01:16:31.000000000,closed,0,Update env_proxy to 0.4.1
2398,2020-07-07 20:15:06.000000000,2020-07-08 12:22:47.000000000,closed,4,www: Correct UX of the copy button
2397,2020-07-07 10:42:42.000000000,2020-07-08 12:22:47.000000000,closed,4,Style for the snippet displayed on rustup.rs is slightly broken
2396,2020-07-04 22:33:21.000000000,2020-08-18 00:32:05.000000000,closed,6,Switch documentation to a book format?
2395,2020-07-04 13:13:18.000000000,2020-07-06 21:52:02.000000000,closed,2,No help message for `rustup-init --help`
2394,2020-07-01 19:46:28.000000000,2020-07-02 19:25:51.000000000,closed,9,Can NOT install rust. 
2393,2020-07-01 05:37:54.000000000,2020-07-01 13:25:39.000000000,closed,1,Fix homedir detection on Windows
2392,2020-06-30 11:26:05.000000000,2020-08-04 12:36:02.000000000,closed,16,slackware ARM 14.2 not supported by rustup
2391,2020-06-28 15:58:53.000000000,2020-06-29 05:36:03.000000000,closed,0,Convert unicode uninstall test to unit test
2390,2020-06-27 03:27:27.000000000,1970-01-01 00:00:00.000000001,open,11,Installs binaries into $PATH that may not work
2389,2020-06-26 14:23:13.000000000,2020-06-26 14:48:19.000000000,closed,0,Fix access denied errors on windows
2388,2020-06-26 09:31:34.000000000,2020-06-27 12:01:08.000000000,closed,2,rustup-init.exe immediately crashing on windows 10: 2004
2387,2020-06-25 16:59:37.000000000,2020-08-08 13:03:44.000000000,closed,11,Implement shell PATH fixes via UnixShell trait
2386,2020-06-25 15:02:00.000000000,2020-06-26 13:44:38.000000000,closed,0,  Fix removing from PATH on windows when last item
2385,2020-06-25 14:15:16.000000000,2020-06-25 14:37:16.000000000,closed,0,Better asserts
2384,2020-06-23 01:14:20.000000000,1970-01-01 00:00:00.000000001,open,8,Describe how to remove components when update fails
2383,2020-06-20 20:16:20.000000000,2020-07-15 15:30:08.000000000,closed,1,"Add Document of ""How to Install Rust Environment for Multiple Users on Linux?"""
2382,2020-06-18 11:46:43.000000000,2020-06-19 01:23:01.000000000,closed,2,Rustup downloads windows executables instead of linux executables
2381,2020-06-17 22:35:47.000000000,2020-06-18 00:04:26.000000000,closed,1,Platform support link dead
2380,2020-06-17 20:23:32.000000000,2020-06-17 21:52:20.000000000,closed,1,"Invalid url in ""target not found"" message"
2379,2020-06-17 17:21:52.000000000,2020-06-17 17:30:02.000000000,closed,1,Add support for uwp Windows targets
2378,2020-06-16 15:47:38.000000000,2020-06-16 18:18:24.000000000,closed,2,Fixed name of rust-analyzer IDE tool
