id,created_at,closed_at,merged_at,state,merged
1,2015-06-05 20:20:07.000000000,2015-06-05 20:22:41.000000000,2015-06-05 20:22:41.000000000,closed,True
5,2015-07-01 06:48:37.000000000,2015-07-01 13:11:48.000000000,2015-07-01 13:11:48.000000000,closed,True
6,2015-07-09 17:40:32.000000000,2015-07-09 17:40:54.000000000,2015-07-09 17:40:54.000000000,closed,True
7,2015-07-10 19:20:25.000000000,2015-07-10 19:20:34.000000000,2015-07-10 19:20:34.000000000,closed,True
8,2015-07-12 07:10:18.000000000,2015-07-12 07:10:40.000000000,2015-07-12 07:10:40.000000000,closed,True
9,2015-07-13 04:12:21.000000000,2015-07-13 04:18:27.000000000,2015-07-13 04:18:27.000000000,closed,True
10,2015-07-15 17:38:15.000000000,2015-07-15 17:38:25.000000000,2015-07-15 17:38:25.000000000,closed,True
12,2015-07-16 10:31:32.000000000,2015-07-16 10:36:45.000000000,2015-07-16 10:36:45.000000000,closed,True
13,2015-07-27 15:27:36.000000000,2015-07-27 15:28:25.000000000,2015-07-27 15:28:25.000000000,closed,True
14,2015-07-28 18:35:54.000000000,2015-07-28 18:36:06.000000000,2015-07-28 18:36:06.000000000,closed,True
15,2015-07-28 18:43:19.000000000,2015-07-28 18:43:24.000000000,2015-07-28 18:43:24.000000000,closed,True
16,2015-07-28 19:08:39.000000000,2015-07-28 19:08:44.000000000,2015-07-28 19:08:44.000000000,closed,True
17,2015-07-29 06:46:50.000000000,2015-07-29 06:46:56.000000000,2015-07-29 06:46:56.000000000,closed,True
18,2015-07-30 16:07:48.000000000,2015-07-30 16:08:06.000000000,2015-07-30 16:08:06.000000000,closed,True
20,2015-08-01 09:18:03.000000000,2015-08-01 09:18:11.000000000,2015-08-01 09:18:11.000000000,closed,True
21,2015-08-01 12:21:18.000000000,2015-08-01 12:21:25.000000000,2015-08-01 12:21:25.000000000,closed,True
22,2015-08-01 13:28:45.000000000,2015-08-01 13:28:51.000000000,2015-08-01 13:28:51.000000000,closed,True
23,2015-08-01 13:33:00.000000000,2015-08-01 13:33:04.000000000,2015-08-01 13:33:04.000000000,closed,True
24,2015-08-06 07:42:09.000000000,2015-08-06 07:42:19.000000000,2015-08-06 07:42:19.000000000,closed,True
25,2015-08-09 06:12:18.000000000,2015-08-09 06:12:56.000000000,2015-08-09 06:12:56.000000000,closed,True
26,2015-08-10 18:42:59.000000000,2015-08-10 18:43:21.000000000,2015-08-10 18:43:21.000000000,closed,True
27,2015-08-25 07:14:24.000000000,2015-08-25 07:14:29.000000000,2015-08-25 07:14:29.000000000,closed,True
28,2015-08-25 08:16:08.000000000,2015-08-25 08:16:12.000000000,2015-08-25 08:16:12.000000000,closed,True
29,2015-09-05 04:00:24.000000000,2015-09-05 04:01:02.000000000,2015-09-05 04:01:02.000000000,closed,True
30,2015-09-05 12:59:43.000000000,2015-09-05 12:59:50.000000000,2015-09-05 12:59:50.000000000,closed,True
31,2015-09-15 16:28:17.000000000,2015-09-15 16:28:25.000000000,2015-09-15 16:28:25.000000000,closed,True
32,2015-09-19 04:56:30.000000000,2015-09-19 04:56:45.000000000,2015-09-19 04:56:45.000000000,closed,True
33,2015-10-03 13:45:35.000000000,2015-10-03 13:45:45.000000000,2015-10-03 13:45:45.000000000,closed,True
34,2015-10-06 03:24:35.000000000,2015-10-06 03:35:23.000000000,2015-10-06 03:35:23.000000000,closed,True
35,2015-10-08 05:59:18.000000000,2015-10-08 05:59:25.000000000,2015-10-08 05:59:25.000000000,closed,True
36,2015-10-08 06:05:51.000000000,2015-10-08 06:05:56.000000000,2015-10-08 06:05:56.000000000,closed,True
37,2015-10-08 17:39:22.000000000,2015-10-08 17:39:29.000000000,2015-10-08 17:39:29.000000000,closed,True
38,2015-10-18 13:06:21.000000000,2015-10-18 13:06:28.000000000,2015-10-18 13:06:28.000000000,closed,True
39,2015-10-19 14:13:52.000000000,2015-10-19 14:14:02.000000000,2015-10-19 14:14:02.000000000,closed,True
40,2015-10-22 07:20:01.000000000,2015-10-22 07:20:47.000000000,2015-10-22 07:20:47.000000000,closed,True
41,2015-10-28 13:18:54.000000000,2015-10-28 13:19:00.000000000,2015-10-28 13:19:00.000000000,closed,True
42,2015-10-28 13:21:12.000000000,2015-10-28 13:21:18.000000000,2015-10-28 13:21:18.000000000,closed,True
43,2015-11-01 14:41:35.000000000,2015-11-01 14:41:50.000000000,2015-11-01 14:41:50.000000000,closed,True
44,2015-11-06 12:09:17.000000000,2015-11-06 13:15:46.000000000,1970-01-01 00:00:00.000000001,closed,False
46,2015-11-07 15:33:34.000000000,2015-11-07 15:33:47.000000000,2015-11-07 15:33:47.000000000,closed,True
48,2015-11-10 05:00:26.000000000,2015-11-10 05:00:43.000000000,2015-11-10 05:00:43.000000000,closed,True
49,2015-11-10 16:32:59.000000000,2015-11-10 16:33:04.000000000,2015-11-10 16:33:04.000000000,closed,True
51,2015-11-11 07:51:38.000000000,2015-11-11 07:51:55.000000000,1970-01-01 00:00:00.000000001,closed,False
56,2015-11-13 17:14:05.000000000,2015-11-13 17:14:31.000000000,2015-11-13 17:14:31.000000000,closed,True
57,2015-11-22 18:10:14.000000000,2015-11-22 18:11:01.000000000,2015-11-22 18:11:01.000000000,closed,True
62,2015-12-09 14:29:19.000000000,2015-12-09 14:29:37.000000000,2015-12-09 14:29:37.000000000,closed,True
67,2015-12-13 05:25:14.000000000,2015-12-13 05:25:32.000000000,2015-12-13 05:25:32.000000000,closed,True
68,2015-12-13 12:08:36.000000000,2015-12-13 12:08:43.000000000,2015-12-13 12:08:43.000000000,closed,True
70,2015-12-13 13:14:14.000000000,2015-12-13 13:14:25.000000000,2015-12-13 13:14:25.000000000,closed,True
72,2015-12-15 14:37:12.000000000,2015-12-15 14:37:49.000000000,2015-12-15 14:37:49.000000000,closed,True
73,2015-12-15 14:42:36.000000000,2015-12-15 14:42:47.000000000,2015-12-15 14:42:47.000000000,closed,True
75,2015-12-18 15:09:46.000000000,2015-12-18 15:11:07.000000000,1970-01-01 00:00:00.000000001,closed,False
76,2015-12-18 15:12:11.000000000,2015-12-18 15:12:26.000000000,2015-12-18 15:12:26.000000000,closed,True
77,2015-12-21 16:30:11.000000000,2015-12-21 16:30:26.000000000,2015-12-21 16:30:26.000000000,closed,True
78,2015-12-23 20:03:15.000000000,2015-12-23 20:03:26.000000000,2015-12-23 20:03:26.000000000,closed,True
79,2015-12-24 10:15:41.000000000,2015-12-24 10:16:48.000000000,2015-12-24 10:16:48.000000000,closed,True
80,2015-12-26 19:53:16.000000000,2015-12-26 19:53:24.000000000,2015-12-26 19:53:24.000000000,closed,True
81,2015-12-27 07:30:47.000000000,2015-12-27 07:30:51.000000000,2015-12-27 07:30:51.000000000,closed,True
82,2015-12-27 14:01:46.000000000,2015-12-27 14:01:58.000000000,1970-01-01 00:00:00.000000001,closed,False
83,2015-12-27 14:02:32.000000000,2015-12-27 14:02:36.000000000,2015-12-27 14:02:36.000000000,closed,True
85,2015-12-27 17:54:52.000000000,2015-12-27 17:54:57.000000000,2015-12-27 17:54:57.000000000,closed,True
87,2015-12-28 10:05:37.000000000,2015-12-28 10:05:46.000000000,2015-12-28 10:05:46.000000000,closed,True
91,2016-01-04 18:04:41.000000000,2016-01-04 18:06:03.000000000,2016-01-04 18:06:03.000000000,closed,True
94,2016-01-08 16:48:31.000000000,2016-01-08 16:48:39.000000000,2016-01-08 16:48:39.000000000,closed,True
