id,created_at,closed_at,merged_at,state,merged
73,2016-08-20 01:00:28.000000000,2016-08-20 01:03:01.000000000,2016-08-20 01:03:01.000000000,closed,True
77,2016-08-24 00:11:08.000000000,2016-08-24 00:11:59.000000000,2016-08-24 00:11:59.000000000,closed,True
85,2016-08-31 23:49:00.000000000,2016-08-31 23:55:37.000000000,2016-08-31 23:55:37.000000000,closed,True
121,2017-01-10 15:15:51.000000000,2017-01-10 15:17:21.000000000,2017-01-10 15:17:21.000000000,closed,True
134,2017-02-19 14:55:59.000000000,2017-02-19 14:57:40.000000000,2017-02-19 14:57:40.000000000,closed,True
193,2018-02-28 17:45:56.000000000,2018-02-28 17:47:45.000000000,2018-02-28 17:47:45.000000000,closed,True
200,2018-04-10 19:43:22.000000000,2018-04-10 19:44:42.000000000,2018-04-10 19:44:42.000000000,closed,True
203,2018-06-11 21:49:19.000000000,2018-06-11 21:49:35.000000000,2018-06-11 21:49:34.000000000,closed,True
207,2018-07-20 03:39:32.000000000,2018-07-20 03:39:43.000000000,2018-07-20 03:39:43.000000000,closed,True
216,2018-08-21 23:10:32.000000000,2018-08-21 23:12:17.000000000,2018-08-21 23:12:17.000000000,closed,True
217,2018-08-22 00:45:26.000000000,2018-08-22 00:45:47.000000000,2018-08-22 00:45:47.000000000,closed,True
226,2018-09-15 00:38:24.000000000,2018-09-15 00:39:55.000000000,2018-09-15 00:39:55.000000000,closed,True
231,2018-09-24 22:44:27.000000000,2018-09-24 22:50:59.000000000,2018-09-24 22:50:59.000000000,closed,True
250,2018-11-24 03:40:13.000000000,2018-11-24 03:44:34.000000000,2018-11-24 03:44:34.000000000,closed,True
254,2018-12-05 04:08:59.000000000,2018-12-05 04:13:32.000000000,1970-01-01 00:00:00.000000001,closed,False
277,2019-01-25 23:41:02.000000000,2019-01-25 23:41:13.000000000,2019-01-25 23:41:13.000000000,closed,True
283,2019-02-20 00:14:57.000000000,2019-02-20 00:15:27.000000000,1970-01-01 00:00:00.000000001,closed,False
287,2019-02-26 04:38:43.000000000,2019-02-26 04:38:51.000000000,2019-02-26 04:38:50.000000000,closed,True
345,2019-07-03 12:41:34.000000000,2019-07-03 16:55:07.000000000,2019-07-03 16:55:07.000000000,closed,True
363,2019-07-16 13:54:43.000000000,2019-07-18 14:00:03.000000000,2019-07-18 14:00:03.000000000,closed,True
389,2019-08-12 17:22:37.000000000,2019-08-12 18:23:16.000000000,2019-08-12 18:23:16.000000000,closed,True
423,2019-09-17 17:02:58.000000000,2019-09-19 17:01:13.000000000,2019-09-19 17:01:13.000000000,closed,True
434,2019-09-26 14:02:45.000000000,2019-09-26 18:23:01.000000000,2019-09-26 18:23:01.000000000,closed,True
475,2019-10-18 18:04:15.000000000,2019-10-21 13:01:39.000000000,2019-10-21 13:01:39.000000000,closed,True
510,2019-11-02 14:19:42.000000000,2019-11-04 20:41:59.000000000,2019-11-04 20:41:59.000000000,closed,True
528,2019-11-18 16:27:57.000000000,2019-11-19 20:47:57.000000000,2019-11-19 20:47:57.000000000,closed,True
546,2019-12-02 14:44:27.000000000,2019-12-03 03:11:19.000000000,2019-12-03 03:11:19.000000000,closed,True
551,2019-12-06 15:30:35.000000000,2019-12-09 14:19:07.000000000,2019-12-09 14:19:07.000000000,closed,True
563,2019-12-20 02:43:16.000000000,2019-12-23 13:16:32.000000000,2019-12-23 13:16:32.000000000,closed,True
596,2020-01-27 13:56:15.000000000,2020-01-28 13:47:54.000000000,2020-01-28 13:47:54.000000000,closed,True
641,2020-02-13 15:15:18.000000000,2020-02-14 15:57:20.000000000,2020-02-14 15:57:20.000000000,closed,True
692,2020-03-09 20:34:15.000000000,2020-03-10 21:02:41.000000000,2020-03-10 21:02:41.000000000,closed,True
727,2020-04-03 19:18:39.000000000,2020-04-06 19:27:35.000000000,2020-04-06 19:27:35.000000000,closed,True
743,2020-05-04 10:15:31.000000000,2020-05-04 10:16:59.000000000,2020-05-04 10:16:59.000000000,closed,True
758,2020-05-20 06:07:34.000000000,2020-05-20 06:11:38.000000000,1970-01-01 00:00:00.000000001,closed,False
766,2020-06-01 06:56:19.000000000,2020-06-03 06:10:08.000000000,2020-06-03 06:10:08.000000000,closed,True
786,2020-06-26 10:20:26.000000000,2020-06-27 06:18:14.000000000,2020-06-27 06:18:14.000000000,closed,True
