id,created_at,closed_at,state,comments,title
4129,2020-08-31 12:17:15.000000000,1970-01-01 00:00:00.000000001,open,0,Allow applicationProperties to pass property placeholder (`${..}`) to the launched children applications
4128,2020-08-30 19:32:53.000000000,1970-01-01 00:00:00.000000001,open,3,Unable to change task's spring.datasource.driverClassName
4127,2020-08-27 17:50:27.000000000,1970-01-01 00:00:00.000000001,open,0,Long task name can not be launch
4126,2020-08-26 23:16:57.000000000,2020-08-28 00:48:07.000000000,closed,1,SCDF deployer properties are not binding correctly to CF Deployer env property
4125,2020-08-26 22:13:57.000000000,1970-01-01 00:00:00.000000001,open,0,[Draft] Page of TaskExecutionResource in DataFlowTemplate
4124,2020-08-25 20:10:28.000000000,1970-01-01 00:00:00.000000001,open,0,Ability to specify non docker images when registering container images
4123,2020-08-25 19:58:59.000000000,1970-01-01 00:00:00.000000001,open,0,Add description option for Application Registration
4122,2020-08-25 19:54:43.000000000,1970-01-01 00:00:00.000000001,open,0,Scheduling doesn't work if Composed Task Runner task app isn't explicitly registered
4121,2020-08-25 13:40:00.000000000,2020-08-26 13:46:48.000000000,closed,0,Update label for AppRegistryResource
4120,2020-08-24 19:13:00.000000000,2020-08-26 13:46:48.000000000,closed,0,Improve streams/definitions/NAME/applications
4119,2020-08-24 11:31:16.000000000,1970-01-01 00:00:00.000000001,open,8,Restart Task IllegalStateException
4118,2020-08-22 14:32:34.000000000,1970-01-01 00:00:00.000000001,open,0,[DO NOT Merge] Extend server monitoring dashboard info support
4117,2020-08-22 13:49:21.000000000,2020-08-24 13:02:21.000000000,closed,4,Application name validation
4116,2020-08-21 19:20:01.000000000,1970-01-01 00:00:00.000000001,open,3,Filtering Job executions
4115,2020-08-21 09:54:59.000000000,2020-08-24 08:37:19.000000000,closed,2,spring-cloud-dataflow-build 2.7.0-SNAPSHOT is missing in mvn global repository
4114,2020-08-20 15:58:56.000000000,2020-08-21 10:04:36.000000000,closed,0,Unable to destroy all tasks using shell when Authentication is enabled
4113,2020-08-20 15:28:51.000000000,2020-08-21 09:59:18.000000000,closed,4,Allow deletion of all tasks definitions/executions/schedules when Authentication is enabled
4112,2020-08-20 13:07:38.000000000,1970-01-01 00:00:00.000000001,open,3,Metadata not included anymore for docker apps bulk import
4111,2020-08-19 20:21:29.000000000,1970-01-01 00:00:00.000000001,open,4,Scheduler cron timezone
4110,2020-08-17 04:12:31.000000000,1970-01-01 00:00:00.000000001,open,1,Composed Tasks should be able to executing other Composed Tasks
4109,2020-08-15 03:05:01.000000000,2020-08-17 18:34:56.000000000,closed,2,Metrics for Boot 2.3.x based apps aren't instrumented in Prometheus
4108,2020-08-14 21:16:53.000000000,2020-08-18 18:23:41.000000000,closed,3,Stream won't deploy with Custom App
4107,2020-08-14 06:57:53.000000000,1970-01-01 00:00:00.000000001,open,1,Reference Guide and Microsite are cross-referencing
4106,2020-08-14 05:54:04.000000000,1970-01-01 00:00:00.000000001,open,0,Provide a live example for multiple input/output applications
4105,2020-08-13 00:48:03.000000000,2020-08-18 20:53:01.000000000,closed,4,Restart failed job now uses task arg to get platform
4104,2020-08-12 19:59:44.000000000,1970-01-01 00:00:00.000000001,open,0,Need to increase the size of the STRING_VAL in BATCH_JOB_EXECUTION_PARAMS
4103,2020-08-12 18:40:43.000000000,1970-01-01 00:00:00.000000001,open,0,"Add SCDF/Skipper monitoring configuration to the K8s installation instructions, docs, manifests."
4102,2020-08-12 18:38:43.000000000,1970-01-01 00:00:00.000000001,open,0,Document the SCDF/Skipper server metrics configuration and usage.
4101,2020-08-12 18:34:57.000000000,1970-01-01 00:00:00.000000001,open,0,Port the SCDF/Skipper server metrics dashboard to Wavefront
4100,2020-08-12 18:18:18.000000000,1970-01-01 00:00:00.000000001,open,1,Can't add JDBC driver for Oracle in Spring Cloud Data Flow
4099,2020-08-12 14:59:47.000000000,2020-08-14 00:32:56.000000000,closed,1,Extend micrometer configuration for SCDF
4098,2020-08-11 21:13:55.000000000,2020-08-24 17:46:27.000000000,closed,0,Prepare for 2.6.1
4097,2020-08-11 16:04:39.000000000,2020-08-11 21:11:53.000000000,closed,1,Question - SCDF 2.6.0 - Openshift deployment
4096,2020-08-11 10:17:13.000000000,2020-08-11 12:02:30.000000000,closed,3,Doesn't need to manually register composed-task-runner
4095,2020-08-11 07:00:54.000000000,1970-01-01 00:00:00.000000001,open,0,Failed to launch tasks with task-launcher-dataflow on local env
4094,2020-08-11 05:28:41.000000000,2020-08-18 20:54:29.000000000,closed,2,"Fix the name of the sink ""task-launcher-dataflow"""
4093,2020-08-10 15:16:08.000000000,2020-08-20 13:05:10.000000000,closed,1,Extend server monitoring dashboard info support
4092,2020-08-10 14:12:17.000000000,2020-08-24 17:40:19.000000000,closed,0,Add server support for Wavefront Dashboard UI buttons. 
