id,created_at,closed_at,merged_at,state,merged
5,2015-12-11 01:08:56.000000000,2015-12-11 01:11:43.000000000,2015-12-11 01:11:43.000000000,closed,True
6,2015-12-11 01:20:01.000000000,2015-12-11 01:20:33.000000000,2015-12-11 01:20:33.000000000,closed,True
7,2015-12-11 01:42:55.000000000,2015-12-11 01:46:58.000000000,2015-12-11 01:46:58.000000000,closed,True
15,2015-12-20 02:03:37.000000000,2015-12-20 04:00:24.000000000,2015-12-20 04:00:24.000000000,closed,True
16,2015-12-23 00:01:12.000000000,2015-12-23 00:05:18.000000000,2015-12-23 00:05:18.000000000,closed,True
17,2015-12-23 00:23:06.000000000,2015-12-23 00:33:45.000000000,2015-12-23 00:33:45.000000000,closed,True
18,2015-12-23 01:31:33.000000000,2015-12-23 01:40:11.000000000,2015-12-23 01:40:11.000000000,closed,True
20,2015-12-27 11:26:33.000000000,2015-12-27 18:10:00.000000000,2015-12-27 18:10:00.000000000,closed,True
23,2015-12-27 22:53:09.000000000,2015-12-28 02:20:18.000000000,2015-12-28 02:20:18.000000000,closed,True
24,2015-12-28 02:29:10.000000000,2015-12-28 04:09:04.000000000,2015-12-28 04:09:04.000000000,closed,True
26,2015-12-29 06:26:09.000000000,2015-12-30 01:56:47.000000000,2015-12-30 01:56:47.000000000,closed,True
28,2015-12-30 22:10:28.000000000,2015-12-31 04:36:37.000000000,2015-12-31 04:36:37.000000000,closed,True
29,2015-12-31 04:38:49.000000000,2015-12-31 09:54:30.000000000,2015-12-31 09:54:30.000000000,closed,True
30,2016-01-04 19:09:56.000000000,2016-01-04 19:19:18.000000000,2016-01-04 19:19:18.000000000,closed,True
31,2016-01-04 20:45:18.000000000,2016-01-04 21:57:10.000000000,2016-01-04 21:57:10.000000000,closed,True
32,2016-01-06 01:28:56.000000000,2016-01-06 01:37:38.000000000,2016-01-06 01:37:38.000000000,closed,True
34,2016-01-08 01:45:41.000000000,2016-01-08 01:54:45.000000000,2016-01-08 01:54:45.000000000,closed,True
35,2016-01-11 23:13:48.000000000,2016-01-11 23:14:55.000000000,2016-01-11 23:14:55.000000000,closed,True
