id,created_at,closed_at,state,comments,title
1319,2020-06-30 20:17:49.000000000,2020-06-30 20:24:39.000000000,closed,1,Generalizations
1318,2020-04-24 04:54:20.000000000,2020-04-24 04:54:42.000000000,closed,0,Merge pull request #1 from substance/master
1317,2020-04-17 20:26:29.000000000,2020-04-17 20:30:04.000000000,closed,1,Cite and create reference
1316,2020-04-15 22:36:42.000000000,2020-04-15 22:39:23.000000000,closed,1,API improvements
1315,2020-04-15 22:27:59.000000000,2020-04-15 22:32:51.000000000,closed,1,Nested workflows.
1314,2020-04-07 10:05:50.000000000,2020-04-07 10:06:04.000000000,closed,0,Add optional error explanation.
1313,2020-04-03 19:13:59.000000000,2020-04-03 19:35:24.000000000,closed,1,Introduce Explanation component.
1312,2020-03-11 16:13:28.000000000,2020-03-13 00:10:02.000000000,closed,1,Make modal footer optional
1311,2020-03-05 15:55:06.000000000,2020-03-05 15:59:19.000000000,closed,1,Improvements
1310,2020-03-05 14:03:21.000000000,2020-03-05 14:13:29.000000000,closed,1,Popover and events
1309,2020-02-29 06:03:48.000000000,2020-02-29 06:08:17.000000000,closed,1,Fix unicode handling
1308,2020-02-01 15:21:45.000000000,2020-03-05 15:37:28.000000000,closed,1,References
1307,2019-12-21 03:10:48.000000000,2019-12-21 03:18:59.000000000,closed,1,Fixes
1306,2019-12-21 01:46:38.000000000,2019-12-21 03:08:13.000000000,closed,1,Fixes
1305,2019-12-19 13:59:31.000000000,2019-12-19 14:01:15.000000000,closed,1,Improvements
1304,2019-12-19 08:27:28.000000000,2019-12-19 08:33:00.000000000,closed,1,Improvements
1303,2019-12-19 07:32:35.000000000,2019-12-19 07:32:43.000000000,closed,0,Improvements and fixes
1302,2019-12-18 01:59:49.000000000,2019-12-19 08:28:11.000000000,closed,2,Multiinput improvements
1301,2019-12-16 02:35:49.000000000,2019-12-17 00:56:12.000000000,closed,1,Multiselect
1300,2019-12-12 04:40:35.000000000,2019-12-12 04:42:45.000000000,closed,0,Improvements and Fixes revealed by Electron integration.
1299,2019-12-12 01:58:36.000000000,2019-12-15 17:15:19.000000000,closed,1,Show empty middlename input by default.
1298,2019-12-11 18:26:25.000000000,2019-12-11 22:12:51.000000000,closed,1,Modal canvas improvements
1297,2019-12-07 14:22:48.000000000,2019-12-07 14:22:53.000000000,closed,0,Fix api.moveItem()
1296,2019-12-07 00:20:23.000000000,2019-12-07 00:22:54.000000000,closed,1,Tidy up.
1295,2019-12-06 05:08:19.000000000,2019-12-06 17:53:10.000000000,closed,0,Fixes
1294,2019-12-06 02:39:35.000000000,2019-12-06 02:39:52.000000000,closed,0,Improvements
1293,2019-12-05 16:44:56.000000000,2019-12-05 16:47:20.000000000,closed,1,Improve affiliation modal
1292,2019-12-05 15:47:43.000000000,2019-12-05 15:47:58.000000000,closed,0,Improve authors modal
1291,2019-12-04 01:51:04.000000000,2019-12-04 01:51:19.000000000,closed,0,Relationship index
1290,2019-11-28 06:43:05.000000000,2019-11-28 06:51:20.000000000,closed,1,Global event handler
1289,2019-11-20 22:50:08.000000000,2019-11-20 22:50:21.000000000,closed,0,Fix Link component
1288,2019-11-20 01:05:16.000000000,2019-11-20 01:06:39.000000000,closed,0,Styling properties
1287,2019-10-24 12:09:08.000000000,2019-10-24 12:56:37.000000000,closed,1,JS-YAML Error
1286,2019-10-17 23:44:31.000000000,2019-10-17 23:44:50.000000000,closed,0,Improvements
1285,2019-10-14 15:22:27.000000000,2019-10-16 00:48:28.000000000,closed,2,Next
1284,2019-08-24 03:12:27.000000000,2019-10-14 15:22:51.000000000,closed,2,Improvements
1283,2019-08-15 13:56:47.000000000,2019-08-15 14:09:21.000000000,closed,1,Fix doctype parsing
1282,2019-07-17 02:33:50.000000000,2019-07-17 02:34:00.000000000,closed,0,1.0
1281,2019-07-16 14:03:43.000000000,2019-07-16 14:15:31.000000000,closed,1,Improvements
1280,2019-07-16 01:01:18.000000000,2019-07-16 01:19:59.000000000,closed,1,Improvements
1279,2019-07-15 00:32:19.000000000,2019-07-15 03:13:48.000000000,closed,1,Refactor
1278,2019-07-11 18:28:02.000000000,2019-07-11 18:38:49.000000000,closed,1,Improvements
1277,2019-07-09 17:20:14.000000000,2019-07-09 17:26:18.000000000,closed,1,Improvements
1276,2019-07-08 10:41:55.000000000,2019-07-08 10:48:47.000000000,closed,1,Single user history
1275,2019-04-30 18:07:46.000000000,2019-04-30 18:12:35.000000000,closed,1,Fragmenter 2.0
1274,2019-04-23 20:04:33.000000000,2019-04-29 03:44:27.000000000,closed,1,Tidy up
1273,2019-04-12 02:18:11.000000000,2019-04-12 15:38:31.000000000,closed,1,Removing XML schema related stuff.
1272,2019-04-11 05:21:44.000000000,2019-04-11 13:28:26.000000000,closed,1,Tidy up
1271,2019-04-10 13:00:13.000000000,2019-04-10 13:03:44.000000000,closed,1,Improvements
1270,2019-03-28 00:52:40.000000000,2019-03-28 01:47:06.000000000,closed,1,Fixes
1269,2019-03-27 20:09:16.000000000,2019-03-27 20:18:55.000000000,closed,1,Fix regressions
1268,2019-03-27 15:42:56.000000000,2019-03-27 15:46:55.000000000,closed,1,Improvements
1267,2019-03-26 11:23:27.000000000,2019-03-26 11:51:09.000000000,closed,1,Model improvements
1266,2019-03-01 21:44:26.000000000,2019-03-01 22:24:48.000000000,closed,1,Fixes and Tidy up
1265,2019-03-01 18:03:44.000000000,2019-03-01 18:08:07.000000000,closed,1,More fixes related to lists
1264,2019-03-01 17:30:28.000000000,2019-03-01 17:35:22.000000000,closed,1,Fix Regressions
1263,2019-02-28 16:04:08.000000000,2019-03-01 15:30:33.000000000,closed,1,Fix paste lists
1262,2019-02-18 22:05:47.000000000,2019-02-18 22:13:03.000000000,closed,1,Improvements
1261,2019-02-18 20:33:38.000000000,2019-02-18 20:40:00.000000000,closed,1,Router improvements
1260,2019-02-18 09:30:01.000000000,2019-02-18 10:01:27.000000000,closed,1,Fixes
1259,2019-02-15 09:44:05.000000000,2019-02-15 09:47:56.000000000,closed,2,Multi view history
1258,2019-01-30 14:20:52.000000000,2019-01-30 14:24:34.000000000,closed,1,Fixing issue with draggable inline nodes
1257,2019-01-30 14:12:07.000000000,2019-01-30 14:27:59.000000000,closed,1,Draggable InlineNodes have a strange selection in Chrome
1256,2019-01-27 15:11:22.000000000,2019-01-27 15:28:32.000000000,closed,1,RenderingEngine fix.
1255,2019-01-25 03:02:55.000000000,2019-01-27 15:09:03.000000000,closed,1,More RenderingEngine Fixes
1254,2019-01-24 11:36:15.000000000,2019-01-24 12:04:04.000000000,closed,1,Fixes
1253,2019-01-23 14:38:10.000000000,2019-01-23 16:00:43.000000000,closed,1,Improvements
1252,2019-01-22 19:15:31.000000000,2019-01-22 19:19:06.000000000,closed,1,Fix RenderingEngine
