id,created_at,closed_at,merged_at,state,merged
1,2015-05-14 02:01:03.000000000,2015-05-14 02:01:47.000000000,2015-05-14 02:01:47.000000000,closed,True
2,2015-05-17 17:05:32.000000000,2015-05-18 10:12:22.000000000,2015-05-18 10:12:22.000000000,closed,True
3,2015-05-19 03:55:14.000000000,2015-05-19 07:30:02.000000000,2015-05-19 07:30:02.000000000,closed,True
4,2015-05-19 11:31:27.000000000,2015-05-19 14:13:44.000000000,2015-05-19 14:13:44.000000000,closed,True
5,2015-05-19 22:12:57.000000000,2015-05-19 22:13:10.000000000,2015-05-19 22:13:10.000000000,closed,True
6,2015-05-19 22:48:57.000000000,2015-05-19 22:49:04.000000000,2015-05-19 22:49:04.000000000,closed,True
16,2015-05-28 11:41:44.000000000,2015-05-28 14:58:07.000000000,1970-01-01 00:00:00.000000001,closed,False
17,2015-05-28 15:02:16.000000000,2015-05-28 15:05:02.000000000,2015-05-28 15:05:02.000000000,closed,True
18,2015-05-28 15:49:16.000000000,2015-05-28 15:50:22.000000000,2015-05-28 15:50:22.000000000,closed,True
19,2015-05-28 16:02:13.000000000,2015-05-29 13:15:10.000000000,2015-05-29 13:15:10.000000000,closed,True
20,2015-05-28 19:27:19.000000000,2015-06-04 20:50:15.000000000,2015-06-04 20:50:15.000000000,closed,True
22,2015-05-29 19:27:34.000000000,2015-05-29 19:34:56.000000000,2015-05-29 19:34:56.000000000,closed,True
23,2015-06-02 16:30:08.000000000,2015-06-02 18:05:38.000000000,2015-06-02 18:05:38.000000000,closed,True
24,2015-06-02 18:15:03.000000000,2015-06-02 18:24:23.000000000,2015-06-02 18:24:23.000000000,closed,True
26,2015-06-02 19:10:22.000000000,2015-06-02 19:11:12.000000000,2015-06-02 19:11:12.000000000,closed,True
27,2015-06-04 00:47:43.000000000,2015-06-04 00:52:12.000000000,2015-06-04 00:52:12.000000000,closed,True
28,2015-06-05 12:46:12.000000000,2015-06-05 12:46:50.000000000,2015-06-05 12:46:50.000000000,closed,True
29,2015-06-06 13:59:45.000000000,2015-06-06 15:15:07.000000000,2015-06-06 15:15:07.000000000,closed,True
30,2015-06-08 08:23:41.000000000,2015-06-08 10:35:13.000000000,2015-06-08 10:35:13.000000000,closed,True
31,2015-06-08 16:04:53.000000000,2015-06-08 16:56:07.000000000,2015-06-08 16:56:07.000000000,closed,True
32,2015-06-08 18:19:11.000000000,2015-06-08 18:20:12.000000000,2015-06-08 18:20:12.000000000,closed,True
33,2015-06-08 20:07:51.000000000,2015-06-08 20:09:08.000000000,2015-06-08 20:09:08.000000000,closed,True
34,2015-06-09 11:09:41.000000000,2015-06-09 15:49:37.000000000,2015-06-09 15:49:37.000000000,closed,True
35,2015-06-18 15:38:40.000000000,2015-06-18 16:26:11.000000000,2015-06-18 16:26:11.000000000,closed,True
36,2015-06-18 16:28:17.000000000,2015-06-19 00:58:12.000000000,2015-06-19 00:58:12.000000000,closed,True
38,2015-06-19 14:20:31.000000000,2015-06-19 14:21:04.000000000,2015-06-19 14:21:04.000000000,closed,True
39,2015-07-06 17:18:18.000000000,2015-07-06 17:46:08.000000000,2015-07-06 17:46:08.000000000,closed,True
40,2015-07-06 19:23:52.000000000,2015-07-06 20:01:27.000000000,2015-07-06 20:01:27.000000000,closed,True
41,2015-07-13 10:51:13.000000000,2015-07-13 10:51:27.000000000,2015-07-13 10:51:27.000000000,closed,True
42,2015-07-13 14:43:33.000000000,2015-07-13 14:43:48.000000000,2015-07-13 14:43:48.000000000,closed,True
43,2015-07-14 13:56:21.000000000,2015-07-14 13:56:31.000000000,2015-07-14 13:56:31.000000000,closed,True
44,2015-07-20 15:25:39.000000000,2015-07-20 18:21:56.000000000,2015-07-20 18:21:56.000000000,closed,True
45,2015-07-20 19:02:38.000000000,2015-07-20 19:04:01.000000000,2015-07-20 19:04:01.000000000,closed,True
46,2015-07-23 20:39:21.000000000,2015-07-23 20:39:28.000000000,2015-07-23 20:39:28.000000000,closed,True
47,2015-07-23 20:57:10.000000000,2015-07-23 20:57:14.000000000,2015-07-23 20:57:14.000000000,closed,True
48,2015-07-24 11:08:52.000000000,2015-07-24 11:12:10.000000000,2015-07-24 11:12:10.000000000,closed,True
49,2015-07-25 21:48:39.000000000,2015-07-25 21:48:46.000000000,2015-07-25 21:48:46.000000000,closed,True
50,2015-07-26 21:36:13.000000000,2015-07-26 21:36:19.000000000,2015-07-26 21:36:19.000000000,closed,True
51,2015-07-27 19:06:30.000000000,2015-08-20 00:46:55.000000000,2015-08-20 00:46:55.000000000,closed,True
52,2015-08-02 13:59:27.000000000,2015-08-02 23:02:20.000000000,2015-08-02 23:02:20.000000000,closed,True
53,2015-08-10 19:12:55.000000000,2015-09-09 19:44:33.000000000,2015-09-09 19:44:33.000000000,closed,True
54,2015-09-07 14:50:57.000000000,2015-09-07 14:51:15.000000000,2015-09-07 14:51:15.000000000,closed,True
56,2015-09-30 21:03:48.000000000,2015-09-30 21:04:07.000000000,2015-09-30 21:04:07.000000000,closed,True
57,2015-10-01 10:39:51.000000000,2015-10-01 10:40:25.000000000,2015-10-01 10:40:25.000000000,closed,True
60,2015-10-12 10:08:50.000000000,2015-10-12 10:09:02.000000000,2015-10-12 10:09:02.000000000,closed,True
61,2015-10-12 10:34:39.000000000,2015-10-12 10:34:44.000000000,2015-10-12 10:34:44.000000000,closed,True
62,2015-10-13 16:50:59.000000000,2015-10-13 16:51:04.000000000,2015-10-13 16:51:04.000000000,closed,True
65,2015-10-17 22:56:47.000000000,2015-10-17 23:24:24.000000000,2015-10-17 23:24:24.000000000,closed,True
66,2015-10-18 15:35:31.000000000,2015-10-18 15:40:02.000000000,2015-10-18 15:40:02.000000000,closed,True
67,2015-10-18 17:11:54.000000000,2015-10-20 01:04:12.000000000,1970-01-01 00:00:00.000000001,closed,False
68,2015-10-18 21:36:51.000000000,2015-10-20 10:51:03.000000000,2015-10-20 10:51:03.000000000,closed,True
69,2015-10-24 14:20:59.000000000,2015-10-24 14:21:08.000000000,2015-10-24 14:21:08.000000000,closed,True
70,2015-10-24 19:27:37.000000000,2015-10-24 19:27:46.000000000,2015-10-24 19:27:46.000000000,closed,True
