id,created_at,closed_at,merged_at,state,merged
1,2016-09-17 19:36:31.000000000,2016-09-26 00:50:34.000000000,2016-09-26 00:50:34.000000000,closed,True
3,2016-12-03 15:34:15.000000000,2016-12-05 21:42:53.000000000,2016-12-05 21:42:53.000000000,closed,True
17,2017-10-25 03:23:03.000000000,2017-10-31 03:36:42.000000000,1970-01-01 00:00:00.000000001,closed,False
74,2017-12-14 01:06:05.000000000,2018-02-03 02:47:02.000000000,1970-01-01 00:00:00.000000001,closed,False
76,2017-12-15 22:14:35.000000000,2018-02-03 03:10:13.000000000,1970-01-01 00:00:00.000000001,closed,False
88,2018-01-30 03:56:02.000000000,2018-02-01 23:31:07.000000000,2018-02-01 23:31:07.000000000,closed,True
96,2018-02-01 09:22:37.000000000,2018-02-01 10:06:43.000000000,2018-02-01 10:06:43.000000000,closed,True
108,2018-02-03 02:41:13.000000000,2018-02-03 02:46:16.000000000,2018-02-03 02:46:16.000000000,closed,True
109,2018-02-06 01:15:19.000000000,2018-02-07 02:41:32.000000000,2018-02-07 02:41:32.000000000,closed,True
111,2018-02-06 01:36:23.000000000,2018-02-06 09:09:01.000000000,2018-02-06 09:09:01.000000000,closed,True
112,2018-02-06 09:24:43.000000000,2018-02-06 09:45:13.000000000,2018-02-06 09:45:13.000000000,closed,True
113,2018-02-06 11:13:06.000000000,2018-02-06 20:26:22.000000000,2018-02-06 20:26:22.000000000,closed,True
114,2018-02-06 13:53:07.000000000,2018-02-07 02:30:05.000000000,2018-02-07 02:30:05.000000000,closed,True
115,2018-02-06 17:57:30.000000000,2018-02-06 20:39:24.000000000,1970-01-01 00:00:00.000000001,closed,False
116,2018-02-07 10:46:50.000000000,2018-02-07 23:42:27.000000000,2018-02-07 23:42:27.000000000,closed,True
117,2018-02-07 23:46:04.000000000,2018-02-08 00:09:45.000000000,2018-02-08 00:09:45.000000000,closed,True
119,2018-02-08 02:19:22.000000000,2018-02-08 02:28:30.000000000,2018-02-08 02:28:30.000000000,closed,True
120,2018-02-08 03:35:44.000000000,2018-02-08 03:45:13.000000000,2018-02-08 03:45:13.000000000,closed,True
124,2018-02-08 09:25:30.000000000,2018-02-08 22:09:03.000000000,2018-02-08 22:09:03.000000000,closed,True
126,2018-02-08 20:07:18.000000000,2018-08-29 03:50:14.000000000,1970-01-01 00:00:00.000000001,closed,False
128,2018-02-08 22:07:30.000000000,2018-02-12 22:10:19.000000000,2018-02-12 22:10:19.000000000,closed,True
129,2018-02-09 00:35:47.000000000,2018-02-12 22:52:06.000000000,2018-02-12 22:52:06.000000000,closed,True
130,2018-02-09 11:22:27.000000000,2018-02-10 00:32:39.000000000,2018-02-10 00:32:39.000000000,closed,True
131,2018-02-10 03:04:30.000000000,2018-02-10 03:30:33.000000000,2018-02-10 03:30:33.000000000,closed,True
133,2018-02-13 00:56:53.000000000,2018-02-13 23:02:06.000000000,2018-02-13 23:02:06.000000000,closed,True
135,2018-02-13 03:04:04.000000000,2018-02-13 03:13:11.000000000,2018-02-13 03:13:11.000000000,closed,True
136,2018-02-13 20:11:09.000000000,2018-02-27 23:23:36.000000000,1970-01-01 00:00:00.000000001,closed,False
140,2018-02-15 03:10:06.000000000,2018-02-15 03:23:40.000000000,2018-02-15 03:23:39.000000000,closed,True
141,2018-02-15 23:19:39.000000000,2018-02-21 20:42:23.000000000,2018-02-21 20:42:23.000000000,closed,True
142,2018-02-19 08:42:32.000000000,2018-02-26 22:39:57.000000000,2018-02-26 22:39:57.000000000,closed,True
144,2018-02-20 05:35:32.000000000,2018-02-26 23:38:56.000000000,2018-02-26 23:38:56.000000000,closed,True
148,2018-02-22 08:44:00.000000000,2018-06-23 01:07:33.000000000,1970-01-01 00:00:00.000000001,closed,False
150,2018-02-24 07:05:05.000000000,2018-03-02 10:48:48.000000000,1970-01-01 00:00:00.000000001,closed,False
152,2018-02-24 11:04:43.000000000,2018-02-24 11:15:47.000000000,2018-02-24 11:15:47.000000000,closed,True
154,2018-02-27 02:45:03.000000000,2018-02-27 03:12:42.000000000,2018-02-27 03:12:42.000000000,closed,True
155,2018-02-27 03:36:56.000000000,2018-02-27 03:50:08.000000000,2018-02-27 03:50:08.000000000,closed,True
156,2018-02-27 03:51:41.000000000,2018-02-27 09:41:07.000000000,2018-02-27 09:41:07.000000000,closed,True
157,2018-02-27 11:30:24.000000000,2018-02-27 22:56:29.000000000,2018-02-27 22:56:29.000000000,closed,True
159,2018-02-27 14:25:56.000000000,2018-02-27 22:35:51.000000000,2018-02-27 22:35:51.000000000,closed,True
160,2018-02-28 01:18:00.000000000,2018-02-28 22:03:14.000000000,2018-02-28 22:03:14.000000000,closed,True
161,2018-02-28 13:13:20.000000000,2018-02-28 22:00:25.000000000,2018-02-28 22:00:25.000000000,closed,True
162,2018-02-28 21:58:17.000000000,2018-02-28 22:07:15.000000000,2018-02-28 22:07:15.000000000,closed,True
163,2018-03-01 02:00:21.000000000,2018-03-01 02:48:09.000000000,2018-03-01 02:48:09.000000000,closed,True
164,2018-03-01 03:26:18.000000000,2018-03-01 04:03:46.000000000,2018-03-01 04:03:46.000000000,closed,True
166,2018-03-02 09:36:52.000000000,2018-03-02 10:48:19.000000000,2018-03-02 10:48:18.000000000,closed,True
167,2018-03-02 10:01:04.000000000,2018-03-02 10:50:08.000000000,2018-03-02 10:50:08.000000000,closed,True
169,2018-03-02 21:23:57.000000000,2018-03-03 02:51:35.000000000,2018-03-03 02:51:35.000000000,closed,True
170,2018-03-03 02:50:36.000000000,2018-03-03 04:15:06.000000000,2018-03-03 04:15:06.000000000,closed,True
171,2018-03-03 04:30:03.000000000,2018-03-03 04:45:35.000000000,2018-03-03 04:45:35.000000000,closed,True
172,2018-03-03 05:39:15.000000000,2018-03-14 00:57:36.000000000,2018-03-14 00:57:36.000000000,closed,True
175,2018-03-03 11:07:25.000000000,2018-03-04 23:46:55.000000000,2018-03-04 23:46:55.000000000,closed,True
176,2018-03-05 18:15:57.000000000,2018-03-06 00:12:44.000000000,2018-03-06 00:12:44.000000000,closed,True
177,2018-03-05 21:40:29.000000000,2018-03-06 01:44:10.000000000,2018-03-06 01:44:10.000000000,closed,True
180,2018-03-06 01:41:01.000000000,2018-03-06 22:59:05.000000000,2018-03-06 22:59:05.000000000,closed,True
182,2018-03-06 03:09:11.000000000,2018-03-06 23:40:11.000000000,1970-01-01 00:00:00.000000001,closed,False
183,2018-03-06 03:44:35.000000000,2018-03-06 22:53:24.000000000,2018-03-06 22:53:24.000000000,closed,True
184,2018-03-06 06:28:40.000000000,2018-03-06 23:41:24.000000000,2018-03-06 23:41:24.000000000,closed,True
185,2018-03-06 19:58:00.000000000,2018-03-06 22:49:02.000000000,2018-03-06 22:49:02.000000000,closed,True
187,2018-03-06 23:06:12.000000000,2018-03-07 01:00:50.000000000,2018-03-07 01:00:50.000000000,closed,True
188,2018-03-06 23:39:39.000000000,2018-03-07 03:40:10.000000000,2018-03-07 03:40:10.000000000,closed,True
189,2018-03-07 00:58:49.000000000,2018-03-07 03:40:21.000000000,2018-03-07 03:40:21.000000000,closed,True
190,2018-03-07 01:17:13.000000000,2018-03-07 10:33:46.000000000,2018-03-07 10:33:46.000000000,closed,True
193,2018-03-08 01:37:32.000000000,2018-03-08 05:24:52.000000000,2018-03-08 05:24:52.000000000,closed,True
196,2018-03-08 11:07:55.000000000,2018-03-08 11:28:02.000000000,2018-03-08 11:28:02.000000000,closed,True
197,2018-03-08 21:06:57.000000000,2018-03-08 21:48:47.000000000,2018-03-08 21:48:47.000000000,closed,True
198,2018-03-09 02:15:39.000000000,2018-03-09 02:36:55.000000000,2018-03-09 02:36:55.000000000,closed,True
199,2018-03-09 02:32:23.000000000,2018-03-09 02:38:53.000000000,2018-03-09 02:38:53.000000000,closed,True
200,2018-03-09 03:47:22.000000000,2018-03-09 03:54:31.000000000,2018-03-09 03:54:31.000000000,closed,True
201,2018-03-09 04:09:55.000000000,2018-03-09 09:15:51.000000000,2018-03-09 09:15:51.000000000,closed,True
204,2018-03-09 12:28:14.000000000,2018-03-10 01:25:17.000000000,2018-03-10 01:25:17.000000000,closed,True
205,2018-03-09 12:36:32.000000000,2018-03-10 01:25:39.000000000,2018-03-10 01:25:38.000000000,closed,True
208,2018-03-09 15:11:39.000000000,2018-03-10 01:26:10.000000000,2018-03-10 01:26:10.000000000,closed,True
212,2018-03-09 23:26:12.000000000,2018-03-10 00:09:11.000000000,2018-03-10 00:09:11.000000000,closed,True
213,2018-03-10 00:14:09.000000000,2018-03-10 00:41:31.000000000,2018-03-10 00:41:31.000000000,closed,True
214,2018-03-10 03:35:26.000000000,2018-03-14 00:14:52.000000000,2018-03-14 00:14:52.000000000,closed,True
215,2018-03-10 04:15:34.000000000,2018-03-10 09:07:10.000000000,2018-03-10 09:07:09.000000000,closed,True
216,2018-03-10 10:13:02.000000000,2018-03-13 20:44:14.000000000,2018-03-13 20:44:14.000000000,closed,True
218,2018-03-11 14:18:20.000000000,2018-03-13 22:24:18.000000000,2018-03-13 22:24:18.000000000,closed,True
220,2018-03-11 20:54:49.000000000,2018-03-11 22:37:11.000000000,2018-03-11 22:37:11.000000000,closed,True
222,2018-03-12 21:15:41.000000000,2018-03-12 21:39:32.000000000,2018-03-12 21:39:32.000000000,closed,True
224,2018-03-13 07:02:48.000000000,2018-03-14 20:39:00.000000000,2018-03-14 20:39:00.000000000,closed,True
225,2018-03-13 11:41:57.000000000,2018-03-13 22:43:06.000000000,2018-03-13 22:43:06.000000000,closed,True
226,2018-03-13 22:34:18.000000000,2018-03-14 00:14:29.000000000,2018-03-14 00:14:29.000000000,closed,True
227,2018-03-13 23:46:25.000000000,2018-03-14 00:28:41.000000000,2018-03-14 00:28:41.000000000,closed,True
228,2018-03-13 23:46:36.000000000,2018-03-14 00:14:13.000000000,2018-03-14 00:14:13.000000000,closed,True
229,2018-03-14 02:12:16.000000000,2018-03-14 02:58:54.000000000,2018-03-14 02:58:54.000000000,closed,True
230,2018-03-15 19:40:23.000000000,2018-03-15 20:29:56.000000000,2018-03-15 20:29:56.000000000,closed,True
231,2018-03-15 20:21:46.000000000,2018-03-16 03:38:12.000000000,2018-03-16 03:38:12.000000000,closed,True
232,2018-03-16 02:17:15.000000000,2018-03-16 03:37:33.000000000,2018-03-16 03:37:33.000000000,closed,True
