id,created_at,closed_at,merged_at,state,merged
15,2015-11-13 22:22:34.000000000,2015-11-16 07:44:05.000000000,2015-11-16 07:44:05.000000000,closed,True
19,2015-11-16 09:59:21.000000000,2015-11-16 22:50:40.000000000,2015-11-16 22:50:40.000000000,closed,True
20,2015-11-16 23:41:13.000000000,2015-11-16 23:43:18.000000000,2015-11-16 23:43:18.000000000,closed,True
21,2015-11-16 23:54:19.000000000,2015-11-16 23:56:34.000000000,2015-11-16 23:56:34.000000000,closed,True
22,2015-11-17 00:05:09.000000000,2015-11-17 00:06:49.000000000,2015-11-17 00:06:49.000000000,closed,True
23,2015-11-17 00:41:59.000000000,2015-11-17 00:58:24.000000000,2015-11-17 00:58:24.000000000,closed,True
26,2015-11-17 02:09:16.000000000,2015-11-17 02:25:46.000000000,2015-11-17 02:25:46.000000000,closed,True
28,2015-11-17 06:00:22.000000000,2015-11-17 06:56:48.000000000,2015-11-17 06:56:48.000000000,closed,True
35,2015-12-01 13:39:50.000000000,2015-12-01 23:43:01.000000000,2015-12-01 23:43:01.000000000,closed,True
37,2015-12-03 02:20:34.000000000,2015-12-04 19:08:38.000000000,2015-12-04 19:08:38.000000000,closed,True
38,2015-12-03 20:46:04.000000000,2015-12-04 22:56:57.000000000,2015-12-04 22:56:57.000000000,closed,True
40,2015-12-04 23:35:54.000000000,2015-12-04 23:43:02.000000000,2015-12-04 23:43:02.000000000,closed,True
50,2015-12-08 02:04:29.000000000,2015-12-08 20:27:27.000000000,2015-12-08 20:27:27.000000000,closed,True
53,2015-12-09 02:04:51.000000000,2015-12-09 02:16:52.000000000,2015-12-09 02:16:52.000000000,closed,True
54,2015-12-09 03:38:35.000000000,2015-12-09 06:52:25.000000000,2015-12-09 06:52:25.000000000,closed,True
55,2015-12-10 21:15:02.000000000,2015-12-10 21:44:25.000000000,2015-12-10 21:44:25.000000000,closed,True
57,2015-12-14 05:50:35.000000000,2015-12-16 21:27:20.000000000,2015-12-16 21:27:20.000000000,closed,True
60,2015-12-16 16:31:53.000000000,2015-12-17 00:29:18.000000000,2015-12-17 00:29:18.000000000,closed,True
62,2015-12-19 08:35:31.000000000,2015-12-20 21:06:04.000000000,2015-12-20 21:06:04.000000000,closed,True
63,2015-12-22 06:58:59.000000000,2016-07-18 22:17:50.000000000,1970-01-01 00:00:00.000000001,closed,False
66,2015-12-24 15:23:39.000000000,2015-12-26 19:44:46.000000000,2015-12-26 19:44:46.000000000,closed,True
68,2015-12-31 18:02:38.000000000,2016-01-06 23:48:19.000000000,2016-01-06 23:48:19.000000000,closed,True
71,2016-01-05 16:57:19.000000000,2016-02-19 20:49:19.000000000,2016-02-19 20:49:19.000000000,closed,True
