id,created_at,closed_at,state,comments,title
1321,2020-08-31 14:46:41.000000000,1970-01-01 00:00:00.000000001,open,0,Fix IP value for UC_MODE_16
1320,2020-08-31 14:40:03.000000000,1970-01-01 00:00:00.000000001,open,0,Wrong IP value in hook callback with UC_ARCH_X86 and UC_MODE_16
1319,2020-08-25 12:21:19.000000000,1970-01-01 00:00:00.000000001,open,0,fix HI/LO register read/write issue in MIPS
1318,2020-08-23 18:59:36.000000000,1970-01-01 00:00:00.000000001,open,0,emu_start stuck with high cpu usage no instruction execution...
1317,2020-08-19 20:40:29.000000000,2020-08-20 19:24:05.000000000,closed,1,fix an issue with ARM APSR register handling
1316,2020-08-12 07:48:19.000000000,1970-01-01 00:00:00.000000001,open,0,Unicorn crashes in uc_version
1315,2020-08-11 19:12:29.000000000,1970-01-01 00:00:00.000000001,open,2,Fix enabled hooks even after deleting them
1314,2020-08-10 15:25:28.000000000,1970-01-01 00:00:00.000000001,open,0,"MIPS Instruction: lwx     $t9, $t9($s3) - Unhandled CPU exception (UC_ERR_EXCEPTION),  "
1313,2020-08-02 12:07:17.000000000,1970-01-01 00:00:00.000000001,open,3,Weird hang while running neon instructions with pld
1312,2020-08-02 05:24:05.000000000,1970-01-01 00:00:00.000000001,open,0,Incorrect value for instruction pointer reported when reading/writing XMM values from/to memory
1309,2020-07-29 22:06:58.000000000,1970-01-01 00:00:00.000000001,open,0,Improved Rust bindings
1308,2020-07-24 09:39:53.000000000,1970-01-01 00:00:00.000000001,open,4,Unicorn (qemu part) will crash when run on Mac with SIP(System Integrity Protection) is on
1307,2020-07-15 01:00:07.000000000,1970-01-01 00:00:00.000000001,open,0,fix aarch64 cpu init error
1306,2020-07-13 19:40:55.000000000,1970-01-01 00:00:00.000000001,open,0,Return 'indefinite integer value' for invalid SSE fp->int conversions
1305,2020-07-12 05:27:11.000000000,1970-01-01 00:00:00.000000001,open,0,Fix failing test caused by removal of UC_ERR_TIMEOUT
1304,2020-07-11 15:46:21.000000000,2020-07-14 17:47:05.000000000,closed,2,"UC_ERR_WRITE_UNMAPPED when executing `msr cpsr_c, r0`"
1303,2020-07-06 14:02:28.000000000,2020-07-07 09:36:31.000000000,closed,0,UC_HOOK_BLOCK Recognition block error
1302,2020-07-02 09:19:25.000000000,2020-07-02 09:38:05.000000000,closed,0,ARM THUMB mode weird instruction
1301,2020-06-28 14:11:57.000000000,1970-01-01 00:00:00.000000001,open,7,Disable MMU emulation
1300,2020-06-22 13:08:53.000000000,2020-06-27 21:43:15.000000000,closed,5,fix 64-bit fstenv
1299,2020-06-19 22:45:28.000000000,1970-01-01 00:00:00.000000001,open,1,Next
1298,2020-06-15 13:02:15.000000000,1970-01-01 00:00:00.000000001,open,7,"rc4 ""installer"" release does not respect UNICORN_TARGETS"
1297,2020-06-15 11:59:23.000000000,1970-01-01 00:00:00.000000001,open,0,Updating pypi workflow and setup.py classifiers
1296,2020-06-13 20:53:24.000000000,2020-06-13 21:46:11.000000000,closed,1,PyPI test check
1295,2020-06-11 21:20:26.000000000,2020-06-14 17:40:00.000000000,closed,3,Rust bindings
1294,2020-06-10 11:13:27.000000000,1970-01-01 00:00:00.000000001,open,7,Please bring back iOS support
1293,2020-06-09 23:17:11.000000000,1970-01-01 00:00:00.000000001,open,1,DGA-MI PPC addition
1292,2020-06-09 22:05:51.000000000,2020-06-10 13:56:11.000000000,closed,1,Code in sample_arm64.py doesn't do what comment says.
1291,2020-06-09 22:03:14.000000000,2020-06-09 22:16:55.000000000,closed,0,Code in sample_arm64.py doesn
1290,2020-06-09 16:13:14.000000000,1970-01-01 00:00:00.000000001,open,0,ARM MPU register support
1289,2020-06-09 00:06:47.000000000,2020-06-09 15:32:24.000000000,closed,1,remove i386 and mips in hw
1288,2020-06-08 01:07:28.000000000,2020-06-08 04:21:44.000000000,closed,1,"remove apci, default-congfigs"
1287,2020-06-07 01:00:02.000000000,2020-06-07 19:57:54.000000000,closed,1,"remove qobject, qapi, qom"
1286,2020-06-06 20:36:03.000000000,2020-06-06 21:09:31.000000000,closed,1,Fixing minor typo on PyPI distribution workflow
1285,2020-06-06 20:00:31.000000000,1970-01-01 00:00:00.000000001,open,2,cmake static build failed to make test
1284,2020-06-05 00:55:04.000000000,2020-06-06 08:54:07.000000000,closed,4,cmake: fix build if workdir is outside of CMAKE_BINARY_DIR
1283,2020-06-04 23:32:36.000000000,2020-06-05 06:30:24.000000000,closed,1,fix error handling of mmap() calls
1282,2020-06-04 21:34:32.000000000,2020-06-05 06:27:42.000000000,closed,1,cmake: add ARCHIVE rule to the install command
1281,2020-06-04 13:08:03.000000000,2020-06-04 13:37:24.000000000,closed,1,cmake: fix static linking due to cyclic deps
1280,2020-06-04 09:38:14.000000000,2020-06-06 08:53:32.000000000,closed,5,adding pypi workflow
1279,2020-06-04 09:25:25.000000000,2020-06-04 11:40:12.000000000,closed,1,Adding Travis-CI cmake static build
1278,2020-06-03 16:53:21.000000000,2020-06-04 11:38:41.000000000,closed,4,cmake: fix static linking due to cyclic deps
1277,2020-06-02 21:24:54.000000000,2020-06-03 06:13:32.000000000,closed,1,"cmake: fix typo ""UNICRON"" => ""UNICORN"""
1276,2020-06-02 00:59:05.000000000,2020-06-02 12:04:34.000000000,closed,1,cmake: fix Visual Studio build
1275,2020-05-29 21:45:28.000000000,2020-05-31 20:00:07.000000000,closed,3,cmake: add option to build unicorn as a static library
1274,2020-05-29 13:05:22.000000000,2020-05-29 13:49:07.000000000,closed,1,Update CREDITS.TXT
1273,2020-05-29 01:22:13.000000000,1970-01-01 00:00:00.000000001,open,0,X86: Setting Hidden Flags?
1272,2020-05-28 16:46:10.000000000,2020-05-28 20:07:57.000000000,closed,1,Add Visual Studio project files for PowerPC support
1271,2020-05-27 20:38:12.000000000,2020-05-27 21:26:04.000000000,closed,3,Make MSVC happy with the new PowerPC code
1270,2020-05-27 17:38:51.000000000,1970-01-01 00:00:00.000000001,open,12,PPC support
1269,2020-05-27 16:09:03.000000000,2020-05-27 21:26:37.000000000,closed,1,PowerPC fails to build with MSVC
1268,2020-05-27 11:01:24.000000000,2020-05-27 12:20:41.000000000,closed,1,make header for make related builds
1267,2020-05-27 06:13:49.000000000,1970-01-01 00:00:00.000000001,open,1,Unicorn 1.0.2 - Looking for Released Sponsorship
1266,2020-05-26 16:06:37.000000000,2020-05-26 16:52:41.000000000,closed,1,Removes some bugs found by oss-fuzz
1265,2020-05-22 20:26:44.000000000,2020-05-23 05:59:31.000000000,closed,1,Oss-fuzz ideal integration
1264,2020-05-20 18:04:12.000000000,1970-01-01 00:00:00.000000001,open,3,Trying to emulate a stm32 
1263,2020-05-20 14:52:30.000000000,2020-05-20 16:14:30.000000000,closed,0,MIPS Unhandled CPU Exception
1262,2020-05-20 11:11:19.000000000,2020-05-21 12:15:12.000000000,closed,1,Oss-fuzz ideal integration
1261,2020-05-19 19:58:50.000000000,2020-05-20 07:14:06.000000000,closed,1,Travis-CI Arm64 build
1260,2020-05-17 06:30:49.000000000,1970-01-01 00:00:00.000000001,open,1,trouble with uc_mem_map Failed on uc_mem_map() with error returned: 15 (Invalid argument (UC_ERR_ARG))
1259,2020-05-16 22:52:14.000000000,2020-05-22 17:58:39.000000000,closed,1,fix some oss-fuzz
1258,2020-05-16 00:03:34.000000000,2020-05-16 06:38:17.000000000,closed,1,fix some oss-fuzz
1257,2020-05-14 23:43:17.000000000,1970-01-01 00:00:00.000000001,open,7,Fix issue with some memory hooks and PC register
1256,2020-05-12 14:21:46.000000000,2020-05-14 13:58:46.000000000,closed,1,[MIPS] Cannot dym map page in hook
1255,2020-05-11 20:52:48.000000000,2020-05-11 21:27:47.000000000,closed,1,fix some oss-fuzz
1254,2020-05-10 21:39:14.000000000,2020-05-18 15:57:45.000000000,closed,1,fix #1246
1253,2020-05-10 16:55:28.000000000,2020-05-10 17:50:01.000000000,closed,1,Aarch64: Add some cool registers to the API
1252,2020-05-09 10:44:31.000000000,2020-05-27 17:20:31.000000000,closed,31,PPC support
1251,2020-05-08 02:06:11.000000000,2020-05-08 12:12:49.000000000,closed,2,uc_hook_add() error with UC_HOOK_INSN
1250,2020-05-06 05:14:11.000000000,2020-05-06 06:59:35.000000000,closed,1,GPL License and binding issues
1249,2020-05-04 21:12:14.000000000,2020-05-05 07:11:59.000000000,closed,1,fix some oss-fuzz
1248,2020-05-04 16:23:17.000000000,1970-01-01 00:00:00.000000001,open,1, ERROR: pthread check failed
1247,2020-05-01 04:03:43.000000000,2020-05-02 14:18:19.000000000,closed,1,fixed leaks in test cases
1246,2020-04-27 23:39:43.000000000,2020-05-19 23:46:48.000000000,closed,7,Tests fail on ARM hosts due to invalid arguments in the TCG IR during optimization
1245,2020-04-27 22:49:36.000000000,2020-04-28 05:51:45.000000000,closed,1,fix m68k func name
1244,2020-04-27 22:42:28.000000000,2020-04-29 04:47:49.000000000,closed,1,add host detection in CMakeLists.txt
1243,2020-04-27 14:20:56.000000000,2020-04-27 15:54:59.000000000,closed,3,move some operations after hook callback
1242,2020-04-26 18:37:25.000000000,2020-04-26 20:01:40.000000000,closed,1,fix travis-ci cmake path
1241,2020-04-26 12:46:19.000000000,2020-04-26 13:52:23.000000000,closed,1,Travis-CI - Cmake
1240,2020-04-24 16:00:46.000000000,2020-04-24 17:55:55.000000000,closed,1,osx brew build removed from allow_failures
1239,2020-04-22 14:13:01.000000000,2020-05-06 14:02:19.000000000,closed,2,UC_ERR_INSN_INVALID for thumb mode
1238,2020-04-20 21:59:29.000000000,2020-04-21 16:12:58.000000000,closed,1,fix mingw gcc error
1237,2020-04-20 19:53:56.000000000,2020-04-20 20:52:29.000000000,closed,1,fix mingw gcc error
1236,2020-04-19 14:32:47.000000000,1970-01-01 00:00:00.000000001,open,2,sample_arm  can't run on android os
1235,2020-04-19 00:18:26.000000000,2020-04-20 17:46:41.000000000,closed,1,fix deps of library files
1234,2020-04-18 11:07:28.000000000,2020-04-18 11:14:56.000000000,closed,0,How to judge the current instruction set on ARM CPU
1233,2020-04-12 21:18:56.000000000,2020-04-13 12:34:08.000000000,closed,1,fix some oss-fuzz bugs
1232,2020-04-12 06:24:38.000000000,1970-01-01 00:00:00.000000001,open,5,fix macro/struct redefinition from winsock2.h
1231,2020-04-12 02:15:20.000000000,2020-04-24 13:15:13.000000000,closed,8,fix binding install on python2
1230,2020-04-10 21:05:55.000000000,2020-04-20 20:47:09.000000000,closed,4,Travis-CI Migration
1229,2020-04-07 21:53:50.000000000,2020-04-07 23:37:13.000000000,closed,1,fix some oss-fuzz
1228,2020-04-04 08:07:14.000000000,2020-05-29 10:54:21.000000000,closed,11,Unicorn 1.02rc2 broken on Python 2.7 (macOS)
1227,2020-03-30 14:13:09.000000000,1970-01-01 00:00:00.000000001,open,0,How to call interrupt in unicorn(interrupt function in qemu)
1226,2020-03-28 20:28:25.000000000,1970-01-01 00:00:00.000000001,open,1,Newbie with ARM 
1225,2020-03-27 19:15:59.000000000,1970-01-01 00:00:00.000000001,open,4,UC_ERR_FETCH_UNMAPPED despite hook (ARM)
1224,2020-03-23 21:25:52.000000000,2020-03-24 12:23:05.000000000,closed,1,fix some oss-fuzz
1223,2020-03-07 20:57:40.000000000,2020-03-08 06:31:25.000000000,closed,0,miss some MIPS registers
1222,2020-03-07 15:29:16.000000000,1970-01-01 00:00:00.000000001,open,6,block hook called twice if uc_mem_protect is used inside hook
1221,2020-03-04 02:12:13.000000000,1970-01-01 00:00:00.000000001,open,0,002-qemu__fatal__unimplemented_control_register_write_0xffb___0x0 Test failed
1220,2020-03-03 23:49:13.000000000,2020-03-05 22:48:54.000000000,closed,1,fix finding python path which only has python3
1219,2020-03-03 08:53:12.000000000,1970-01-01 00:00:00.000000001,open,4,Why commenting out helper_systemcall?
1218,2020-02-29 00:25:59.000000000,2020-03-02 06:44:54.000000000,closed,1,fix some oss-fuzz
1217,2020-02-28 22:02:22.000000000,1970-01-01 00:00:00.000000001,open,7,Unicorn 2 - looking for sponsors
1216,2020-02-27 21:21:06.000000000,2020-02-27 21:34:43.000000000,closed,1,Add Lua binding to main README
1215,2020-02-27 19:17:12.000000000,2020-04-11 18:13:42.000000000,closed,1,use UNICORN_INTERNAL to separate internal code
1214,2020-02-27 10:17:32.000000000,1970-01-01 00:00:00.000000001,open,1,macro/struct redefinition in msvc
1213,2020-02-26 00:08:07.000000000,2020-02-26 14:58:20.000000000,closed,1,fix some oss-fuzz
1212,2020-02-25 17:07:06.000000000,1970-01-01 00:00:00.000000001,open,1,block_full is not updated in tb cache 
1211,2020-02-24 00:24:59.000000000,1970-01-01 00:00:00.000000001,open,0,fix oss-fuzz segv bugs
1210,2020-02-21 19:49:38.000000000,1970-01-01 00:00:00.000000001,open,1,MIPS fails to branch
1209,2020-02-19 15:58:54.000000000,2020-02-19 16:57:23.000000000,closed,1,fix mips bugs
1208,2020-02-16 09:27:41.000000000,2020-02-17 13:12:16.000000000,closed,4,Add vcpkg installation instructions
