id,created_at,closed_at,merged_at,state,merged
21,2016-04-29 00:14:56.000000000,2016-04-30 01:42:45.000000000,2016-04-30 01:42:45.000000000,closed,True
78,2016-06-10 04:30:09.000000000,2016-06-10 20:22:18.000000000,2016-06-10 20:22:18.000000000,closed,True
93,2016-06-24 19:22:51.000000000,2016-06-24 22:45:22.000000000,2016-06-24 22:45:22.000000000,closed,True
109,2016-07-16 01:51:00.000000000,2016-07-16 02:05:10.000000000,2016-07-16 02:05:10.000000000,closed,True
111,2016-07-18 03:02:50.000000000,2016-07-18 03:08:07.000000000,2016-07-18 03:08:07.000000000,closed,True
121,2016-07-29 22:15:56.000000000,2016-07-30 00:29:03.000000000,2016-07-30 00:29:03.000000000,closed,True
128,2016-08-13 03:42:19.000000000,2016-08-13 03:50:00.000000000,2016-08-13 03:50:00.000000000,closed,True
138,2016-08-26 23:05:36.000000000,2016-08-27 03:40:40.000000000,2016-08-27 03:40:40.000000000,closed,True
154,2016-09-24 00:40:21.000000000,2016-09-24 00:54:29.000000000,2016-09-24 00:54:29.000000000,closed,True
160,2016-10-08 00:10:21.000000000,2016-10-08 00:32:35.000000000,2016-10-08 00:32:35.000000000,closed,True
162,2016-10-10 08:46:43.000000000,2016-10-11 07:09:02.000000000,1970-01-01 00:00:00.000000001,closed,False
169,2016-11-05 00:56:07.000000000,2016-11-05 01:36:13.000000000,2016-11-05 01:36:13.000000000,closed,True
207,2017-01-26 09:45:55.000000000,2017-01-26 18:46:04.000000000,2017-01-26 18:46:04.000000000,closed,True
219,2017-02-18 01:13:20.000000000,2017-02-23 00:23:04.000000000,1970-01-01 00:00:00.000000001,closed,False
248,2017-09-01 02:29:49.000000000,2017-09-01 23:28:45.000000000,2017-09-01 23:28:45.000000000,closed,True
303,2017-11-21 00:28:10.000000000,2017-11-21 04:07:14.000000000,2017-11-21 04:07:14.000000000,closed,True
338,2018-03-16 18:24:35.000000000,2018-03-16 19:01:30.000000000,2018-03-16 19:01:30.000000000,closed,True
359,2018-04-09 21:40:29.000000000,2018-04-09 23:09:17.000000000,2018-04-09 23:09:17.000000000,closed,True
366,2018-04-12 22:21:45.000000000,2018-04-12 23:07:02.000000000,2018-04-12 23:07:02.000000000,closed,True
370,2018-04-16 20:32:49.000000000,2018-04-16 20:33:50.000000000,1970-01-01 00:00:00.000000001,closed,False
371,2018-04-16 20:34:26.000000000,2018-04-16 21:06:38.000000000,2018-04-16 21:06:38.000000000,closed,True
375,2018-04-18 19:24:18.000000000,2018-04-20 18:27:19.000000000,2018-04-20 18:27:19.000000000,closed,True
388,2018-05-22 01:23:47.000000000,2018-05-22 18:46:42.000000000,2018-05-22 18:46:41.000000000,closed,True
393,2018-05-31 22:50:17.000000000,2018-05-31 23:42:50.000000000,2018-05-31 23:42:50.000000000,closed,True
402,2018-06-13 02:08:44.000000000,2018-06-13 04:51:31.000000000,2018-06-13 04:51:31.000000000,closed,True
415,2018-06-28 23:32:38.000000000,2018-06-29 18:16:25.000000000,2018-06-29 18:16:25.000000000,closed,True
427,2018-07-13 02:30:36.000000000,2018-07-13 05:14:40.000000000,2018-07-13 05:14:40.000000000,closed,True
434,2018-08-08 01:16:31.000000000,2018-08-08 02:02:16.000000000,2018-08-08 02:02:16.000000000,closed,True
439,2018-08-17 00:31:32.000000000,2018-08-17 01:20:40.000000000,2018-08-17 01:20:40.000000000,closed,True
440,2018-08-17 01:39:58.000000000,2018-08-17 01:40:03.000000000,2018-08-17 01:40:03.000000000,closed,True
441,2018-08-17 01:53:06.000000000,2018-08-17 01:53:32.000000000,2018-08-17 01:53:32.000000000,closed,True
442,2018-08-17 02:00:52.000000000,2018-08-17 02:00:58.000000000,2018-08-17 02:00:58.000000000,closed,True
448,2018-09-14 00:07:34.000000000,2018-09-14 01:19:12.000000000,2018-09-14 01:19:12.000000000,closed,True
454,2018-09-22 03:04:11.000000000,2018-09-22 03:04:22.000000000,2018-09-22 03:04:22.000000000,closed,True
455,2018-09-22 05:10:39.000000000,2018-09-22 05:10:46.000000000,2018-09-22 05:10:46.000000000,closed,True
456,2018-09-22 05:19:16.000000000,2018-09-22 05:19:38.000000000,2018-09-22 05:19:38.000000000,closed,True
459,2018-10-11 01:57:47.000000000,2018-10-11 01:58:47.000000000,2018-10-11 01:58:47.000000000,closed,True
470,2018-11-01 22:48:30.000000000,2018-11-01 22:59:16.000000000,2018-11-01 22:59:16.000000000,closed,True
484,2018-12-08 03:14:39.000000000,2018-12-08 05:07:24.000000000,2018-12-08 05:07:24.000000000,closed,True
501,2019-01-19 02:24:12.000000000,2019-01-19 02:39:30.000000000,2019-01-19 02:39:30.000000000,closed,True
502,2019-01-19 03:03:04.000000000,2019-01-19 03:18:24.000000000,2019-01-19 03:18:24.000000000,closed,True
503,2019-01-19 03:36:40.000000000,2019-01-19 03:36:47.000000000,2019-01-19 03:36:47.000000000,closed,True
504,2019-01-19 04:03:49.000000000,2019-01-21 22:00:08.000000000,2019-01-21 22:00:08.000000000,closed,True
505,2019-01-21 23:10:30.000000000,2019-01-21 23:31:36.000000000,2019-01-21 23:31:36.000000000,closed,True
506,2019-01-21 23:47:08.000000000,2019-01-21 23:47:34.000000000,2019-01-21 23:47:34.000000000,closed,True
508,2019-01-23 14:41:42.000000000,2019-01-23 20:22:18.000000000,2019-01-23 20:22:18.000000000,closed,True
509,2019-01-30 02:43:14.000000000,2019-01-31 01:22:41.000000000,2019-01-31 01:22:41.000000000,closed,True
512,2019-02-02 04:22:04.000000000,2019-02-02 08:23:04.000000000,2019-02-02 08:23:04.000000000,closed,True
513,2019-02-05 02:59:01.000000000,2019-02-05 03:13:26.000000000,2019-02-05 03:13:26.000000000,closed,True
514,2019-02-06 01:06:46.000000000,2019-02-06 02:02:24.000000000,2019-02-06 02:02:24.000000000,closed,True
516,2019-02-12 14:13:06.000000000,2019-02-12 17:53:49.000000000,2019-02-12 17:53:49.000000000,closed,True
520,2019-02-21 20:17:59.000000000,2019-02-21 21:28:55.000000000,2019-02-21 21:28:55.000000000,closed,True
521,2019-02-21 20:41:40.000000000,2019-02-21 21:18:31.000000000,2019-02-21 21:18:30.000000000,closed,True
523,2019-02-26 22:55:46.000000000,2019-02-27 02:00:36.000000000,2019-02-27 02:00:36.000000000,closed,True
524,2019-02-27 04:01:08.000000000,2019-03-07 02:27:58.000000000,2019-03-07 02:27:58.000000000,closed,True
526,2019-02-28 21:45:06.000000000,2019-02-28 22:08:15.000000000,2019-02-28 22:08:14.000000000,closed,True
528,2019-03-06 22:15:51.000000000,2019-03-06 23:52:01.000000000,2019-03-06 23:52:01.000000000,closed,True
533,2019-03-11 22:13:10.000000000,2019-03-13 01:48:58.000000000,2019-03-13 01:48:58.000000000,closed,True
546,2019-03-27 20:34:38.000000000,2019-03-29 02:32:31.000000000,1970-01-01 00:00:00.000000001,closed,False
548,2019-03-28 19:36:44.000000000,2019-03-29 02:32:11.000000000,2019-03-29 02:32:11.000000000,closed,True
549,2019-03-29 02:50:16.000000000,2019-03-29 02:52:58.000000000,1970-01-01 00:00:00.000000001,closed,False
550,2019-03-29 02:54:51.000000000,2019-03-29 02:54:58.000000000,2019-03-29 02:54:58.000000000,closed,True
551,2019-03-29 03:10:20.000000000,2019-03-29 03:10:26.000000000,2019-03-29 03:10:26.000000000,closed,True
552,2019-04-01 21:26:17.000000000,2019-04-01 23:12:34.000000000,2019-04-01 23:12:33.000000000,closed,True
555,2019-04-03 22:42:04.000000000,2019-04-04 00:01:42.000000000,2019-04-04 00:01:42.000000000,closed,True
556,2019-04-08 19:54:31.000000000,2019-04-09 19:56:36.000000000,2019-04-09 19:56:36.000000000,closed,True
561,2019-04-22 18:36:54.000000000,2019-04-22 18:57:37.000000000,2019-04-22 18:57:37.000000000,closed,True
569,2019-05-07 21:22:40.000000000,2019-05-07 22:13:03.000000000,2019-05-07 22:13:03.000000000,closed,True
571,2019-05-08 21:00:53.000000000,2019-05-10 19:47:13.000000000,2019-05-10 19:47:13.000000000,closed,True
573,2019-05-10 01:50:52.000000000,2019-05-10 19:48:50.000000000,2019-05-10 19:48:50.000000000,closed,True
576,2019-06-11 18:45:19.000000000,2019-06-14 18:29:33.000000000,2019-06-14 18:29:32.000000000,closed,True
577,2019-06-14 19:45:38.000000000,2019-06-14 20:08:06.000000000,2019-06-14 20:08:06.000000000,closed,True
