id,created_at,closed_at,state,comments,title
1045,2020-08-18 12:48:15.000000000,1970-01-01 00:00:00.000000001,open,8,Can not connect to Verge
1044,2020-08-16 16:49:37.000000000,2020-08-16 19:28:50.000000000,closed,8,The problem with Verge Lumos wallet
1043,2020-07-27 22:25:43.000000000,2020-07-28 00:47:39.000000000,closed,4,Integration with RenProtocol for DeFi support
1042,2020-07-07 00:25:31.000000000,2020-07-07 00:39:26.000000000,closed,0,update this branch w master
1041,2020-06-23 15:20:39.000000000,1970-01-01 00:00:00.000000001,open,8,Compile issue with boost in Ubuntu 18.04 and 16.04....
1040,2020-06-21 18:47:00.000000000,2020-06-22 04:53:52.000000000,closed,3,Compiling issue on ubuntu 16.04 with new pull.
1039,2020-06-17 05:27:02.000000000,2020-06-17 08:05:37.000000000,closed,8,Verge QT Wallet - Is there a way to extract the encrypted passphrase somewhere in the .dat file? 
1038,2020-06-16 23:28:08.000000000,2020-06-17 17:42:15.000000000,closed,1,error: Your client produced a transaction that is not accepted by the Bitcoin network any more. Please upgrade to Electrum 2.5.1 or newer
1037,2020-06-15 19:03:23.000000000,2020-06-16 14:54:56.000000000,closed,13,How to recover coins 
1036,2020-06-13 19:20:14.000000000,2020-06-15 06:51:26.000000000,closed,1,Update git modules to version 0.4.3.5
1035,2020-06-10 11:58:39.000000000,2020-06-10 18:43:29.000000000,closed,2,ubuntu 16.04.6 compile error
1034,2020-06-09 03:05:11.000000000,2020-06-09 07:07:06.000000000,closed,7,Low quality wallet without digital signatures and certificates.
1033,2020-04-29 22:09:31.000000000,2020-07-09 19:14:11.000000000,closed,5,NotAStealth Address
1032,2020-04-27 13:21:15.000000000,2020-04-27 13:21:24.000000000,closed,0,Adjust block difficulty and proof of work checks
1031,2020-04-16 23:28:24.000000000,2020-06-23 16:03:13.000000000,closed,3,Feature add dynamic block versions
1030,2020-03-23 16:01:03.000000000,2020-07-31 16:05:19.000000000,closed,37,Verge Not Scynicng At All - Linux
1029,2020-03-21 00:11:13.000000000,2020-03-21 01:47:27.000000000,closed,1,[Question] is there a lightwieght wallet for verge?
1028,2020-03-21 00:09:30.000000000,2020-03-26 05:59:04.000000000,closed,6,[Packaging] Make this wallet available as flatpak on FlatHub
1027,2020-02-20 02:50:00.000000000,2020-04-27 16:01:55.000000000,closed,3,Fix locking for stealth addressing
1026,2020-02-15 15:48:12.000000000,2020-02-16 00:00:30.000000000,closed,2,Tor relay support
1025,2020-02-14 07:32:39.000000000,2020-02-14 07:33:12.000000000,closed,0,update leveldb + build stuff
1024,2020-01-19 23:52:09.000000000,2020-01-20 22:54:31.000000000,closed,1,Update README.md
1023,2020-01-07 00:01:44.000000000,2020-01-21 09:40:13.000000000,closed,1,Code cleanup
1022,2020-01-05 04:46:14.000000000,2020-01-05 06:12:19.000000000,closed,1,Unable to Remotely RPC Verge from Another Server
