id,created_at,closed_at,state,comments,title
733,2020-08-31 03:22:02.000000000,2020-08-31 04:00:29.000000000,closed,5,SSL Certificate for vba-m.com expired fifteen days ago.
732,2020-08-31 02:11:49.000000000,1970-01-01 00:00:00.000000001,open,0,cheat codes edit themselves
731,2020-08-30 03:46:10.000000000,1970-01-01 00:00:00.000000001,open,1,Autofire not working
730,2020-08-30 03:36:32.000000000,1970-01-01 00:00:00.000000001,open,0,"Inconsistent behavior for ""Pause when inactive"""
729,2020-08-30 03:27:54.000000000,1970-01-01 00:00:00.000000001,open,2,"Program crashes on Ubuntu when selecting OpenAL audio driver and ""OpenAL soft"" device"
728,2020-08-30 03:18:21.000000000,1970-01-01 00:00:00.000000001,open,1,"VBA-M Causes X-Server (XORG, at least) to Freeze/Crash when setting Default Magnification through Display Settings dialogue"
727,2020-08-29 01:14:19.000000000,1970-01-01 00:00:00.000000001,open,3,Billinear filter does not toggle until you open/close the video plugin menu
726,2020-08-28 23:03:07.000000000,1970-01-01 00:00:00.000000001,open,15,Input configuration is doubled when 2 controllers are connected
725,2020-08-28 07:47:42.000000000,1970-01-01 00:00:00.000000001,open,1,Clarification on CPULoop
724,2020-08-28 06:50:08.000000000,2020-08-29 02:26:07.000000000,closed,3,Add an option to set a configuration file
723,2020-08-22 04:47:55.000000000,1970-01-01 00:00:00.000000001,open,0,ffmpeg sound recording only captures right channel
722,2020-08-20 15:58:03.000000000,2020-08-22 23:07:28.000000000,closed,11,Screenshot key does not work with non-English screenshot directory.
721,2020-08-20 13:01:29.000000000,2020-08-23 00:14:00.000000000,closed,11,Greek translation does not work.
720,2020-08-20 01:13:07.000000000,2020-08-23 00:25:06.000000000,closed,17,Turbo/throttle config and DirectSound fixes.
719,2020-08-19 11:13:33.000000000,2020-08-23 00:25:06.000000000,closed,1,Speedup not working with Directsound
718,2020-08-14 00:02:52.000000000,1970-01-01 00:00:00.000000001,open,15,Unhandled Exception / Crash when disconnecting controller
717,2020-08-13 18:01:28.000000000,2020-08-14 11:02:18.000000000,closed,2,error del link del vba-m
716,2020-08-13 03:41:14.000000000,2020-08-19 16:19:54.000000000,closed,8,Add back joystick polling while processing GUI event.
715,2020-08-13 01:30:14.000000000,2020-08-14 15:02:08.000000000,closed,2,GBA BIOS: ArcTan/ArcTan2 fixes for HLE bios
714,2020-08-11 17:02:30.000000000,1970-01-01 00:00:00.000000001,open,2,Hi guys I just wanna ask is VBA-M performance for low end laptop better than mGBA?
713,2020-08-10 07:58:38.000000000,2020-08-14 21:12:12.000000000,closed,0,Crash/Assert when switching audio plugins when running GBA
712,2020-08-10 07:44:30.000000000,2020-08-11 01:44:02.000000000,closed,8,Addressing audio plugin crash
711,2020-08-09 12:50:35.000000000,2020-08-19 16:19:54.000000000,closed,0,[Input] Cannot remap inputs with gamepad
710,2020-08-09 06:44:39.000000000,1970-01-01 00:00:00.000000001,open,0,[Request] installdeps: Add support for some Arch-based distros
709,2020-08-08 20:10:33.000000000,1970-01-01 00:00:00.000000001,open,9,Choppy Framerate on Windows with SDL sound driver
708,2020-08-02 03:48:03.000000000,1970-01-01 00:00:00.000000001,open,6,allow mapping joystick key combos
707,2020-07-29 03:05:30.000000000,1970-01-01 00:00:00.000000001,open,3,Crash on Hamtaro - Ham-Ham Heartbreak
706,2020-07-27 20:02:08.000000000,2020-08-30 00:53:50.000000000,closed,10,Input while on background.
