id,created_at,closed_at,merged_at,state,merged
3,2016-06-09 23:15:33.000000000,2016-06-09 23:15:53.000000000,2016-06-09 23:15:53.000000000,closed,True
4,2016-06-11 11:11:55.000000000,2016-06-11 11:12:20.000000000,2016-06-11 11:12:20.000000000,closed,True
6,2016-06-14 00:02:58.000000000,2017-02-28 23:14:18.000000000,1970-01-01 00:00:00.000000001,closed,False
7,2016-06-14 03:15:11.000000000,2016-06-14 03:15:22.000000000,2016-06-14 03:15:22.000000000,closed,True
8,2016-06-15 09:49:36.000000000,2016-06-15 09:51:30.000000000,2016-06-15 09:51:30.000000000,closed,True
13,2016-07-22 03:16:50.000000000,2016-07-22 03:31:03.000000000,2016-07-22 03:31:03.000000000,closed,True
14,2016-08-03 23:14:23.000000000,2016-08-03 23:15:11.000000000,2016-08-03 23:15:11.000000000,closed,True
15,2016-08-06 03:58:48.000000000,2016-08-06 22:30:11.000000000,2016-08-06 22:30:11.000000000,closed,True
16,2016-08-07 06:00:42.000000000,2016-08-07 06:01:04.000000000,2016-08-07 06:01:04.000000000,closed,True
17,2016-08-20 11:23:04.000000000,2016-08-20 11:23:32.000000000,2016-08-20 11:23:32.000000000,closed,True
18,2016-08-22 10:49:26.000000000,2016-08-22 10:54:18.000000000,2016-08-22 10:54:18.000000000,closed,True
19,2016-09-02 21:35:13.000000000,2016-09-02 21:35:43.000000000,2016-09-02 21:35:43.000000000,closed,True
23,2016-09-29 03:05:34.000000000,2016-09-29 03:06:03.000000000,2016-09-29 03:06:03.000000000,closed,True
25,2016-10-01 10:17:43.000000000,2016-10-01 10:17:54.000000000,2016-10-01 10:17:54.000000000,closed,True
28,2016-10-06 03:20:06.000000000,2016-10-06 03:20:47.000000000,2016-10-06 03:20:46.000000000,closed,True
30,2016-10-07 22:09:32.000000000,2016-10-08 11:56:37.000000000,2016-10-08 11:56:37.000000000,closed,True
31,2016-10-08 03:40:03.000000000,2016-10-08 03:40:17.000000000,2016-10-08 03:40:17.000000000,closed,True
33,2016-10-08 23:03:16.000000000,2016-10-09 07:59:56.000000000,2016-10-09 07:59:56.000000000,closed,True
34,2016-10-10 11:16:14.000000000,2016-10-10 20:06:57.000000000,2016-10-10 20:06:57.000000000,closed,True
37,2016-10-14 15:03:31.000000000,2016-10-14 15:03:43.000000000,2016-10-14 15:03:43.000000000,closed,True
39,2016-11-12 06:02:12.000000000,2016-11-12 06:02:27.000000000,2016-11-12 06:02:27.000000000,closed,True
40,2016-11-14 11:00:54.000000000,2017-02-28 23:14:46.000000000,1970-01-01 00:00:00.000000001,closed,False
41,2016-11-16 02:11:19.000000000,2016-11-16 02:11:34.000000000,2016-11-16 02:11:34.000000000,closed,True
47,2016-12-06 05:08:05.000000000,2016-12-06 05:09:48.000000000,2016-12-06 05:09:48.000000000,closed,True
50,2016-12-16 07:34:26.000000000,2016-12-16 07:42:57.000000000,2016-12-16 07:42:57.000000000,closed,True
51,2016-12-17 08:31:44.000000000,2016-12-17 08:34:36.000000000,1970-01-01 00:00:00.000000001,closed,False
52,2016-12-17 08:38:03.000000000,2016-12-17 08:53:48.000000000,2016-12-17 08:53:48.000000000,closed,True
53,2016-12-21 05:11:56.000000000,2016-12-21 05:14:31.000000000,2016-12-21 05:14:31.000000000,closed,True
61,2017-02-21 11:36:55.000000000,2017-02-21 11:37:54.000000000,2017-02-21 11:37:54.000000000,closed,True
66,2017-02-26 01:54:53.000000000,2017-02-28 04:53:59.000000000,2017-02-28 04:53:59.000000000,closed,True
67,2017-02-28 05:22:19.000000000,2017-02-28 05:43:33.000000000,2017-02-28 05:43:33.000000000,closed,True
68,2017-02-28 08:49:41.000000000,2017-02-28 09:35:27.000000000,2017-02-28 09:35:27.000000000,closed,True
69,2017-02-28 11:36:24.000000000,2017-02-28 13:30:11.000000000,2017-02-28 13:30:11.000000000,closed,True
70,2017-03-01 00:29:55.000000000,2017-03-01 00:34:58.000000000,2017-03-01 00:34:58.000000000,closed,True
71,2017-03-01 08:52:55.000000000,2017-03-01 09:15:54.000000000,2017-03-01 09:15:54.000000000,closed,True
72,2017-03-01 10:55:51.000000000,2017-03-01 11:21:17.000000000,2017-03-01 11:21:17.000000000,closed,True
85,2017-05-23 14:37:32.000000000,2017-05-31 19:20:07.000000000,1970-01-01 00:00:00.000000001,closed,False
88,2017-06-08 06:57:57.000000000,2017-06-12 08:09:42.000000000,2017-06-12 08:09:42.000000000,closed,True
90,2017-06-25 00:27:46.000000000,2017-07-03 01:01:43.000000000,2017-07-03 01:01:43.000000000,closed,True
