id,created_at,closed_at,state,comments,title
2270,2020-08-31 14:51:03.000000000,1970-01-01 00:00:00.000000001,open,1,"TypeError: this.$el.validity is undefined"""
2269,2020-08-26 11:09:26.000000000,1970-01-01 00:00:00.000000001,open,0,Fix typo in docs - Update Card.vue
2268,2020-08-25 10:25:04.000000000,1970-01-01 00:00:00.000000001,open,0,Feature: import themes using the Sass recommended @use statement
2267,2020-08-24 21:54:55.000000000,2020-08-24 22:21:31.000000000,closed,1,MdSelect validity error with beta-15
2266,2020-08-24 16:04:47.000000000,2020-08-24 16:11:06.000000000,closed,0,fix: carbon ads
2265,2020-08-24 15:42:46.000000000,2020-08-24 15:55:27.000000000,closed,0,Refactor/change ads
2264,2020-08-24 14:34:13.000000000,2020-08-24 14:37:27.000000000,closed,0,Refactor/change ads (#2263)
2263,2020-08-21 12:00:59.000000000,2020-08-24 14:33:07.000000000,closed,0,Refactor/change ads
2262,2020-08-20 12:46:33.000000000,1970-01-01 00:00:00.000000001,open,1,Fix <md-file> 'badInput' of undefined #2260
2261,2020-08-19 13:24:30.000000000,1970-01-01 00:00:00.000000001,open,1,MD select wrong value after submitted a form.
2260,2020-08-15 15:35:54.000000000,1970-01-01 00:00:00.000000001,open,3,<md-file> 'badInput' of undefined
2259,2020-08-14 07:18:30.000000000,1970-01-01 00:00:00.000000001,open,1,Close drawer on click
2258,2020-08-13 19:28:02.000000000,1970-01-01 00:00:00.000000001,open,0,[DOCS] Some text remains black in dark mode
2257,2020-08-13 18:18:46.000000000,2020-08-13 18:22:38.000000000,closed,0,v1.0.0-beta-15
2256,2020-08-13 18:05:51.000000000,2020-08-13 18:10:20.000000000,closed,0,Refactor/change ads
2255,2020-08-13 17:32:58.000000000,2020-08-13 17:51:24.000000000,closed,0,Refactor/change ads
2254,2020-08-12 22:58:53.000000000,1970-01-01 00:00:00.000000001,open,0,Feat: MdDialog to target specific element with md-target attr
2253,2020-08-12 22:17:40.000000000,2020-08-14 00:52:57.000000000,closed,1,MdDialog to target specific element
2252,2020-08-10 15:33:07.000000000,1970-01-01 00:00:00.000000001,open,0,Add custom cancel label prop for MdDatepickerDialog.vue
2251,2020-08-10 12:33:50.000000000,1970-01-01 00:00:00.000000001,open,0,Component Button Ripple Effect is not working on Router Link
2250,2020-08-07 13:51:57.000000000,1970-01-01 00:00:00.000000001,open,0,Can you make us? A Drop-down Select?
2249,2020-07-30 17:30:33.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump elliptic from 6.4.1 to 6.5.3
2248,2020-07-24 13:54:17.000000000,1970-01-01 00:00:00.000000001,open,0,[md-tabs] Something about md-active-tab
2247,2020-07-23 07:26:44.000000000,1970-01-01 00:00:00.000000001,open,0,can't disable md-check-duplicated to false 
2246,2020-07-17 00:14:18.000000000,1970-01-01 00:00:00.000000001,open,3,md-dialog-confirm hides confirm button before hovering in google chrome
2245,2020-07-14 13:09:20.000000000,2020-08-13 15:51:52.000000000,closed,0,Refactor/change ads
2244,2020-07-11 22:50:23.000000000,1970-01-01 00:00:00.000000001,open,0,Add MdRatio 3/2 to MdCardMedia
2243,2020-07-03 11:25:31.000000000,1970-01-01 00:00:00.000000001,open,1,table header is not consistent with other rows.
2242,2020-06-23 15:57:26.000000000,1970-01-01 00:00:00.000000001,open,0,Upgrade all dependencies to latest and fix corresponding errors
2241,2020-06-19 17:38:38.000000000,1970-01-01 00:00:00.000000001,open,0,Can you provide Chinese documents?
2240,2020-06-19 15:53:17.000000000,1970-01-01 00:00:00.000000001,open,0,`model` prop on md-checkbox is undocumented
2239,2020-06-19 14:46:22.000000000,1970-01-01 00:00:00.000000001,open,0,Menu rapidly changes position when parent element is removed.
2238,2020-06-11 17:46:23.000000000,2020-06-11 17:53:53.000000000,closed,0,faet: readme backers button
2237,2020-06-11 17:29:21.000000000,2020-06-11 17:45:56.000000000,closed,0,feat: readme add backers button
2236,2020-06-11 17:24:04.000000000,2020-06-11 17:28:22.000000000,closed,0,Feature/readme add backer
2235,2020-06-11 17:09:58.000000000,2020-06-11 17:13:30.000000000,closed,0,feat: add contributors
2234,2020-06-11 17:04:12.000000000,2020-06-11 17:08:56.000000000,closed,0,Feature/add open collective
2233,2020-06-08 13:15:49.000000000,1970-01-01 00:00:00.000000001,open,0,[Md-stepper] Bug when staying on the route
2232,2020-06-07 21:58:36.000000000,1970-01-01 00:00:00.000000001,open,0,Fix #2047
2231,2020-06-04 18:16:54.000000000,1970-01-01 00:00:00.000000001,open,1,mdSelect md-select-menu the position of options should be fixed bottom select
2230,2020-06-02 22:08:13.000000000,1970-01-01 00:00:00.000000001,open,0,Control position/width of md-select-menu
2229,2020-05-31 14:57:02.000000000,1970-01-01 00:00:00.000000001,open,0,Documentation Layout not aligned
2228,2020-05-27 19:39:39.000000000,2020-05-27 19:42:27.000000000,closed,0,Feature/add open collective
2227,2020-05-27 19:33:44.000000000,2020-05-27 19:46:58.000000000,closed,0,refactor: active theme disabled on main page
2226,2020-05-27 19:27:45.000000000,2020-05-27 19:32:55.000000000,closed,0,Feature/add open collective
2225,2020-05-27 19:16:49.000000000,2020-05-27 19:21:12.000000000,closed,0,feat: active theme section move to navbar + code fund re-style
2224,2020-05-27 19:00:09.000000000,2020-05-27 19:14:14.000000000,closed,0,Feature/add open collective
2223,2020-05-27 13:16:45.000000000,2020-05-27 14:12:22.000000000,closed,0,v1.0.0-beta-14
2222,2020-05-27 12:48:53.000000000,2020-05-27 13:16:11.000000000,closed,0,v1.0.0-beta-14
2221,2020-05-27 12:36:00.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump handlebars from 4.1.2 to 4.7.6
2220,2020-05-27 12:31:23.000000000,2020-05-27 12:34:42.000000000,closed,0,"Revert ""fix undefined contains method in IE11"""
2219,2020-05-22 05:17:09.000000000,1970-01-01 00:00:00.000000001,open,0,[Violation] of touchstart and touchmove using md-swipeable
2218,2020-05-20 19:14:27.000000000,2020-05-28 13:11:26.000000000,closed,2,1.0.0-beta-13 Introduced bad md-dialog issue
2217,2020-05-19 11:58:36.000000000,1970-01-01 00:00:00.000000001,open,0,How to Loop inside md-dialog
2216,2020-05-14 03:05:01.000000000,1970-01-01 00:00:00.000000001,open,1,Not able to bind data within <md-table> component
2215,2020-05-07 12:37:21.000000000,2020-05-27 12:29:56.000000000,closed,0,fix(MdStep): set tabindex for not active step
2214,2020-05-06 19:00:53.000000000,2020-05-27 12:34:55.000000000,closed,0,Util to replace Node.contains
2213,2020-05-06 17:28:47.000000000,2020-05-27 12:33:48.000000000,closed,0,fix(MdField): fix the character counter not reseting when reseting the form
2212,2020-05-06 17:24:05.000000000,2020-05-27 12:34:20.000000000,closed,0,Fix mdButton clicks error in IE11
2211,2020-05-05 22:11:41.000000000,2020-05-27 12:29:05.000000000,closed,0,Fix/md dialog position centered
2210,2020-05-05 21:04:22.000000000,1970-01-01 00:00:00.000000001,open,3,Component/md table pagination fix and docs
2209,2020-05-02 21:00:36.000000000,2020-05-27 12:29:04.000000000,closed,7,dialogs position not centered
2208,2020-04-30 14:38:12.000000000,2020-04-30 14:49:10.000000000,closed,0,v1.0.0-beta-13
2207,2020-04-30 11:39:06.000000000,2020-05-28 13:12:52.000000000,closed,1,md-menu appears but closes immediately - 1.0.0-beta-12
2206,2020-04-29 17:54:02.000000000,1970-01-01 00:00:00.000000001,open,0,Inconsistent calendar height in datepicker.
2205,2020-04-28 13:55:35.000000000,1970-01-01 00:00:00.000000001,open,0,date range and time
2204,2020-04-25 17:08:00.000000000,1970-01-01 00:00:00.000000001,open,3,Reopen #1974 due to it was not solved
2203,2020-04-23 18:09:48.000000000,2020-08-13 16:01:27.000000000,closed,0,Fixed docs position and height
2202,2020-04-23 14:35:09.000000000,2020-08-13 15:30:47.000000000,closed,1,Eslint rules to force existing code style
2201,2020-04-23 14:25:59.000000000,2020-04-30 14:05:25.000000000,closed,0,fix(MdMenu): fix to prevent menu click observers on render
2200,2020-04-22 22:10:24.000000000,2020-04-22 22:31:18.000000000,closed,2,[mdMenu] beta-12 release regression: auto-close menu content
2199,2020-04-21 19:27:07.000000000,2020-04-21 19:56:29.000000000,closed,0,v1.0.0-beta-12
2198,2020-04-21 17:15:48.000000000,2020-04-21 17:28:00.000000000,closed,0,feat(Tabs): add prop `md-is-rtl` to tabs table component
2197,2020-04-21 16:12:36.000000000,1970-01-01 00:00:00.000000001,open,4,md-datepicker won't load dateFormat
2196,2020-04-15 04:08:20.000000000,1970-01-01 00:00:00.000000001,open,0,[MdStepper] :md-editable not working for md-alternative layout
2195,2020-04-08 04:34:51.000000000,1970-01-01 00:00:00.000000001,open,0,So many examples do not work the way they are supposed to
2194,2020-04-06 02:28:38.000000000,1970-01-01 00:00:00.000000001,open,1,Documentation bug
2193,2020-04-03 20:33:08.000000000,1970-01-01 00:00:00.000000001,open,0,Tabs sandbox example doesnt work
2192,2020-04-02 23:47:32.000000000,2020-04-15 18:32:55.000000000,closed,7,Is this project still maintained?
2191,2020-03-30 01:54:17.000000000,1970-01-01 00:00:00.000000001,open,0,[MdSelect] md-select-menu position
2190,2020-03-25 16:58:25.000000000,2020-04-08 23:55:22.000000000,closed,2,IE11 css not working
2189,2020-03-24 16:12:45.000000000,2020-05-27 12:28:41.000000000,closed,0,Auto insert in MdChips after focusout
2188,2020-03-20 22:42:15.000000000,1970-01-01 00:00:00.000000001,open,0,Some example problems don't load in codesandbox
2187,2020-03-16 17:43:06.000000000,1970-01-01 00:00:00.000000001,open,0,MD-Table remove on selections removes wrong element
2186,2020-03-13 12:32:39.000000000,1970-01-01 00:00:00.000000001,open,0,Is there a way to customize Editable chips to use comma instead of a return?
2185,2020-03-11 03:24:20.000000000,1970-01-01 00:00:00.000000001,open,0,"md-app md-mode=""reveal OR fixed"" with vue-router ScrollBehaivor"
2184,2020-03-08 23:27:07.000000000,1970-01-01 00:00:00.000000001,open,1,Async dropdown is broken
2183,2020-03-06 10:05:52.000000000,2020-05-27 12:27:38.000000000,closed,0,Allow false as a value for an MdOption
2182,2020-03-02 15:26:57.000000000,1970-01-01 00:00:00.000000001,open,2,Is there any component like popover of bootstrap ?
2181,2020-02-28 04:29:09.000000000,2020-04-21 17:26:33.000000000,closed,1,[core] RTL support #80
2179,2020-02-21 13:06:34.000000000,1970-01-01 00:00:00.000000001,open,0,Vertical Spacing Not Working
2178,2020-02-18 18:37:00.000000000,2020-04-21 17:29:11.000000000,closed,0,Improved grammar in Table.vue (docs)
2177,2020-02-12 00:21:50.000000000,1970-01-01 00:00:00.000000001,open,0,Remove forced inline styles?
2176,2020-02-09 05:45:09.000000000,1970-01-01 00:00:00.000000001,open,0,Release of BANanoVueMaterial
2175,2020-02-07 06:10:33.000000000,1970-01-01 00:00:00.000000001,open,0,Migrate from avoriaz to vue-test-utils
2174,2020-02-05 19:13:58.000000000,1970-01-01 00:00:00.000000001,open,0,Vue-material with Web component
2173,2020-02-05 19:12:54.000000000,2020-02-05 19:13:13.000000000,closed,0,Web component with Vue-material
2172,2020-01-27 16:22:42.000000000,2020-01-27 17:17:33.000000000,closed,1,Can't find scss
2171,2020-01-22 15:58:20.000000000,1970-01-01 00:00:00.000000001,open,3,vue-material without nodejs
2170,2020-01-15 17:46:01.000000000,1970-01-01 00:00:00.000000001,open,1,"md-menu throws """"TypeError: Cannot convert undefined or null to object"""""
2169,2020-01-15 01:06:36.000000000,1970-01-01 00:00:00.000000001,open,0,how to import the material design icons without adding the stylesheet from Google CDN
2168,2020-01-14 19:41:30.000000000,1970-01-01 00:00:00.000000001,open,0,md-list-item defaults to a button; this breaks the first checkbox/radio button..
2167,2020-01-13 22:04:49.000000000,1970-01-01 00:00:00.000000001,open,0,"[DOCS] When docs website theme is set to dark, code examples are not color inverted automatically in mobile"
2166,2020-01-13 16:13:25.000000000,1970-01-01 00:00:00.000000001,open,0,"missing `$` on md-theme-property-by-hue makes it ""impossible"" to style anything that takes `variant` argument"
2165,2020-01-12 14:55:22.000000000,2020-08-13 15:29:07.000000000,closed,0,Update GettingStarted.vue
2164,2020-01-06 21:59:45.000000000,2020-04-21 17:26:07.000000000,closed,0,[MdTabs] fix mdActiveTab not selecting set tab on load
2163,2019-12-28 08:47:40.000000000,2020-05-27 12:36:05.000000000,closed,1,build(deps): bump handlebars from 4.1.2 to 4.5.3
2162,2019-12-24 19:35:06.000000000,1970-01-01 00:00:00.000000001,open,0,Permanent drawer does not turn into temporary one in mobile view
2161,2019-12-23 22:45:55.000000000,1970-01-01 00:00:00.000000001,open,0,Chat: Building a drag and drop designer
2160,2019-12-23 19:51:12.000000000,1970-01-01 00:00:00.000000001,open,0,md-autocomplete BUG
2159,2019-12-23 16:26:59.000000000,1970-01-01 00:00:00.000000001,open,0,Sourcemap missing in published package from npm
2158,2019-12-10 05:20:03.000000000,1970-01-01 00:00:00.000000001,open,0,md-app md-app-toolbar and md-medium or md-large bug
2157,2019-12-06 03:35:58.000000000,1970-01-01 00:00:00.000000001,open,1,observe tooltip content for changes
2156,2019-12-04 15:32:59.000000000,1970-01-01 00:00:00.000000001,open,2,[md-datepicker] Please pass name attribute to inner input element
2155,2019-11-30 18:28:56.000000000,2019-12-03 12:54:52.000000000,closed,0,Might be bugg with your website
2154,2019-11-29 14:03:17.000000000,2019-11-29 14:14:02.000000000,closed,0,Added tag manager
2153,2019-11-29 13:56:49.000000000,2019-11-29 14:02:44.000000000,closed,0,Added tag manager
2152,2019-11-28 01:07:26.000000000,1970-01-01 00:00:00.000000001,open,0,Feature Request: MdChips autocomplete
2151,2019-11-25 18:39:06.000000000,2019-11-25 18:44:09.000000000,closed,0,Docs Restyle
2150,2019-11-25 18:26:46.000000000,2019-11-25 18:37:59.000000000,closed,0,Docs/restyle
2149,2019-11-22 17:32:24.000000000,1970-01-01 00:00:00.000000001,open,0,md-step not working with v-for
2148,2019-11-20 12:59:56.000000000,1970-01-01 00:00:00.000000001,open,0,Add confirm-text and cancel-text props for localization of MdDatepicker dialog
2147,2019-11-19 14:46:50.000000000,2020-05-07 13:13:44.000000000,closed,1,added Cancel and Ok to locale
2146,2019-11-15 18:51:44.000000000,2019-11-15 19:02:59.000000000,closed,0,fix/footer-links
2145,2019-11-15 18:44:42.000000000,2019-11-15 18:48:44.000000000,closed,0,Updated footer links
2144,2019-11-15 18:19:01.000000000,2019-11-15 18:42:18.000000000,closed,0,Docs/restyle
2143,2019-11-14 16:08:14.000000000,2019-11-14 16:30:22.000000000,closed,0,Feature: docs and landing page restyle
2142,2019-11-14 15:48:53.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump fstream from 1.0.11 to 1.0.12
2141,2019-11-14 15:48:50.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump lodash.template from 4.4.0 to 4.5.0
2140,2019-11-14 15:48:48.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps-dev): bump axios from 0.18.0 to 0.18.1
2139,2019-11-14 15:05:47.000000000,2019-11-14 16:04:36.000000000,closed,0,Docs/restyle
2138,2019-11-07 04:24:16.000000000,1970-01-01 00:00:00.000000001,open,5,Cypress Applitools Smoketest
2137,2019-11-06 08:17:14.000000000,1970-01-01 00:00:00.000000001,open,1,`<md-select>` odd HTML5 validation behavior with required attribute
2136,2019-11-04 21:42:25.000000000,1970-01-01 00:00:00.000000001,open,1,"[md-select] - when keyboard tab, down arrow, and enter used to navigate multiple selects"
2135,2019-10-29 18:09:10.000000000,1970-01-01 00:00:00.000000001,open,0,build(deps): bump mixin-deep from 1.3.1 to 1.3.2
2134,2019-10-25 23:36:16.000000000,1970-01-01 00:00:00.000000001,open,0,Update yarn.lock
2133,2019-10-19 20:19:06.000000000,2019-10-19 20:22:48.000000000,closed,0,smoke test
2132,2019-10-10 21:32:18.000000000,1970-01-01 00:00:00.000000001,open,0,Md-Datepicker dialog year button causes document to shift left when md-drawer right-side exists
