id,created_at,closed_at,state,comments,title
3004,2020-08-26 15:29:45.000000000,1970-01-01 00:00:00.000000001,open,0,New backups: A utility method for converting time to strings according to the given format
3003,2020-08-25 17:24:41.000000000,1970-01-01 00:00:00.000000001,open,1,New backups (17+2r): Restoring data from the login screen
3002,2020-08-25 14:11:45.000000000,1970-01-01 00:00:00.000000001,open,0,"Android 11 (R) Breaks All Transitions, Causing UI to be Unreadable"
3001,2020-08-24 19:40:55.000000000,2020-08-26 16:00:19.000000000,closed,2,[AN-7048] Add msg size limit
3000,2020-08-22 13:41:03.000000000,1970-01-01 00:00:00.000000001,open,0,Keyboard media insertion not supported
2999,2020-08-21 22:14:21.000000000,1970-01-01 00:00:00.000000001,open,0,"""Retry"" button shows who liked the post instead of retrying"
2998,2020-08-21 19:08:55.000000000,2020-08-31 19:04:45.000000000,closed,0,New backups (17+1r): RestoreBackUpUseCase + changes to MetadataHandler
2997,2020-08-20 18:51:03.000000000,2020-08-21 00:47:36.000000000,closed,0,Bump AVS version to 6.2.28
2996,2020-08-20 18:32:03.000000000,2020-08-21 00:48:36.000000000,closed,1,Bugfix :  Unable to connect to Conf calls - newly created conversation
2995,2020-08-19 18:29:02.000000000,2020-08-20 13:11:29.000000000,closed,0,Bugfix : fingerprint text cut off in device details screen
2994,2020-08-19 17:42:28.000000000,1970-01-01 00:00:00.000000001,open,0,New Backups (17+3e): Encryption and Decryption
2993,2020-08-19 16:59:22.000000000,1970-01-01 00:00:00.000000001,open,3,No unencrypted traffic to Wire
2992,2020-08-19 13:30:59.000000000,2020-08-31 19:04:15.000000000,closed,1,"Revert ""New backups: Ignore failing unit tests"""
2991,2020-08-18 20:24:32.000000000,2020-08-19 12:37:48.000000000,closed,1,"Bugfix : No guest Icon is displayed in Search UI, Group Participants list and in suggested mention list"
2990,2020-08-18 20:05:21.000000000,1970-01-01 00:00:00.000000001,open,0,New backups (17+2e): Encryption
2989,2020-08-18 19:45:01.000000000,1970-01-01 00:00:00.000000001,open,1,New backups (17+1e): Remove encryption
2988,2020-08-18 19:15:10.000000000,2020-08-28 14:20:02.000000000,closed,1,New Backups (17): Create a backup from UI
2987,2020-08-18 17:22:39.000000000,2020-08-18 17:45:14.000000000,closed,0,build : bump avs version to 6.2.27
2986,2020-08-17 19:46:54.000000000,2020-08-17 20:06:51.000000000,closed,0,Fix AVS test after introducing new participant parameter
2985,2020-08-17 17:01:10.000000000,2020-08-17 20:34:54.000000000,closed,4,Fix crash in participants list page
2984,2020-08-17 16:54:18.000000000,2020-08-17 16:55:39.000000000,closed,2,Fix crash in participants list page
